dataset,rule,features,operating_point,clinical_sensitivity,post_sensitivity,sensitivity_loss,clinical_specificity,post_specificity,specificity_gain,clinical_accuracy,post_accuracy,accuracy_delta,clinical_balanced_accuracy,post_balanced_accuracy,balanced_accuracy_delta,clinical_positive_n,clinical_positive_events,clinical_positive_event_rate,deesc_n,deesc_events,deesc_event_rate,fp_removed,tp_lost,sensitivity_loss_p_exact,specificity_gain_p_exact,accuracy_delta_p_mcnemar,deesc_event_fisher_p
g1090_internal,exact_locked_2of4,"++--,+-+-,-++-,+++-,+--+,-+-+,++-+,--++,+-++,-+++,++++",S80,0.8062015503875969,0.7751937984496124,0.03100775193798444,0.696149843912591,0.7845993756503642,0.08844953173777315,0.7091743119266055,0.7834862385321101,0.07431192660550456,0.751175697150094,0.7798965870499883,0.028720889899894297,396,104,0.26262626262626265,89,4,0.0449438202247191,85,4,0.125,5.169878828456423e-26,8.269208261418977e-21,6.948694053213919e-09
g1090_internal,exact_locked_2of4,"++--,+-+-,-++-,+++-,+--+,-+-+,++-+,--++,+-++,-+++,++++",S82.5,0.8294573643410853,0.7984496124031008,0.03100775193798455,0.6753381893860562,0.7617065556711758,0.08636836628511968,0.6935779816513762,0.7660550458715596,0.07247706422018341,0.7523977768635708,0.7800780840371383,0.02768030717356751,419,107,0.2553699284009546,87,4,0.04597701149425287,83,4,0.125,2.0679515313825692e-25,3.018846051830852e-20,3.091535861308127e-08
g1090_internal,exact_locked_2of4,"++--,+-+-,-++-,+++-,+--+,-+-+,++-+,--++,+-++,-+++,++++",S85,0.8527131782945736,0.8217054263565892,0.03100775193798444,0.6399583766909469,0.7294484911550468,0.08949011446409993,0.6651376146788991,0.7403669724770642,0.07522935779816509,0.7463357774927603,0.775576958755818,0.029241181263057747,456,110,0.2412280701754386,90,4,0.044444444444444446,86,4,0.125,2.5849394142282115e-26,4.3245487100412455e-21,7.998727384615701e-08
g1090_internal,exact_locked_2of4,"++--,+-+-,-++-,+++-,+--+,-+-+,++-+,--++,+-++,-+++,++++",S87.5,0.875968992248062,0.8372093023255814,0.03875968992248058,0.5775234131113424,0.6711758584807492,0.09365244536940687,0.6128440366972477,0.6908256880733945,0.07798165137614677,0.7267462026797022,0.7541925804031653,0.027446377723463034,519,113,0.21772639691714837,95,5,0.05263157894736842,90,5,0.0625,1.6155871338926322e-27,3.093195048615164e-21,3.3957634439270494e-06
g1090_internal,exact_locked_2of4,"++--,+-+-,-++-,+++-,+--+,-+-+,++-+,--++,+-++,-+++,++++",S90,0.9069767441860465,0.8682170542635659,0.03875968992248058,0.5275754422476587,0.6243496357960457,0.09677419354838701,0.5724770642201835,0.653211009174312,0.08073394495412844,0.7172760932168526,0.7462833450298059,0.029007251812953272,571,117,0.20490367775831875,98,5,0.05102040816326531,93,5,0.0625,2.0194839173657902e-28,4.5236497809156325e-22,7.053483178851135e-06
sdata_external,exact_locked_2of4,"++--,+-+-,-++-,+++-,+--+,-+-+,++-+,--++,+-++,-+++,++++",S80,0.8652482269503546,0.8297872340425532,0.03546099290780147,0.6254777070063694,0.6802547770700637,0.054777070063694255,0.661987041036717,0.703023758099352,0.04103671706263501,0.745362966978362,0.7550210055563085,0.009658038577946448,416,122,0.2932692307692308,48,5,0.10416666666666667,43,5,0.0625,2.2737367544323206e-13,1.3680484300948594e-08,0.002049462208397579
sdata_external,exact_locked_2of4,"++--,+-+-,-++-,+++-,+--+,-+-+,++-+,--++,+-++,-+++,++++",S82.5,0.8723404255319149,0.8368794326241135,0.03546099290780147,0.6101910828025477,0.6662420382165605,0.056050955414012726,0.6501079913606912,0.6922246220302376,0.04211663066954641,0.7412657541672314,0.751560735420337,0.010294981253105573,429,123,0.2867132867132867,49,5,0.10204081632653061,44,5,0.0625,1.1368683772161603e-13,7.59715845788378e-09,0.002149439045324459
sdata_external,exact_locked_2of4,"++--,+-+-,-++-,+++-,+--+,-+-+,++-+,--++,+-++,-+++,++++",S85,0.8794326241134752,0.851063829787234,0.028368794326241176,0.575796178343949,0.6331210191082802,0.0573248407643312,0.6220302375809935,0.6663066954643628,0.04427645788336931,0.7276144012287121,0.7420924244477571,0.014478023219045011,457,124,0.2713347921225383,49,4,0.08163265306122448,45,4,0.125,5.684341886080802e-14,8.225455871979648e-10,0.0010171679354810737
sdata_external,exact_locked_2of4,"++--,+-+-,-++-,+++-,+--+,-+-+,++-+,--++,+-++,-+++,++++",S87.5,0.9078014184397163,0.8794326241134752,0.028368794326241065,0.5235668789808917,0.5732484076433121,0.04968152866242037,0.58207343412527,0.6198704103671706,0.03779697624190059,0.7156841487103041,0.7263405158783937,0.010656367168089598,502,128,0.2549800796812749,43,4,0.09302325581395349,39,4,0.125,3.637978807091713e-12,3.1081526685738936e-08,0.009709641551902567
sdata_external,exact_locked_2of4,"++--,+-+-,-++-,+++-,+--+,-+-+,++-+,--++,+-++,-+++,++++",S90,0.9290780141843972,0.9078014184397163,0.021276595744680882,0.4840764331210191,0.5363057324840764,0.05222929936305731,0.5518358531317494,0.5928725701943844,0.04103671706263501,0.7065772236527081,0.7220535754618964,0.015476351809188271,536,131,0.24440298507462688,44,3,0.06818181818181818,41,3,0.25,9.094947017729282e-13,1.6183321349672042e-09,0.002985215905322679
g1090_internal,direct_vote_balanced_pattern_gate,"-+--,--+-,+++-",S80,0.8062015503875969,0.7829457364341085,0.023255813953488413,0.696149843912591,0.7575442247658689,0.06139438085327786,0.7091743119266055,0.7605504587155963,0.05137614678899083,0.751175697150094,0.7702449805999887,0.01906928344989467,396,104,0.26262626262626265,62,3,0.04838709677419355,59,3,0.25,3.469446951953614e-18,1.724922288337538e-14,6.001368540620365e-06
g1090_internal,direct_vote_balanced_pattern_gate,"-+--,--+-,+++-",S82.5,0.8294573643410853,0.7906976744186046,0.03875968992248069,0.6753381893860562,0.7388137356919875,0.06347554630593133,0.6935779816513762,0.744954128440367,0.05137614678899083,0.7523977768635708,0.764755705055296,0.01235792819172521,419,107,0.2553699284009546,66,5,0.07575757575757576,61,5,0.0625,8.673617379884035e-19,2.6307135723296904e-13,0.00010038542604976988
g1090_internal,direct_vote_balanced_pattern_gate,"-+--,--+-,+++-",S85,0.8527131782945736,0.8217054263565892,0.03100775193798444,0.6399583766909469,0.7107180020811654,0.07075962539021852,0.6651376146788991,0.7238532110091743,0.05871559633027523,0.7463357774927603,0.7662117142188773,0.019875936726117094,456,110,0.2412280701754386,72,4,0.05555555555555555,68,4,0.125,6.776263578034403e-21,4.620814601991648e-16,1.6736738020741596e-05
g1090_internal,direct_vote_balanced_pattern_gate,"-+--,--+-,+++-",S87.5,0.875968992248062,0.8527131782945736,0.023255813953488413,0.5775234131113424,0.6482830385015609,0.07075962539021852,0.6128440366972477,0.6724770642201835,0.059633027522935755,0.7267462026797022,0.7504981083980673,0.02375190571836505,519,113,0.21772639691714837,71,3,0.04225352112676056,68,3,0.25,6.776263578034403e-21,5.057803134644878e-17,2.076381752900578e-05
g1090_internal,direct_vote_balanced_pattern_gate,"-+--,--+-,+++-",S90,0.9069767441860465,0.875968992248062,0.03100775193798444,0.5275754422476587,0.6045785639958376,0.07700312174817892,0.5724770642201835,0.636697247706422,0.06422018348623848,0.7172760932168526,0.7402737781219498,0.022997684905097238,571,117,0.20490367775831875,78,4,0.05128205128205128,74,4,0.125,1.0587911840678754e-22,9.9631125455154e-18,0.00011591161187414698
sdata_external,direct_vote_balanced_pattern_gate,"-+--,--+-,+++-",S80,0.8652482269503546,0.7730496453900709,0.09219858156028371,0.6254777070063694,0.7095541401273885,0.08407643312101909,0.661987041036717,0.7192224622030238,0.057235421166306755,0.745362966978362,0.7413018927587297,-0.00406107421963231,416,122,0.2932692307692308,79,13,0.16455696202531644,66,13,0.000244140625,2.710505431213761e-20,1.0781441177091488e-09,0.005730948647906983
sdata_external,direct_vote_balanced_pattern_gate,"-+--,--+-,+++-",S82.5,0.8723404255319149,0.7943262411347518,0.07801418439716312,0.6101910828025477,0.6917197452229299,0.08152866242038215,0.6501079913606912,0.7073434125269978,0.057235421166306644,0.7412657541672314,0.7430229931788408,0.0017572390116094017,429,123,0.2867132867132867,75,11,0.14666666666666667,64,11,0.0009765625,1.0842021724855044e-19,3.108521862394645e-10,0.002960736570094254
sdata_external,direct_vote_balanced_pattern_gate,"-+--,--+-,+++-",S85,0.8794326241134752,0.8297872340425532,0.04964539007092206,0.575796178343949,0.6636942675159235,0.0878980891719745,0.6220302375809935,0.6889848812095032,0.06695464362850967,0.7276144012287121,0.7467407507792383,0.019126349550526167,457,124,0.2713347921225383,76,7,0.09210526315789473,69,7,0.015625,3.3881317890172014e-21,6.417967005513454e-14,5.774313454552344e-05
sdata_external,direct_vote_balanced_pattern_gate,"-+--,--+-,+++-",S87.5,0.9078014184397163,0.8723404255319149,0.03546099290780136,0.5235668789808917,0.6152866242038216,0.09171974522292992,0.58207343412527,0.6544276457883369,0.07235421166306688,0.7156841487103041,0.7438135248678683,0.02812937615756428,502,128,0.2549800796812749,77,5,0.06493506493506493,72,5,0.0625,4.235164736271502e-22,2.8041083952368736e-16,7.0768327200637425e-06
sdata_external,direct_vote_balanced_pattern_gate,"-+--,--+-,+++-",S90,0.9290780141843972,0.8936170212765957,0.03546099290780147,0.4840764331210191,0.5694267515923567,0.08535031847133756,0.5518358531317494,0.6187904967602592,0.06695464362850978,0.7065772236527081,0.7315218864344761,0.02494466278176799,536,131,0.24440298507462688,72,5,0.06944444444444445,67,5,0.0625,1.3552527156068805e-20,6.387730835678276e-15,9.233614921705648e-05
