model,group,n,events,prevalence,auc,threshold,tp,fn,tn,fp,sensitivity,specificity,ppv,npv,pred_positive_rate,partition_k,partition_id
clinical,3part_1,310,48,0.15483870967741936,0.8161577608142494,-0.17615786612778003,40,8,151,111,0.8333333333333334,0.5763358778625954,0.26490066225165565,0.949685534591195,0.4870967741935484,3,1
aec_boundary_gate,3part_1,310,48,0.15483870967741936,0.8293575063613231,0.46205567465486497,40,8,177,85,0.8333333333333334,0.6755725190839694,0.32,0.9567567567567568,0.4032258064516129,3,1
clinical,3part_2,309,47,0.15210355987055016,0.8694169238265389,-0.17615786612778003,44,3,144,118,0.9361702127659575,0.549618320610687,0.2716049382716049,0.9795918367346939,0.5242718446601942,3,2
aec_boundary_gate,3part_2,309,47,0.15210355987055016,0.8823290563586162,0.46205567465486497,44,3,182,80,0.9361702127659575,0.6946564885496184,0.3548387096774194,0.9837837837837838,0.40129449838187703,3,2
clinical,3part_3,307,46,0.1498371335504886,0.8182575378977178,-0.17615786612778003,41,5,146,115,0.8913043478260869,0.5593869731800766,0.26282051282051283,0.9668874172185431,0.50814332247557,3,3
aec_boundary_gate,3part_3,307,46,0.1498371335504886,0.8180909545227386,0.46205567465486497,38,8,176,85,0.8260869565217391,0.6743295019157088,0.3089430894308943,0.9565217391304348,0.4006514657980456,3,3
clinical,5part_1,186,29,0.15591397849462366,0.8664616736217878,-0.17615786612778003,27,2,88,69,0.9310344827586207,0.5605095541401274,0.28125,0.9777777777777777,0.5161290322580645,5,1
aec_boundary_gate,5part_1,186,29,0.15591397849462366,0.8857895892817922,0.46205567465486497,27,2,109,48,0.9310344827586207,0.6942675159235668,0.36,0.9819819819819819,0.4032258064516129,5,1
clinical,5part_2,186,29,0.15591397849462366,0.8183615198770041,-0.17615786612778003,25,4,86,71,0.8620689655172413,0.5477707006369427,0.2604166666666667,0.9555555555555556,0.5161290322580645,5,2
aec_boundary_gate,5part_2,186,29,0.15591397849462366,0.8218756863606413,0.46205567465486497,24,5,107,50,0.8275862068965517,0.6815286624203821,0.32432432432432434,0.9553571428571429,0.3978494623655914,5,2
clinical,5part_3,186,29,0.15591397849462366,0.8315396441906435,-0.17615786612778003,24,5,92,65,0.8275862068965517,0.5859872611464968,0.2696629213483146,0.9484536082474226,0.478494623655914,5,3
aec_boundary_gate,5part_3,186,29,0.15591397849462366,0.8190204260926861,0.46205567465486497,23,6,106,51,0.7931034482758621,0.6751592356687898,0.3108108108108108,0.9464285714285714,0.3978494623655914,5,3
