feature,cohort,baseline_model,extended_model,auc_baseline,auc_extended,auc_diff,z,p_value,rank,bh_threshold,bh_q,bh_significant_q05
HTN,internal,clinic4,clinic4_vatsat,0.7945436714315433,0.8106184433415555,0.0160747719100122,2.777516343885226,0.0054776085207757,1,0.0020833333333333333,0.0840267058839648,False
CKD,external,clinic4_meanmAs,clinic4_meanmAs_aec,0.614074411195813,0.6297132779610877,0.0156388667652747,2.696738401630784,0.0070022254903304,2,0.004166666666666667,0.0840267058839648,False
DM,internal,clinic4_meanmAs,clinic4_meanmAs_aec,0.7206376120605715,0.7405021320887755,0.0198645200282039,2.524586374407673,0.0115834535648351,3,0.00625,0.09266762851868078,False
HTN,external,clinic4_meanmAs,clinic4_meanmAs_aec,0.7183585645124108,0.7296453546453546,0.0112867901329438,2.333974863507401,0.0195970381620005,4,0.008333333333333333,0.117582228972003,False
DM,internal,clinic4_vatsat,clinic4_vatsat_aec,0.7230844777221905,0.7347731927609711,0.0116887150387805,1.959870602922322,0.0500109163892713,5,0.010416666666666668,0.23065544034394295,False
DM,external,clinic4_meanmAs,clinic4_meanmAs_aec,0.6654405636790667,0.6811159936358815,0.0156754299568148,1.8138959409831024,0.0696937477727072,6,0.0125,0.23065544034394295,False
DM,internal,clinic4,clinic4_meanmAs,0.7216574891716752,0.7206376120605715,-0.0010198771111036,-1.79072963064718,0.0733366923888265,7,0.014583333333333335,0.23065544034394295,False
CKD,external,clinic4_vatsat,clinic4_vatsat_aec,0.6169928319490272,0.6265274775287291,0.0095346455797018,1.7594396775612613,0.0785028576254485,8,0.016666666666666666,0.23065544034394295,False
HTN,external,clinic4,clinic4_vatsat,0.7176925638464099,0.7299463357155666,0.0122537718691566,1.714179361156386,0.0864957901289786,9,0.018750000000000003,0.23065544034394295,False
DM,external,clinic4,clinic4_vatsat,0.665451928176377,0.6768959769679521,0.0114440487915751,1.5889843662220422,0.1120639223439303,10,0.020833333333333336,0.2689534136254327,False
HTN,internal,clinic4_meanmAs,clinic4_meanmAs_aec,0.7964724063122233,0.802413147493239,0.0059407411810157,1.4184283477743729,0.1560657441927151,11,0.02291666666666667,0.3405070782386511,False
DM,external,clinic4_vatsat,clinic4_vatsat_aec,0.6768959769679521,0.6856049700734904,0.0087089931055382,1.336631665648423,0.1813428974846718,12,0.025,0.3626857949693436,False
HTN,external,clinic4_vatsat,clinic4_vatsat_aec,0.7299463357155666,0.7334268295806757,0.0034804938651091,1.1246889202126462,0.2607208784243754,13,0.027083333333333334,0.48133085247577,False
CKD,external,clinic4,clinic4_meanmAs,0.6156217999772443,0.614074411195813,-0.0015473887814313,-0.9164874603603674,0.3594112814579363,14,0.02916666666666667,0.6161336253564623,False
HTN,internal,clinic4,clinic4_meanmAs,0.7945436714315433,0.7964724063122233,0.00192873488068,0.7488026511322132,0.4539761615981097,15,0.03125,0.7263618585569755,False
CKD,internal,clinic4_meanmAs,clinic4_meanmAs_aec,0.7676570108112568,0.7715523644466451,0.0038953536353882,0.535572212204929,0.5922542377651455,16,0.03333333333333333,0.8883813566477183,False
CKD,internal,clinic4_vatsat,clinic4_vatsat_aec,0.7697284806470248,0.7727985474952546,0.0030700668482297,0.4445287079648405,0.6566603780158542,17,0.03541666666666667,0.91058770237651,False
CKD,internal,clinic4,clinic4_vatsat,0.7681604357514236,0.7697284806470248,0.0015680448956012,0.2764021588601991,0.7822391987560472,18,0.037500000000000006,0.91058770237651,False
CKD,internal,clinic4,clinic4_meanmAs,0.7681604357514236,0.7676570108112568,-0.0005034249401667,-0.2707143403498689,0.786610746524489,19,0.03958333333333333,0.91058770237651,False
CKD,external,clinic4,clinic4_vatsat,0.6156217999772443,0.6169928319490272,0.0013710319717828,0.2702042721374902,0.7870031062105939,20,0.04166666666666667,0.91058770237651,False
DM,internal,clinic4,clinic4_vatsat,0.7216574891716752,0.7230844777221905,0.0014269885505153,0.2280565250697064,0.8196022974729448,21,0.043750000000000004,0.91058770237651,False
HTN,external,clinic4,clinic4_meanmAs,0.7176925638464099,0.7183585645124108,0.0006660006660008,0.2086705985062872,0.8347053938451341,22,0.04583333333333334,0.91058770237651,False
HTN,internal,clinic4_vatsat,clinic4_vatsat_aec,0.8106184433415555,0.8103153139766412,-0.0003031293649142,-0.1106292879547184,0.9119103216070668,23,0.04791666666666667,0.9515585964595479,False
DM,external,clinic4,clinic4_meanmAs,0.665451928176377,0.6654405636790667,-1.1364497310317743e-05,-0.0589475692743418,0.9529938690963156,24,0.05,0.9529938690963156,False
