feature,model,cohort,n,n_pos,auc,auc_ci_lower,auc_ci_upper
HTN,clinic4,internal,1259,385,0.7953044667003477,,
HTN,frequency,internal,1259,385,0.7928289102202145,,
HTN,clinic4,external,1123,507,0.71769256384641,0.6874165092356662,0.7489159146997117
HTN,frequency,external,1123,507,0.7226139245370015,0.6932345511332378,0.7537549328843502
DM,clinic4,internal,1259,232,0.7185621831246012,,
DM,frequency,internal,1259,232,0.7153409663230702,,
DM,clinic4,external,1123,335,0.665451928176377,0.6323651962137189,0.6991494212926231
DM,frequency,external,1123,335,0.658504432153951,0.6252432799711134,0.6933919503942622
CKD,clinic4,internal,1259,105,0.766080713047784,,
CKD,frequency,internal,1259,105,0.7610382107782454,,
CKD,clinic4,external,1123,188,0.6156217999772443,0.5712956423342955,0.6618362883663793
CKD,frequency,external,1123,188,0.6156104221185572,0.5699026520919718,0.6610005158196482
