embed_dim,residual_hidden,feature,internal_oof_auc,delta_vs_clinic4
8,0,HTN,0.7943118666230794,-0.000992600077268313
8,16,HTN,0.7990846681922196,0.0037802014918718596
16,0,HTN,0.799922731730512,0.00461826503016427
16,16,HTN,0.7978513477369313,0.002546881036583626
8,0,DM,0.7081220830675219,-0.010440100057079293
8,16,DM,0.7030898499143806,-0.015472333210220568
16,0,DM,0.7191770473088676,0.0006148641842663727
16,16,DM,0.7207845079407716,0.0022223248161704623
8,0,CKD,0.6785177849302633,-0.08756292811752076
8,16,CKD,0.7167203103078319,-0.049360402739952125
16,0,CKD,0.7480894610877279,-0.01799125196005613
16,16,CKD,0.7582569943055212,-0.007823718742262842
