feature,cohort,baseline_model,extended_model,auc_baseline,auc_extended,auc_diff,z,p_value
HTN,internal,clinic4,clinic4_vatsat_aec_cnn,0.7945436714315433,0.8013521947160391,0.006808523284495882,0.8499030755704633,0.3953789755181405
HTN,external,clinic4,clinic4_vatsat_aec_cnn,0.7176925638464099,0.73299777145931,0.015305207612900107,1.6384164875768334,0.10133484207381346
HTN,internal,clinic4_vatsat_aec_fpca,clinic4_vatsat_aec_cnn,0.8103153139766412,0.8013521947160391,-0.008963119260602115,-1.9362809321541727,0.05283330284821865
HTN,external,clinic4_vatsat_aec_fpca,clinic4_vatsat_aec_cnn,0.7334268295806757,0.73299777145931,-0.00042905812136573296,-0.09248660126828111,0.9263114362316688
DM,internal,clinic4,clinic4_vatsat_aec_cnn,0.7216574891716752,0.7291953463385152,0.0075378571668400784,0.6158678369602332,0.5379817506103683
DM,external,clinic4,clinic4_vatsat_aec_cnn,0.665451928176377,0.6541745586786878,-0.011277369497689205,-0.7863017436268943,0.43169073121959356
DM,internal,clinic4_vatsat_aec_fpca,clinic4_vatsat_aec_cnn,0.7347731927609711,0.7291953463385152,-0.0055778464224558455,-0.6648347269572747,0.5061562084147737
DM,external,clinic4_vatsat_aec_fpca,clinic4_vatsat_aec_cnn,0.6856049700734904,0.6541745586786878,-0.031430411394802626,-3.256407768753936,0.0011283158116872903
CKD,internal,clinic4,clinic4_vatsat_aec_cnn,0.7681604357514236,0.7498225633407609,-0.018337872410662648,-1.1517308135939432,0.2494317060379333
CKD,external,clinic4,clinic4_vatsat_aec_cnn,0.6156217999772443,0.6204005006257822,0.004778700648537915,0.37698026495360804,0.7061882710898935
CKD,internal,clinic4_vatsat_aec_fpca,clinic4_vatsat_aec_cnn,0.7727985474952546,0.7498225633407609,-0.022975984154493645,-1.7824468224391956,0.07467639577221867
CKD,external,clinic4_vatsat_aec_fpca,clinic4_vatsat_aec_cnn,0.6265274775287291,0.6204005006257822,-0.006126976902946835,-0.5085505123768402,0.6110673243605924
