feature,cohort,baseline_model,extended_model,auc_baseline,auc_extended,auc_diff,z,p_value
HTN,internal,clinic4,clinic4_vatsat_aec_latefusion,0.7945436714315433,0.7893310350976255,-0.005212636333917775,-0.5968037168372752,0.5506384361282366
HTN,external,clinic4,clinic4_vatsat_aec_latefusion,0.7176925638464099,0.7186435359512283,0.0009509721048184261,0.09772196800954172,0.9221530710965318
HTN,internal,clinic4_vatsat_aec_fpca,clinic4_vatsat_aec_latefusion,0.8103153139766412,0.7893310350976255,-0.020984278879015772,-3.6544018432300294,0.00025778225875061937
HTN,external,clinic4_vatsat_aec_fpca,clinic4_vatsat_aec_latefusion,0.7334268295806757,0.7186435359512283,-0.014783293629447414,-2.263108526926094,0.023629000051160375
HTN,internal,clinic4_vatsat_aec_cnn,clinic4_vatsat_aec_latefusion,0.8013521947160391,0.7893310350976255,-0.012021159618413657,-2.6710141723051133,0.007562245386545032
HTN,external,clinic4_vatsat_aec_cnn,clinic4_vatsat_aec_latefusion,0.73299777145931,0.7186435359512283,-0.01435423550808168,-2.61583479165921,0.008900961305288594
DM,internal,clinic4,clinic4_vatsat_aec_latefusion,0.7216574891716752,0.7272815028707651,0.005624013699089936,0.5256479712863198,0.5991328196282852
DM,external,clinic4,clinic4_vatsat_aec_latefusion,0.665451928176377,0.6670315933025229,0.001579665126145935,0.1407246430261223,0.8880874765016518
DM,internal,clinic4_vatsat_aec_fpca,clinic4_vatsat_aec_latefusion,0.7347731927609711,0.7272815028707651,-0.007491689890205988,-1.0245129900692096,0.3055930384254584
DM,external,clinic4_vatsat_aec_fpca,clinic4_vatsat_aec_latefusion,0.6856049700734904,0.6670315933025229,-0.018573376770967487,-2.6060998273141416,0.009157976633801286
DM,internal,clinic4_vatsat_aec_cnn,clinic4_vatsat_aec_latefusion,0.7291953463385152,0.7272815028707651,-0.0019138434677501426,-0.3132205054696192,0.7541131405779455
DM,external,clinic4_vatsat_aec_cnn,clinic4_vatsat_aec_latefusion,0.6541745586786878,0.6670315933025229,0.01285703462383514,2.4184360835064167,0.015587383739345907
CKD,internal,clinic4,clinic4_vatsat_aec_latefusion,0.7681604357514236,0.7565321449203599,-0.011628290831063648,-0.7159770670881912,0.4740055094925155
CKD,external,clinic4,clinic4_vatsat_aec_latefusion,0.6156217999772443,0.6380447149846399,0.022422915007395572,1.6087363524224045,0.10767400334535411
CKD,internal,clinic4_vatsat_aec_fpca,clinic4_vatsat_aec_latefusion,0.7727985474952546,0.7565321449203599,-0.016266402574894645,-1.204049989877027,0.2285702575744516
CKD,external,clinic4_vatsat_aec_fpca,clinic4_vatsat_aec_latefusion,0.6265274775287291,0.6380447149846399,0.011517237455910823,0.8596164339370571,0.3900005129869334
CKD,internal,clinic4_vatsat_aec_cnn,clinic4_vatsat_aec_latefusion,0.7498225633407609,0.7565321449203599,0.006709581579599,0.7628073175455343,0.44557831642758816
CKD,external,clinic4_vatsat_aec_cnn,clinic4_vatsat_aec_latefusion,0.6204005006257822,0.6380447149846399,0.017644214358857657,2.271243650727576,0.02313223231129226
