feature,model,cohort,n,n_pos,prevalence,auc,auc_ci_lower,auc_ci_upper
HTN,clinic4_vatsat_aec_tcn,internal,1259,385,0.3057982525814138,0.8078367856399893,,
HTN,clinic4_vatsat_aec_tcn,external,1123,507,0.4514692787177204,0.737374804682497,0.709597639097351,0.7667678093561118
HTN,clinic4,internal,1259,385,0.3057982525814138,0.7945436714315434,,
HTN,clinic4,external,1123,507,0.4514692787177204,0.71769256384641,0.6874165092356662,0.7489159146997117
HTN,clinic4_vatsat_aec_fpca,internal,1259,385,0.3057982525814138,0.8103153139766411,,
HTN,clinic4_vatsat_aec_fpca,external,1123,507,0.4514692787177204,0.7334268295806757,0.7053255882787866,0.7635699786210448
HTN,clinic4_vatsat_aec_cnn,internal,1259,385,0.3057982525814138,0.8013521947160391,,
HTN,clinic4_vatsat_aec_cnn,external,1123,507,0.4514692787177204,0.7329977714593099,0.7046968362878598,0.7627142498821766
DM,clinic4_vatsat_aec_tcn,internal,1259,232,0.18427323272438442,0.7278732834167142,,
DM,clinic4_vatsat_aec_tcn,external,1123,335,0.2983081032947462,0.6753541934995075,0.6424854365474075,0.7092597780771275
DM,clinic4,internal,1259,232,0.18427323272438442,0.7216574891716752,,
DM,clinic4,external,1123,335,0.2983081032947462,0.665451928176377,0.6323651962137189,0.6991494212926231
DM,clinic4_vatsat_aec_fpca,internal,1259,232,0.18427323272438442,0.734773192760971,,
DM,clinic4_vatsat_aec_fpca,external,1123,335,0.2983081032947462,0.6856049700734904,0.6524392237528359,0.7190038788497501
DM,clinic4_vatsat_aec_cnn,internal,1259,232,0.18427323272438442,0.7291953463385152,,
DM,clinic4_vatsat_aec_cnn,external,1123,335,0.2983081032947462,0.6541745586786879,0.6204931926160564,0.6880834052298677
CKD,clinic4_vatsat_aec_tcn,internal,1259,105,0.08339952343129468,0.7659734257654535,,
CKD,clinic4_vatsat_aec_tcn,external,1123,188,0.1674087266251113,0.6322220958015701,0.5883227046926884,0.676168752300546
CKD,clinic4,internal,1259,105,0.08339952343129468,0.7681604357514236,,
CKD,clinic4,external,1123,188,0.1674087266251113,0.6156217999772443,0.5712956423342955,0.6618362883663793
CKD,clinic4_vatsat_aec_fpca,internal,1259,105,0.08339952343129468,0.7727985474952546,,
CKD,clinic4_vatsat_aec_fpca,external,1123,188,0.1674087266251113,0.6265274775287292,0.5818888211400922,0.6727283944032084
CKD,clinic4_vatsat_aec_cnn,internal,1259,105,0.08339952343129468,0.7498225633407609,,
CKD,clinic4_vatsat_aec_cnn,external,1123,188,0.1674087266251113,0.6204005006257822,0.5760035340765968,0.6639630678324729
