feature,n_levels,width,kernel_size,internal_oof_auc
HTN,3,16,3,0.7924901185770751
HTN,3,16,5,0.7972748075722905
HTN,3,32,3,0.7967606763945436
HTN,3,32,5,0.7903533537400813
HTN,4,16,3,0.7971811940919493
HTN,4,16,5,0.7890041308805611
HTN,4,32,3,0.7953965942524295
HTN,4,32,5,0.7770097179708164
DM,3,16,3,0.7141364201054293
DM,3,16,5,0.7082857670483161
DM,3,32,3,0.7153157841721788
DM,3,32,5,0.7075554846724641
DM,4,16,3,0.7057465668334284
DM,4,16,5,0.7048945707282678
DM,4,32,3,0.7115762347647987
DM,4,32,5,0.7017006345902024
CKD,3,16,3,0.7560947429231658
CKD,3,16,5,0.7142196913427417
CKD,3,32,3,0.7172484938516135
CKD,3,32,5,0.7353140216225138
CKD,4,16,3,0.7531567219608815
CKD,4,16,5,0.6728068003631262
CKD,4,32,3,0.7561442601303953
CKD,4,32,5,0.7138400594206487
