feature,model,cohort,n,n_pos,auc,auc_ci_lower,auc_ci_upper
HTN,clinic4,internal,1259,385,0.7953044667003477,,
HTN,attnpool,internal,1259,385,0.7983833100537906,,
HTN,clinic4,external,1123,507,0.71769256384641,0.6874165092356662,0.7489159146997117
HTN,attnpool,external,1123,507,0.7330650119111658,0.7037297756618145,0.7640202419678944
DM,clinic4,internal,1259,232,0.7185621831246012,,
DM,attnpool,internal,1259,232,0.7228578383641675,,
DM,clinic4,external,1123,335,0.665451928176377,0.6323651962137189,0.6991494212926231
DM,attnpool,external,1123,335,0.673361618304417,0.639733009367261,0.7074124995485024
CKD,clinic4,internal,1259,105,0.766080713047784,,
CKD,attnpool,internal,1259,105,0.7641495419658332,,
CKD,clinic4,external,1123,188,0.6156217999772443,0.5712956423342955,0.6618362883663793
CKD,attnpool,external,1123,188,0.6271191261804527,0.5814609793079014,0.6710835580562036
