feature,comparison,cohort,auc_a,auc_b,diff,z,p_value
HTN,concat_minus_clinic4,internal,0.7953044667003477,0.7943623881838984,-0.0009420785164493,-0.1949568053410227,0.8454267630514501
HTN,concat_minus_clinic4,external,0.7176925638464099,0.7279051077127999,0.01021254386639,1.6504936918188042,0.0988420024735865
DM,concat_minus_clinic4,internal,0.7185621831246012,0.7253886445287581,0.0068264614041568,0.7507652665366773,0.4527939362408487
DM,concat_minus_clinic4,external,0.665451928176377,0.6743010834154103,0.0088491552390332,1.125930278719694,0.2601950318711724
CKD,concat_minus_clinic4,internal,0.766080713047784,0.7602871998019312,-0.0057935132458528,-0.5505666041439132,0.5819308073267558
CKD,concat_minus_clinic4,external,0.6156217999772443,0.6205996131528047,0.0049778131755603,0.8163039544753738,0.4143263132310331
HTN,gated_minus_clinic4,internal,0.7953044667003477,0.7949240690659456,-0.0003803976344021,-0.0654212087437561,0.9478386381146232
HTN,gated_minus_clinic4,external,0.7176925638464099,0.7255180716719177,0.0078255078255078,1.375841166488695,0.1688708132400759
DM,gated_minus_clinic4,internal,0.7185621831246012,0.7238861095255682,0.005323926400967,0.6030238457616439,0.5464928259878387
DM,gated_minus_clinic4,external,0.665451928176377,0.674744298810516,0.009292370634139,1.43746864225714,0.1505848767239156
CKD,gated_minus_clinic4,internal,0.766080713047784,0.7592225798464967,-0.0068581332012873,-0.4590462914777506,0.6462009240358983
CKD,gated_minus_clinic4,external,0.6156217999772443,0.6180339060188872,0.0024121060416428,0.5276185507881659,0.5977641148196979
HTN,attnpool_minus_clinic4,internal,0.7953044667003477,0.7983833100537905,0.0030788433534427,0.602434004645547,0.5468852805500165
HTN,attnpool_minus_clinic4,external,0.7176925638464099,0.7330650119111658,0.0153724480647559,2.9450205051607745,0.0032293326026371
DM,attnpool_minus_clinic4,internal,0.7185621831246012,0.7228578383641675,0.0042956552395663,0.5506109624222952,0.5819003923849404
DM,attnpool_minus_clinic4,external,0.665451928176377,0.673361618304417,0.0079096901280399,1.0309237884675555,0.302576560146647
CKD,attnpool_minus_clinic4,internal,0.766080713047784,0.7641495419658331,-0.0019311710819509,-0.1876404349760179,0.8511585266732962
CKD,attnpool_minus_clinic4,external,0.6156217999772443,0.6271191261804528,0.0114973262032085,1.1833498986099966,0.2366705046495992
HTN,crossattn_minus_clinic4,internal,0.7953044667003477,0.7902909447531874,-0.0050135219471603,-1.0569158794663396,0.2905499805920831
HTN,crossattn_minus_clinic4,external,0.7176925638464099,0.7249000999001,0.00720753605369,1.1987692502071825,0.2306176823611592
DM,crossattn_minus_clinic4,internal,0.7185621831246012,0.7131165429943256,-0.0054456401302755,-0.60671302030762,0.5440413798522217
DM,crossattn_minus_clinic4,external,0.665451928176377,0.6765474657170998,0.0110955375407227,1.96176452386354,0.0497899057492512
CKD,crossattn_minus_clinic4,internal,0.766080713047784,0.7515061483865644,-0.0145745646612196,-1.119777781835232,0.2628084695393249
CKD,crossattn_minus_clinic4,external,0.6156217999772443,0.6154056206621914,-0.0002161793150529,-0.0275250496911689,0.978040960649587
