feature,model,cohort,n,r2,r2_ci_lower,r2_ci_upper,rmse,mae,pearson_r,p_value
VAT(내장지방)_SUM,clinic4,internal,1079,0.5200940751675294,0.4779151095419323,0.5586312328549737,3598.9300625130572,2615.047673835896,0.7212051059408793,6.442349369187631e-174
VAT(내장지방)_SUM,clinic4,external,922,0.4186131912711969,0.35889781434099743,0.469743955549989,4078.3179549098227,3120.2114137369017,0.6642787842799014,2.0474854776769765e-118
VAT(내장지방)_SUM,clinic4_aec_sd,internal,1079,0.5384808808334616,0.4958614785898007,0.5783086068425527,3529.3131951989494,2564.5876123726157,0.7338534699479348,4.523829043446529e-183
VAT(내장지방)_SUM,clinic4_aec_sd,external,922,0.4374883039488583,0.38232627924614027,0.48475831688017734,4011.5690591122498,3083.7579141538054,0.6625037390234382,1.4212618445882455e-117
VAT(내장지방)_SUM,clinic4_aec_skew,internal,1079,0.5300633683434923,0.48621133278570594,0.5707256159886257,3561.3528215228725,2575.321820273133,0.7281086911573297,7.53485109074524e-179
VAT(내장지방)_SUM,clinic4_aec_skew,external,922,0.4108960053435484,0.35520936591671265,0.4580085451390621,4105.296021189766,3126.1566781790066,0.6669833989476057,1.0421261248578506e-119
VAT(내장지방)_SUM,clinic4_aec_shape_no_fpca,internal,1079,0.5686965894198606,0.5296069615863197,0.603824278522479,3411.825395603735,2503.6693473184523,0.7541695183474859,6.2781927146893e-199
VAT(내장지방)_SUM,clinic4_aec_shape_no_fpca,external,922,0.4844576862062351,0.4386742694106012,0.5232975870993066,3840.4370663229834,2946.029054279093,0.7118583458246053,2.4046797481643714e-143
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,1079,0.6165596338051487,0.577464917397576,0.6520318493929109,3216.9496727806036,2357.690818926919,0.785247088242569,1.902006716296066e-226
VAT(내장지방)_SUM,clinic4_aec_fpca,external,922,0.48885173774563684,0.4432459486254304,0.5279751146029943,3824.0357067539035,2951.6179914954896,0.7364997853121078,2.30135940739844e-158
