scope,feature,cohort,auc_clinic4,auc_ci_lower_clinic4,auc_ci_upper_clinic4,auc_clinic4_aec_best,auc_ci_lower_clinic4_aec_best,auc_ci_upper_clinic4_aec_best,delta_auc_aec_best_minus_clinic4,delong_z,delong_p_value
total,SAT(피하지방)_SUM,internal,0.8381,0.8004,0.873,0.8462,0.8105,0.8792,0.0081,0.8264,0.4086
total,SAT(피하지방)_SUM,external,0.8727,0.8368,0.9041,0.8867,0.8537,0.9154,0.014,1.7555,0.0792
total,VAT(내장지방)_SUM,internal,0.8486,0.8179,0.8771,0.8976,0.8746,0.9184,0.0489,4.6973,0.0
total,VAT(내장지방)_SUM,external,0.8147,0.7806,0.8481,0.8576,0.8276,0.8865,0.0429,3.1791,0.0015
total,Total Fat_SUM,internal,0.8506,0.8134,0.8829,0.8717,0.84,0.8997,0.0211,2.2527,0.0243
total,Total Fat_SUM,external,0.8688,0.8358,0.8994,0.8904,0.8598,0.9186,0.0216,2.5504,0.0108
total,VAT_TotalFat_ratio,internal,0.7612,0.7247,0.7977,0.8362,0.8045,0.8663,0.075,5.2694,0.0
total,VAT_TotalFat_ratio,external,0.7092,0.6689,0.7478,0.7871,0.7524,0.8199,0.0779,4.6355,0.0
total,VAT_SAT_ratio,internal,0.7614,0.7243,0.7982,0.8443,0.8117,0.8746,0.0829,5.5456,0.0
total,VAT_SAT_ratio,external,0.7084,0.667,0.749,0.7821,0.7465,0.8176,0.0738,4.0559,0.0
total,VAT_TAMA_ratio,internal,0.8416,0.8119,0.8699,0.8896,0.8638,0.9136,0.048,4.5804,0.0
total,VAT_TAMA_ratio,external,0.8034,0.7674,0.8385,0.8494,0.8164,0.8809,0.046,3.0805,0.0021
total,TotalFat_TAMA_ratio,internal,0.822,0.7822,0.8576,0.8531,0.8176,0.8863,0.031,2.5098,0.0121
total,TotalFat_TAMA_ratio,external,0.8206,0.7825,0.8575,0.8555,0.8222,0.8872,0.0349,2.9168,0.0035
total,SAT_TotalFat_ratio,internal,0.7746,0.7368,0.8107,0.8128,0.7786,0.8432,0.0382,3.3403,0.0008
total,SAT_TotalFat_ratio,external,0.7627,0.7209,0.8038,0.7987,0.7606,0.835,0.036,2.456,0.0141
total,SAT_TAMA_ratio,internal,0.808,0.7658,0.8494,0.8322,0.7914,0.8699,0.0242,1.762,0.0781
total,SAT_TAMA_ratio,external,0.8202,0.78,0.8586,0.8368,0.8021,0.8715,0.0166,1.434,0.1516
male,SAT(피하지방)_SUM,internal,0.74,0.6531,0.8233,0.7383,0.6482,0.8209,-0.0017,-0.0868,0.9308
male,SAT(피하지방)_SUM,external,0.8583,0.7948,0.9134,0.8851,0.8321,0.9299,0.0268,2.0298,0.0424
male,VAT(내장지방)_SUM,internal,0.7683,0.6973,0.8373,0.8552,0.7999,0.9033,0.0869,3.6625,0.0002
male,VAT(내장지방)_SUM,external,0.8262,0.7702,0.8762,0.8787,0.8348,0.9178,0.0524,2.1964,0.0281
male,Total Fat_SUM,internal,0.7695,0.6788,0.8513,0.8107,0.7303,0.8823,0.0412,1.7901,0.0734
male,Total Fat_SUM,external,0.8759,0.8218,0.9243,0.888,0.8328,0.9345,0.0121,0.4609,0.6448
male,VAT_TotalFat_ratio,internal,0.6081,0.5343,0.6803,0.7757,0.7083,0.8378,0.1676,4.5544,0.0
male,VAT_TotalFat_ratio,external,0.6898,0.6247,0.7551,0.7147,0.6504,0.775,0.025,0.7037,0.4816
male,VAT_SAT_ratio,internal,0.6081,0.5343,0.6803,0.7757,0.7083,0.8378,0.1676,4.5544,0.0
male,VAT_SAT_ratio,external,0.6957,0.6265,0.7644,0.71,0.641,0.7751,0.0143,0.389,0.6973
male,VAT_TAMA_ratio,internal,0.7234,0.6444,0.8003,0.8194,0.747,0.8851,0.096,3.3715,0.0007
male,VAT_TAMA_ratio,external,0.7827,0.7215,0.8408,0.7976,0.7444,0.8524,0.0149,0.4343,0.6641
male,TotalFat_TAMA_ratio,internal,0.7474,0.6077,0.8669,0.7526,0.5913,0.8924,0.0052,0.0937,0.9253
male,TotalFat_TAMA_ratio,external,0.7552,0.6304,0.8651,0.7797,0.6894,0.8647,0.0246,0.7555,0.4499
male,SAT_TotalFat_ratio,internal,0.7278,0.6544,0.7989,0.7748,0.7054,0.84,0.047,1.8264,0.0678
male,SAT_TotalFat_ratio,external,0.7342,0.6698,0.7969,0.7801,0.7193,0.8375,0.0458,2.3261,0.02
male,SAT_TAMA_ratio,internal,0.4977,0.1954,0.7813,0.6121,0.3403,0.8727,0.1144,3.414,0.0006
male,SAT_TAMA_ratio,external,0.6967,0.5327,0.8405,0.6325,0.4652,0.7902,-0.0642,-0.5913,0.5543
female,SAT(피하지방)_SUM,internal,0.8711,0.8343,0.9054,0.8853,0.8514,0.9158,0.0142,1.2298,0.2188
female,SAT(피하지방)_SUM,external,0.874,0.8309,0.9135,0.8767,0.8319,0.9165,0.0027,0.2397,0.8106
female,VAT(내장지방)_SUM,internal,0.8771,0.8461,0.9061,0.9097,0.8849,0.9341,0.0326,3.218,0.0013
female,VAT(내장지방)_SUM,external,0.8027,0.7549,0.8486,0.8503,0.8107,0.8873,0.0475,3.0427,0.0023
female,Total Fat_SUM,internal,0.878,0.8448,0.9091,0.9004,0.872,0.928,0.0223,2.0547,0.0399
female,Total Fat_SUM,external,0.8588,0.8122,0.8995,0.8643,0.8209,0.9047,0.0055,0.4401,0.6599
female,VAT_TotalFat_ratio,internal,0.8179,0.7793,0.8564,0.8564,0.82,0.889,0.0385,3.1562,0.0016
female,VAT_TotalFat_ratio,external,0.7265,0.6769,0.776,0.8209,0.7782,0.8606,0.0944,5.5399,0.0
female,VAT_SAT_ratio,internal,0.8269,0.7871,0.8659,0.8644,0.8278,0.8976,0.0375,2.8389,0.0045
female,VAT_SAT_ratio,external,0.7261,0.6735,0.7777,0.8164,0.7716,0.8586,0.0903,4.8478,0.0
