feature,cohort,auc_clinic4,auc_ci_lower_clinic4,auc_ci_upper_clinic4,auc_clinic4_aec_best,auc_ci_lower_clinic4_aec_best,auc_ci_upper_clinic4_aec_best,delta_auc_aec_best_minus_clinic4,delong_z,delong_p_value
SAT(피하지방)_SUM,internal,0.8711,0.8343,0.9054,0.8853,0.8514,0.9158,0.0142,1.2298,0.2188
SAT(피하지방)_SUM,external,0.874,0.8309,0.9135,0.8767,0.8319,0.9165,0.0027,0.2397,0.8106
VAT(내장지방)_SUM,internal,0.8771,0.8461,0.9061,0.9097,0.8849,0.9341,0.0326,3.218,0.0013
VAT(내장지방)_SUM,external,0.8027,0.7549,0.8486,0.8503,0.8107,0.8873,0.0475,3.0427,0.0023
Total Fat_SUM,internal,0.878,0.8448,0.9091,0.9004,0.872,0.928,0.0223,2.0547,0.0399
Total Fat_SUM,external,0.8588,0.8122,0.8995,0.8643,0.8209,0.9047,0.0055,0.4401,0.6599
VAT_TotalFat_ratio,internal,0.8179,0.7793,0.8564,0.8564,0.82,0.889,0.0385,3.1562,0.0016
VAT_TotalFat_ratio,external,0.7265,0.6769,0.776,0.8209,0.7782,0.8606,0.0944,5.5399,0.0
VAT_SAT_ratio,internal,0.8269,0.7871,0.8659,0.8644,0.8278,0.8976,0.0375,2.8389,0.0045
VAT_SAT_ratio,external,0.7261,0.6735,0.7777,0.8164,0.7716,0.8586,0.0903,4.8478,0.0
VAT_TAMA_ratio,internal,0.8725,0.8441,0.9009,0.9044,0.8779,0.9281,0.0318,3.1406,0.0017
VAT_TAMA_ratio,external,0.8042,0.7577,0.8473,0.863,0.8245,0.8982,0.0588,3.4821,0.0005
TotalFat_TAMA_ratio,internal,0.7988,0.7517,0.8432,0.8312,0.7882,0.8707,0.0324,2.378,0.0174
TotalFat_TAMA_ratio,external,0.7749,0.7278,0.8218,0.8267,0.7852,0.8661,0.0518,2.9223,0.0035
SAT_TotalFat_ratio,internal,0.7982,0.7549,0.8409,0.8243,0.7845,0.8628,0.0261,1.8921,0.0585
SAT_TotalFat_ratio,external,0.7928,0.7364,0.844,0.8087,0.7519,0.8577,0.0159,0.8931,0.3718
SAT_TAMA_ratio,internal,0.7456,0.6923,0.7935,0.7873,0.7385,0.8324,0.0416,2.3582,0.0184
SAT_TAMA_ratio,external,0.7509,0.6987,0.8025,0.7885,0.7392,0.8356,0.0375,1.9109,0.056
