feature,cohort,auc_clinic4,auc_ci_lower_clinic4,auc_ci_upper_clinic4,auc_clinic4_aec_best,auc_ci_lower_clinic4_aec_best,auc_ci_upper_clinic4_aec_best,delta_auc_aec_best_minus_clinic4,delong_z,delong_p_value
SAT(피하지방)_SUM,internal,0.74,0.6531,0.8233,0.7383,0.6482,0.8209,-0.0017,-0.0868,0.9308
SAT(피하지방)_SUM,external,0.8583,0.7948,0.9134,0.8851,0.8321,0.9299,0.0268,2.0298,0.0424
VAT(내장지방)_SUM,internal,0.7683,0.6973,0.8373,0.8552,0.7999,0.9033,0.0869,3.6625,0.0002
VAT(내장지방)_SUM,external,0.8262,0.7702,0.8762,0.8787,0.8348,0.9178,0.0524,2.1964,0.0281
Total Fat_SUM,internal,0.7695,0.6788,0.8513,0.8107,0.7303,0.8823,0.0412,1.7901,0.0734
Total Fat_SUM,external,0.8759,0.8218,0.9243,0.888,0.8328,0.9345,0.0121,0.4609,0.6448
VAT_TotalFat_ratio,internal,0.6081,0.5343,0.6803,0.7757,0.7083,0.8378,0.1676,4.5544,0.0
VAT_TotalFat_ratio,external,0.6898,0.6247,0.7551,0.7147,0.6504,0.775,0.025,0.7037,0.4816
VAT_SAT_ratio,internal,0.6081,0.5343,0.6803,0.7757,0.7083,0.8378,0.1676,4.5544,0.0
VAT_SAT_ratio,external,0.6957,0.6265,0.7644,0.71,0.641,0.7751,0.0143,0.389,0.6973
VAT_TAMA_ratio,internal,0.7234,0.6444,0.8003,0.8194,0.747,0.8851,0.096,3.3715,0.0007
VAT_TAMA_ratio,external,0.7827,0.7215,0.8408,0.7976,0.7444,0.8524,0.0149,0.4343,0.6641
TotalFat_TAMA_ratio,internal,0.7474,0.6077,0.8669,0.7526,0.5913,0.8924,0.0052,0.0937,0.9253
TotalFat_TAMA_ratio,external,0.7552,0.6304,0.8651,0.7797,0.6894,0.8647,0.0246,0.7555,0.4499
SAT_TotalFat_ratio,internal,0.7278,0.6544,0.7989,0.7748,0.7054,0.84,0.047,1.8264,0.0678
SAT_TotalFat_ratio,external,0.7342,0.6698,0.7969,0.7801,0.7193,0.8375,0.0458,2.3261,0.02
SAT_TAMA_ratio,internal,0.4977,0.1954,0.7813,0.6121,0.3403,0.8727,0.1144,3.414,0.0006
SAT_TAMA_ratio,external,0.6967,0.5327,0.8405,0.6325,0.4652,0.7902,-0.0642,-0.5913,0.5543
