feature,cohort,comparison_model,auc_clinic4,auc_aec_model,auc_diff,z,p_value
SAT(피하지방)_SUM,internal,clinic4_aec_best,0.7399946991783727,0.7382719321494832,0.0017227670288895158,0.08683190066943783,0.9308051303130651
SAT(피하지방)_SUM,external,clinic4_aec_best,0.8583369518019974,0.8851498046026922,-0.026812852800694786,-2.0298104888422626,0.04237580638391728
VAT(내장지방)_SUM,internal,clinic4_aec_best,0.7683312620042932,0.8552141001016834,-0.08688283809739017,-3.6625012065504827,0.0002497645759514045
VAT(내장지방)_SUM,external,clinic4_aec_best,0.8262497964500896,0.8786842533789285,-0.05243445692883897,-2.1963988376705985,0.028063408789240206
Total Fat_SUM,internal,clinic4_aec_best,0.7694805194805194,0.8106944076331831,-0.04121388815266369,-1.7901241439578415,0.07343395620504435
Total Fat_SUM,external,clinic4_aec_best,0.8759278398947665,0.8880015033355256,-0.012073663440759108,-0.4609315927649354,0.6448476846552976
VAT_TotalFat_ratio,internal,clinic4_aec_best,0.6081039755351683,0.7757390417940877,-0.16763506625891944,-4.554407782197795,5.253336355218735e-06
VAT_TotalFat_ratio,external,clinic4_aec_best,0.6897623544224111,0.7147466163046899,-0.02498426188227887,-0.7036581987039249,0.48164565826680505
VAT_SAT_ratio,internal,clinic4_aec_best,0.6081039755351683,0.7757390417940877,-0.16763506625891944,-4.554407782197795,5.253336355218735e-06
VAT_SAT_ratio,external,clinic4_aec_best,0.6956557992162095,0.7099558075544068,-0.014300008338197334,-0.38901660252771453,0.6972638648141829
VAT_TAMA_ratio,internal,clinic4_aec_best,0.723391812865497,0.8194282001299545,-0.09603638726445751,-3.371480169640147,0.0007476542104176417
VAT_TAMA_ratio,external,clinic4_aec_best,0.7827288293897883,0.7975949564134496,-0.014866127023661302,-0.43426372171355326,0.6640969448764831
TotalFat_TAMA_ratio,internal,clinic4_aec_best,0.7473767885532592,0.7526232114467409,-0.005246422893481761,-0.0937301748882768,0.9253234996937
TotalFat_TAMA_ratio,external,clinic4_aec_best,0.7551571235781762,0.7797378060535956,-0.024580682475419335,-0.7555498749559764,0.449919118557088
SAT_TotalFat_ratio,internal,clinic4_aec_best,0.7278444272445821,0.7748161764705883,-0.04697174922600622,-1.8263967214005994,0.06779052537290219
SAT_TotalFat_ratio,external,clinic4_aec_best,0.7342231010051079,0.7800708518701598,-0.045847750865051884,-2.326107878798153,0.02001279634639691
SAT_TAMA_ratio,internal,clinic4_aec_best,0.49769129287598945,0.6121372031662269,-0.11444591029023743,-3.41404112428419,0.0006400691368534423
SAT_TAMA_ratio,external,clinic4_aec_best,0.6967479674796748,0.632520325203252,0.06422764227642286,0.5912679596800113,0.5543408939814278
