feature,cohort,auc_clinic4,auc_ci_lower_clinic4,auc_ci_upper_clinic4,auc_clinic4_aec_best,auc_ci_lower_clinic4_aec_best,auc_ci_upper_clinic4_aec_best,delta_auc_aec_best_minus_clinic4,delong_z,delong_p_value
SAT(피하지방)_SUM,internal,0.8381,0.8004,0.873,0.8462,0.8105,0.8792,0.0081,0.8264,0.4086
SAT(피하지방)_SUM,external,0.8727,0.8368,0.9041,0.8867,0.8537,0.9154,0.014,1.7555,0.0792
VAT(내장지방)_SUM,internal,0.8486,0.8179,0.8771,0.8976,0.8746,0.9184,0.0489,4.6973,0.0
VAT(내장지방)_SUM,external,0.8147,0.7806,0.8481,0.8576,0.8276,0.8865,0.0429,3.1791,0.0015
Total Fat_SUM,internal,0.8506,0.8134,0.8829,0.8717,0.84,0.8997,0.0211,2.2527,0.0243
Total Fat_SUM,external,0.8688,0.8358,0.8994,0.8904,0.8598,0.9186,0.0216,2.5504,0.0108
VAT_TotalFat_ratio,internal,0.7612,0.7247,0.7977,0.8362,0.8045,0.8663,0.075,5.2694,0.0
VAT_TotalFat_ratio,external,0.7092,0.6689,0.7478,0.7871,0.7524,0.8199,0.0779,4.6355,0.0
VAT_SAT_ratio,internal,0.7614,0.7243,0.7982,0.8443,0.8117,0.8746,0.0829,5.5456,0.0
VAT_SAT_ratio,external,0.7084,0.667,0.749,0.7821,0.7465,0.8176,0.0738,4.0559,0.0
VAT_TAMA_ratio,internal,0.8416,0.8119,0.8699,0.8896,0.8638,0.9136,0.048,4.5804,0.0
VAT_TAMA_ratio,external,0.8034,0.7674,0.8385,0.8494,0.8164,0.8809,0.046,3.0805,0.0021
TotalFat_TAMA_ratio,internal,0.822,0.7822,0.8576,0.8531,0.8176,0.8863,0.031,2.5098,0.0121
TotalFat_TAMA_ratio,external,0.8206,0.7825,0.8575,0.8555,0.8222,0.8872,0.0349,2.9168,0.0035
SAT_TotalFat_ratio,internal,0.7746,0.7368,0.8107,0.8128,0.7786,0.8432,0.0382,3.3403,0.0008
SAT_TotalFat_ratio,external,0.7627,0.7209,0.8038,0.7987,0.7606,0.835,0.036,2.456,0.0141
SAT_TAMA_ratio,internal,0.808,0.7658,0.8494,0.8322,0.7914,0.8699,0.0242,1.762,0.0781
SAT_TAMA_ratio,external,0.8202,0.78,0.8586,0.8368,0.8021,0.8715,0.0166,1.434,0.1516
