feature,sex,direction,mean,sd,cutoff,n_internal
SAT(피하지방)_SUM,M,high,16191.440749354006,7260.988401325441,23452.429150679447,387
SAT(피하지방)_SUM,F,high,21927.472124277454,7834.349013179308,29761.82113745676,692
VAT(내장지방)_SUM,M,high,11435.248604651162,5865.147204485056,17300.39580913622,387
VAT(내장지방)_SUM,F,high,6963.042514450867,3967.8385973004915,10930.881111751358,692
Total Fat_SUM,M,high,27626.68935400516,12114.357042990465,39741.046396995625,387
Total Fat_SUM,F,high,28890.514638728324,10893.943123925137,39784.45776265346,692
VAT_TotalFat_ratio,M,high,0.40241801633692964,0.08938739605500619,0.4918054123919358,387
VAT_TotalFat_ratio,F,high,0.23016511057002115,0.07478015981460803,0.30494527038462915,692
VAT_SAT_ratio,M,high,0.7122313135135199,0.2655061659965305,0.9777374795100504,387
VAT_SAT_ratio,F,high,0.3119873291882444,0.13529480023625173,0.44728212942449613,692
VAT_TAMA_ratio,M,high,0.46677154180368013,0.22959270244176147,0.6963642442454416,387
VAT_TAMA_ratio,F,high,0.3985044555923528,0.2086568255693003,0.6071612811616531,692
TotalFat_TAMA_ratio,M,high,1.14508483267714,0.6578233157995789,1.8029081484767189,387
TotalFat_TAMA_ratio,F,high,1.656560077715835,0.5043580483311069,2.160918126046942,692
SAT_TotalFat_ratio,M,high,0.5975819836630704,0.08938739605500619,0.6869693797180766,387
SAT_TotalFat_ratio,F,high,0.7698348894299788,0.07478015981460803,0.8446150492445869,692
SAT_TAMA_ratio,M,high,0.6783132908734597,0.4957835748106145,1.1740968656840742,387
SAT_TAMA_ratio,F,high,1.258055622123482,0.353829200259473,1.611884822382955,692
