feature,model,cohort,scanner,n,r2,r2_ci_lower,r2_ci_upper,rmse,mae,pearson_r,p_value
VAT_TotalFat_ratio,clinic4,internal,Sensation 64,258,0.2810541065869814,0.16451912356053094,0.3737153043113053,0.060297158873119684,0.04787083321038775,0.533058533568449,2.4187412296399292e-20
VAT_TotalFat_ratio,clinic4,internal,Ingenuity Core 128,91,0.314354198537639,0.15918459694604153,0.44258449362011404,0.059546153398639355,0.047353308243120236,0.5867019818255195,9.878713902037774e-10
VAT_TotalFat_ratio,clinic4,internal,SOMATOM Definition AS+,95,0.4365022297975789,0.24478197498477972,0.5770318561094921,0.06077963776073104,0.048506698595476815,0.6701339199379555,1.110617309788645e-13
VAT_TotalFat_ratio,clinic4,internal,Revolution CT,248,0.3932304981983563,0.2965808180684525,0.46923882551045143,0.05792031009214047,0.04675793871462561,0.6343805222576493,2.4898103556027037e-29
VAT_TotalFat_ratio,clinic4,external,SOMATOM Definition Flash,113,0.27957313305675113,0.11105289084275752,0.4095615352631776,0.06427767383712017,0.050986644238875035,0.5483512969732613,3.235301144524641e-10
VAT_TotalFat_ratio,clinic4,external,Revolution EVO,88,-0.031490403828853486,-0.26731737444358306,0.19187941999788344,0.09418910099123827,0.0647756498260259,0.464575450326442,5.123856745723499e-06
VAT_TotalFat_ratio,clinic4,external,SOMATOM Definition AS+,81,0.06094360775702534,-0.2693951848623276,0.33103408275925245,0.06545617150907028,0.04694753551838143,0.3735625562520003,0.0005924282928954883
VAT_TotalFat_ratio,clinic4,external,iCT 256,83,0.1585451913716256,-0.14172099275741032,0.3767024328429773,0.06798430591200555,0.05310827835902893,0.47541781749105816,5.576876580280388e-06
VAT_TotalFat_ratio,clinic4,external,SOMATOM Force,65,0.3458484557565854,0.10199911221741541,0.5122860519382204,0.06383065839253686,0.04709980003555236,0.6636494191862866,1.6900034357102603e-09
VAT_TotalFat_ratio,clinic4,external,LightSpeed VCT,37,0.366787115469688,0.002977030781396097,0.5665837664997978,0.06904029706944946,0.05299346356840251,0.6873617600999735,2.61045782640544e-06
VAT_TotalFat_ratio,clinic4_aec_shape_all,internal,Sensation 64,258,0.40293479171953306,0.305171618163108,0.4828059426788985,0.054948979098288386,0.04449666739927358,0.6414347893745298,2.637643342399472e-31
VAT_TotalFat_ratio,clinic4_aec_shape_all,internal,Ingenuity Core 128,91,0.3663369004971676,0.21953928832449648,0.4712989586614786,0.05724440030834463,0.0468261093264099,0.6745490186765617,2.2936749883739405e-13
VAT_TotalFat_ratio,clinic4_aec_shape_all,internal,SOMATOM Definition AS+,95,0.5484494266182496,0.38548919630387185,0.6636790933027104,0.05440830614353556,0.0452276196860756,0.7505066076878437,2.0326389943417974e-18
VAT_TotalFat_ratio,clinic4_aec_shape_all,internal,Revolution CT,248,0.4685246994077249,0.36702284505421373,0.5463686206007511,0.05420764617834944,0.043067741032856384,0.6845442372540564,1.2457609813420634e-35
VAT_TotalFat_ratio,clinic4_aec_shape_all,external,SOMATOM Definition Flash,113,0.36432726618061484,0.19792675583485397,0.4901415452029833,0.06037845460205999,0.046029103381309916,0.610820391333849,6.770076018815722e-13
VAT_TotalFat_ratio,clinic4_aec_shape_all,external,Revolution EVO,88,0.21644715635064804,0.04885673078259517,0.3805608144604363,0.08209225797400399,0.0593764138815768,0.5759710550938522,4.326822574186874e-09
VAT_TotalFat_ratio,clinic4_aec_shape_all,external,SOMATOM Definition AS+,81,0.20415230144267515,-0.05484504625536573,0.39475765628976833,0.060258698290395145,0.04387615231808148,0.4927369326385809,2.970327478327017e-06
VAT_TotalFat_ratio,clinic4_aec_shape_all,external,iCT 256,83,0.342138047759033,0.0937179047902405,0.5077482868466148,0.06011192756639844,0.04885096589809426,0.5983288778165631,2.3212458522537296e-09
VAT_TotalFat_ratio,clinic4_aec_shape_all,external,SOMATOM Force,65,0.46958198837850174,0.2617799180402625,0.600350659871851,0.05747768529218348,0.04321739438414704,0.7309129656758697,4.767880252838749e-12
VAT_TotalFat_ratio,clinic4_aec_shape_all,external,LightSpeed VCT,37,0.5782426046786298,0.3984352020597252,0.68627779871653,0.05634548649842801,0.04519451291382714,0.8057042444241785,1.7943757191645196e-09
VAT_SAT_ratio,clinic4,internal,Sensation 64,258,0.27353213118433084,0.16294310920761482,0.359653987974449,0.10969410340554289,0.08572802661852495,0.5255214134189157,1.0133747309896324e-19
VAT_SAT_ratio,clinic4,internal,Ingenuity Core 128,91,0.2976923908801735,0.1685782793171427,0.43369182159345976,0.11185756703790552,0.08284078354070037,0.5668247419477455,4.7092467504895075e-09
VAT_SAT_ratio,clinic4,internal,SOMATOM Definition AS+,95,0.3956910342384776,0.21457340162561178,0.532680342580137,0.11891312105964887,0.09280785542142532,0.6378661922994715,3.603533503200894e-12
VAT_SAT_ratio,clinic4,internal,Revolution CT,248,0.384421941134241,0.28874815296031076,0.45985041305009094,0.10226745303649563,0.08109547764784218,0.625610421169317,2.403770227159562e-28
VAT_SAT_ratio,clinic4,external,SOMATOM Definition Flash,113,0.2620168265943442,0.10182601543359004,0.3910661517578532,0.12046255656084005,0.0936093692413736,0.5293923732143874,1.6539502657833552e-09
VAT_SAT_ratio,clinic4,external,Revolution EVO,88,-0.04189503157066121,-0.2129417529640805,0.16160593631764741,0.22523973129750705,0.135780280452285,0.37999550521125963,0.0002605228166386472
VAT_SAT_ratio,clinic4,external,SOMATOM Definition AS+,81,0.0039906132939465655,-0.30146852244778866,0.2617576546773961,0.12764155753495177,0.0863712219499194,0.30981057832146336,0.004884378826854651
VAT_SAT_ratio,clinic4,external,iCT 256,83,0.1684565035425395,-0.12570884504384042,0.3789737982271462,0.12526456302665517,0.09387858717324107,0.47179785863283186,6.71677728119013e-06
VAT_SAT_ratio,clinic4,external,SOMATOM Force,65,0.29085698998050813,0.09230952872778074,0.4489678753424727,0.1385364239848115,0.09241962335026943,0.6173892806562393,4.30760964730821e-08
VAT_SAT_ratio,clinic4,external,LightSpeed VCT,37,0.3138033694609743,-0.009595150687048993,0.5216228575355317,0.13800282283459486,0.09868052967584598,0.6529290565935095,1.1859907460196665e-05
VAT_SAT_ratio,clinic4_aec_shape_all,internal,Sensation 64,258,0.39829448245928323,0.29617659793977125,0.4759632538586156,0.09983137998044511,0.07936353772679533,0.6362913407600677,1.1013529243863843e-30
VAT_SAT_ratio,clinic4_aec_shape_all,internal,Ingenuity Core 128,91,0.3630702418824455,0.24536211714462683,0.45087109112862994,0.10652399661367082,0.08057171012190942,0.6633676096500625,7.776906270036814e-13
VAT_SAT_ratio,clinic4_aec_shape_all,internal,SOMATOM Definition AS+,95,0.5066737329218414,0.32442450953710544,0.6284371444863005,0.10744034127826421,0.08851751971528914,0.7218269198855947,1.5422476663367764e-16
VAT_SAT_ratio,clinic4_aec_shape_all,internal,Revolution CT,248,0.4625574355631632,0.3584469705298478,0.5392804883596646,0.09555686728184587,0.0744114200586484,0.6801393229021105,5.001245790736634e-35
VAT_SAT_ratio,clinic4_aec_shape_all,external,SOMATOM Definition Flash,113,0.34416081266144927,0.1847471937573562,0.46631655741360717,0.11356056052043094,0.08509987426052536,0.5955580720566733,3.4578660680978384e-12
VAT_SAT_ratio,clinic4_aec_shape_all,external,Revolution EVO,88,0.15355202485339292,0.015606661877095248,0.3345280184425997,0.20301734890739234,0.12451130322064387,0.49446302119817426,9.759110389732812e-07
VAT_SAT_ratio,clinic4_aec_shape_all,external,SOMATOM Definition AS+,81,0.18701109676282046,-0.05017108335070575,0.3647691857849566,0.11531948340272125,0.07956268456788675,0.4643251648351856,1.2632305185295208e-05
VAT_SAT_ratio,clinic4_aec_shape_all,external,iCT 256,83,0.33892240290953846,0.10313593659223073,0.4917305475828843,0.11168940106345093,0.0868257460572439,0.5907898886012384,4.119037303595351e-09
VAT_SAT_ratio,clinic4_aec_shape_all,external,SOMATOM Force,65,0.41339574982320815,0.2608383551377993,0.5455384580782142,0.12599974393248176,0.08472191622517021,0.6837751771325815,3.436719189510904e-10
VAT_SAT_ratio,clinic4_aec_shape_all,external,LightSpeed VCT,37,0.5087207694775775,0.33074750803279196,0.6536256525321267,0.11676908616289083,0.08549206023307575,0.7626296046531831,4.1132552192762264e-08
VAT_TAMA_ratio,clinic4,internal,Sensation 64,258,0.3808968726843246,0.2677347628936743,0.46202325685833884,0.15451037525943465,0.12095327395507757,0.6221692857617773,4.8665474997148825e-29
VAT_TAMA_ratio,clinic4,internal,Ingenuity Core 128,91,0.4126255245371979,0.2451160125846085,0.5365413081070052,0.1403822596385694,0.11194270625615009,0.6643189773956915,7.023742592018209e-13
VAT_TAMA_ratio,clinic4,internal,SOMATOM Definition AS+,95,0.4423698239069569,0.25793569685803736,0.6019937297192621,0.18329300732211265,0.13446091004323357,0.6711365632619711,9.898914582293686e-14
VAT_TAMA_ratio,clinic4,internal,Revolution CT,248,0.5079233912312892,0.4314264968671215,0.5786290534624917,0.14693441615622216,0.11207738873489521,0.7162418649390745,2.6008929901206544e-40
VAT_TAMA_ratio,clinic4,external,SOMATOM Definition Flash,113,0.4152981531584192,0.262465880938854,0.5276557340683465,0.15727393230490289,0.13015197557708436,0.6824285797430789,8.54319393341345e-17
VAT_TAMA_ratio,clinic4,external,Revolution EVO,88,0.03190788930452304,-0.27943226208463406,0.27519319557121885,0.22513600706969908,0.1711170549450556,0.5110710000630065,3.6204405572658674e-07
