cohort,scanner,n,r2_clinic4,r2_aec,auc_clinic4,auc_aec,r2_delta,auc_delta
internal,Ingenuity Core 128,91,0.4278,0.4552,0.8334,0.8567,0.0274,0.0233
internal,Revolution CT,248,0.4568,0.5278,0.8449,0.8719,0.071,0.027
internal,SOMATOM Definition AS+,95,0.4433,0.5535,0.8128,0.8394,0.1102,0.0266
internal,Sensation 64,258,0.3113,0.4425,0.8325,0.8694,0.1312,0.0369
external,LightSpeed VCT,37,0.276,0.4082,0.7991,0.865,0.1322,0.0659
external,Revolution EVO,88,-0.0109,0.1066,0.769,0.8005,0.1175,0.0316
external,SOMATOM Definition AS+,81,0.3782,0.3561,0.7946,0.8458,-0.0221,0.0513
external,SOMATOM Definition Flash,113,0.3964,0.2944,0.8202,0.8438,-0.1021,0.0235
external,SOMATOM Force,65,0.4734,0.483,0.845,0.8852,0.0096,0.0401
external,iCT 256,83,0.2773,0.3589,0.7582,0.8088,0.0817,0.0506
