feature,model,cohort,scanner,n,r2,r2_ci_lower,r2_ci_upper,rmse,mae,pearson_r,p_value
VAT(내장지방)_SUM,clinic4,internal,Revolution CT,69,0.3807797238784211,0.08735736382188583,0.5473254662856161,4309.009815028318,3508.7285335396095,0.645787654945329,2.077997622898568e-09
VAT(내장지방)_SUM,clinic4,internal,Sensation 64,122,0.3233006807992894,0.13882690163894237,0.4731901426792026,4890.343123218247,3718.7423406473517,0.5794559914896256,2.6963813317974688e-12
VAT(내장지방)_SUM,clinic4,internal,SOMATOM Definition AS+,85,0.33962342827714176,0.23247129909294323,0.4358493934116532,6047.630566522045,4336.888983278645,0.5904120132627528,2.7284348158538534e-09
VAT(내장지방)_SUM,clinic4,internal,Ingenuity Core 128,111,0.42598414143860264,0.25972752040091207,0.5323533603439266,3301.0094116402915,2594.8214450458213,0.6609147578862844,2.937253341147834e-15
VAT(내장지방)_SUM,clinic4,external,Revolution EVO,61,0.07808153072495116,-0.4084936884913278,0.3566624196873991,5932.806338209816,4648.140497594994,0.5645171102641817,2.1515685120321186e-06
VAT(내장지방)_SUM,clinic4,external,SOMATOM Definition Flash,115,0.47757895270624773,0.3463567415060841,0.5717981007397854,4262.517072110324,3361.984404199918,0.696088661662716,5.846398025185196e-18
VAT(내장지방)_SUM,clinic4,external,SOMATOM Force,58,0.523433929995508,0.3053998790722858,0.651125292430949,4251.775689730161,3561.209548431313,0.7423863558826181,2.561801323688119e-11
VAT(내장지방)_SUM,clinic4,external,SOMATOM Definition AS+,84,0.4588619011452748,0.29115567582400015,0.5684046001527533,4280.159162262031,3532.7598304309367,0.6840056719213754,7.411182703755165e-13
VAT(내장지방)_SUM,clinic4,external,iCT 256,52,0.3498964961468771,0.12572159666043806,0.5088576121763468,4007.29078177661,3172.3328413872505,0.6101896429134102,1.566592145491557e-06
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,Revolution CT,69,0.3241033582037559,-0.002097232338320977,0.5206762826258848,4501.891701361223,3576.9314426395063,0.6362760101580698,4.215738905012428e-09
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,Sensation 64,122,0.438666835540635,0.28463064566303703,0.5655583501408336,4454.0164112036,3444.17809080095,0.6831773805609479,4.362117647723138e-18
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,SOMATOM Definition AS+,85,0.5004454990438227,0.3704186692059149,0.5969775612299627,5259.9408805639605,4033.2092434450915,0.7172271377830461,1.1501491057323653e-14
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,Ingenuity Core 128,111,0.5936911850523112,0.440188966209179,0.688939806168919,2777.2369794469228,2228.1914621671635,0.7826965168152326,3.4677714680821004e-24
VAT(내장지방)_SUM,clinic4_aec_fpca,external,Revolution EVO,61,0.40318194757642933,0.15935181132287535,0.5528378490192921,4773.477610560754,3893.0788568172875,0.7162561308051814,8.601757741667849e-11
VAT(내장지방)_SUM,clinic4_aec_fpca,external,SOMATOM Definition Flash,115,0.4831545500277762,0.37189208748324293,0.5727947477980843,4239.70995983217,3258.9939163201116,0.7231722166061973,7.067006011697046e-20
VAT(내장지방)_SUM,clinic4_aec_fpca,external,SOMATOM Force,58,0.5979155225592967,0.44789983412127415,0.6862823238053315,3905.417237437371,3185.8610255640024,0.7953624241809576,8.809350962837941e-14
VAT(내장지방)_SUM,clinic4_aec_fpca,external,SOMATOM Definition AS+,84,0.38265429726088274,0.15296926055820895,0.5470361204979158,4571.619515300362,3778.8078215873684,0.6689572688793748,3.5289168357805428e-12
VAT(내장지방)_SUM,clinic4_aec_fpca,external,iCT 256,52,0.3891482566596277,0.1780134459549414,0.5425183858465552,3884.431907289753,3139.6575841134863,0.6265299894974767,6.748019032020486e-07
SAT(피하지방)_SUM,clinic4,internal,Revolution CT,69,0.26958304264137967,-0.09544168980108601,0.46683591954694065,5376.263698331712,4276.036267137974,0.7066776402132715,1.1617097444553937e-11
SAT(피하지방)_SUM,clinic4,internal,Sensation 64,122,0.40636275601204686,0.19634989055850754,0.5632016704267014,5163.230027233333,4069.369628077305,0.6623571052697068,9.701214999070329e-17
SAT(피하지방)_SUM,clinic4,internal,SOMATOM Definition AS+,85,0.3527025148655186,0.2094982618839838,0.5058720131191462,8356.40445584195,5127.672694439594,0.6279270230194057,1.2576812072839263e-10
SAT(피하지방)_SUM,clinic4,internal,Ingenuity Core 128,111,0.24466464611076222,-0.1886963756397385,0.49688275680705823,3851.3274918666334,2962.5443949189926,0.6394316298750481,4.2419066259931494e-14
SAT(피하지방)_SUM,clinic4,external,Revolution EVO,61,0.0782985571229945,-0.41469968502374344,0.40602733510737826,6921.170126614062,5307.46154968266,0.5680246306510488,1.8004708789479957e-06
SAT(피하지방)_SUM,clinic4,external,SOMATOM Definition Flash,115,0.5820603468402767,0.44942983329902825,0.6853251209472155,4322.204354876537,3261.4077812304167,0.772957984897777,4.5210522293164116e-24
SAT(피하지방)_SUM,clinic4,external,SOMATOM Force,58,0.54890265605655,0.31329393025936114,0.6970800541443155,4660.46882554273,3681.032304995968,0.7541343691259248,8.246082843268674e-12
SAT(피하지방)_SUM,clinic4,external,SOMATOM Definition AS+,84,0.597452908782605,0.453674196440835,0.6852042285835573,5113.498317059452,3866.4200626214274,0.8133597578722329,5.493881010602324e-21
SAT(피하지방)_SUM,clinic4,external,iCT 256,52,0.05099504658617615,-0.4062377265229574,0.34769522713271556,5080.110293630895,4069.65570810988,0.5224238564921831,7.107302856303912e-05
SAT(피하지방)_SUM,clinic4_aec_fpca,internal,Revolution CT,69,0.13303516466010634,-0.33127121079991745,0.38601032141894837,5857.278575150066,4803.981330887123,0.7104797544217885,8.043596147830905e-12
SAT(피하지방)_SUM,clinic4_aec_fpca,internal,Sensation 64,122,0.4303743739885292,0.23015276979382623,0.5709932894572509,5057.730252599499,4158.275723719848,0.7159722974775122,1.8857523654773842e-20
SAT(피하지방)_SUM,clinic4_aec_fpca,internal,SOMATOM Definition AS+,85,0.420058115033057,0.2913235487164182,0.543121627017584,7909.694867281227,4873.174371815489,0.6817457911489001,6.854111215010439e-13
SAT(피하지방)_SUM,clinic4_aec_fpca,internal,Ingenuity Core 128,111,0.3305203066043485,-0.06825070229284849,0.5579155774913739,3625.845109544433,2791.4656032448024,0.6706177600510527,8.176220632559933e-16
SAT(피하지방)_SUM,clinic4_aec_fpca,external,Revolution EVO,61,0.1439370753046194,-0.28092936247512973,0.41571014499095005,6670.175105957462,5266.180924764036,0.6888317763666447,8.436304344974079e-10
SAT(피하지방)_SUM,clinic4_aec_fpca,external,SOMATOM Definition Flash,115,0.4954671106673506,0.33476706269660095,0.6153724657116199,4748.9024510674335,3687.7172769995354,0.7751766247034944,2.778158928914494e-24
SAT(피하지방)_SUM,clinic4_aec_fpca,external,SOMATOM Force,58,0.48085667466588955,0.23637180576326985,0.6597022762290119,4999.632811678619,3686.5819594379514,0.7554295746177101,7.249226518248221e-12
SAT(피하지방)_SUM,clinic4_aec_fpca,external,SOMATOM Definition AS+,84,0.5739063685319518,0.4526766512891451,0.6624323590498,5260.927204743209,3730.0607510476148,0.8291602945201562,2.0474556848833941e-22
SAT(피하지방)_SUM,clinic4_aec_fpca,external,iCT 256,52,0.21143586763551847,-0.21564502125556295,0.4605801790203788,4630.814786691492,3707.120691050686,0.5645084475414308,1.3067408386576574e-05
Total Fat_SUM,clinic4,internal,Revolution CT,69,0.3833862250063297,0.06055150505715233,0.5609989214382652,8161.807490782084,6636.693621739163,0.7315701653090609,9.360338810965112e-13
Total Fat_SUM,clinic4,internal,Sensation 64,122,0.4031142797883581,0.20360302934813237,0.5613895120483636,9075.164617468221,6782.307308604751,0.6527673520388361,3.732087783284429e-16
Total Fat_SUM,clinic4,internal,SOMATOM Definition AS+,85,0.38720810431094643,0.2653217446795038,0.5193923478634459,13116.334561656082,8741.887230287244,0.6465217214363261,2.3348679474998136e-11
Total Fat_SUM,clinic4,internal,Ingenuity Core 128,111,0.43085404684400386,0.19414776473261483,0.5850241148905062,6058.405232585865,4732.29168084,0.7084014582610265,3.428480813691478e-18
Total Fat_SUM,clinic4,external,Revolution EVO,61,0.07949136180658178,-0.46645285367370665,0.4152787262717877,11986.276227983768,9223.826829678152,0.5980434995867432,3.590062424867435e-07
Total Fat_SUM,clinic4,external,SOMATOM Definition Flash,115,0.5940187288875658,0.46834277365698923,0.6898271596383593,7509.046849510946,5922.691888168725,0.7795130500758674,1.055262680406865e-24
Total Fat_SUM,clinic4,external,SOMATOM Force,58,0.5791678478126354,0.366666663389268,0.7134938893849482,8088.417721779599,6452.85431281899,0.7785428330506412,6.306633719978955e-13
Total Fat_SUM,clinic4,external,SOMATOM Definition AS+,84,0.6072271523775983,0.4588182149197053,0.7026947455536453,7918.408825777081,6427.655552311878,0.7964032869450645,1.3483469154659629e-19
Total Fat_SUM,clinic4,external,iCT 256,52,0.22725549183418703,-0.10665227324619109,0.4507287626527556,8382.260534539973,6583.3601263325045,0.5819046440065707,6.050209712989676e-06
Total Fat_SUM,clinic4_aec_fpca,internal,Revolution CT,69,0.20603053050994125,-0.31050757264681617,0.45874016759202285,9261.50652805547,7673.968956309283,0.6927299041706959,4.263386397917321e-11
Total Fat_SUM,clinic4_aec_fpca,internal,Sensation 64,122,0.46587079685011734,0.29862155609225965,0.6036744727987818,8584.837496615626,6429.766429140081,0.7264547221030412,2.806537207506011e-21
Total Fat_SUM,clinic4_aec_fpca,internal,SOMATOM Definition AS+,85,0.49851562127666704,0.38125566681510564,0.5930000813947852,11865.46285002451,8028.706494011378,0.7246825233058738,4.4975032464847455e-15
Total Fat_SUM,clinic4_aec_fpca,internal,Ingenuity Core 128,111,0.5835106270488268,0.38206698065104455,0.7107137490274605,5182.60912154279,3998.208672020492,0.7790236946904264,7.761154509087689e-24
Total Fat_SUM,clinic4_aec_fpca,external,Revolution EVO,61,0.3028357238043703,-0.06371717571875363,0.5289292527274739,10431.287380228463,8250.830303659459,0.7416900480895923,8.046557587836945e-12
Total Fat_SUM,clinic4_aec_fpca,external,SOMATOM Definition Flash,115,0.53447349171704,0.40424703482826124,0.6287384892968219,8040.888174368064,6267.8226467307695,0.784517000492745,3.359409588150431e-25
Total Fat_SUM,clinic4_aec_fpca,external,SOMATOM Force,58,0.5972966738212484,0.4214516312490984,0.7174352476816145,7912.281387609199,6143.02969655984,0.8001906144417393,4.839091172824158e-14
