feature,model,cohort,n,r2,r2_ci_lower,r2_ci_upper,rmse,mae,pearson_r,p_value
VAT(내장지방)_SUM,clinic4,internal,387,0.3585699169449813,0.2825521251143786,0.4307426270049043,4691.284255730301,3494.701752847496,0.5990166438091561,4.710068188234391e-39
VAT(내장지방)_SUM,clinic4,external,425,0.4077017848547272,0.33104407091839877,0.47360599632559547,4586.389725604506,3656.6342670301556,0.6403081917988109,2.0735283751355832e-50
VAT(내장지방)_SUM,clinic4_aec_sd,internal,387,0.3773590117082135,0.2991921154364948,0.4502914199927009,4622.063841463615,3439.1652059585017,0.6145003266981031,1.4980946997044317e-41
VAT(내장지방)_SUM,clinic4_aec_sd,external,425,0.38533780600396705,0.31090095116194805,0.4511143292148483,4672.173854865307,3772.589467194502,0.6226000826839542,5.572064516137739e-47
VAT(내장지방)_SUM,clinic4_aec_skew,internal,387,0.3587918550219481,0.2810791658895677,0.43294615098315653,4690.472581385549,3489.7783267504706,0.5992635265856853,4.3079308772300784e-39
VAT(내장지방)_SUM,clinic4_aec_skew,external,425,0.4041799854952407,0.32963876837427963,0.4662852553977769,4600.004830870779,3646.790489812173,0.6415305132756137,1.179345156283471e-50
VAT(내장지방)_SUM,clinic4_aec_uplow_ratio,internal,387,0.44193360716026076,0.3725551931610103,0.5071872050329054,4375.825767097978,3287.5922862972857,0.6649089100992398,9.914756166383091e-51
VAT(내장지방)_SUM,clinic4_aec_uplow_ratio,external,425,0.4691572636133502,0.397052606145196,0.532986894796408,4341.93865766344,3476.590099070811,0.6870364845216586,1.213791787535557e-60
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,387,0.4708290157164514,0.39706159189642437,0.5389941614743919,4261.03496366733,3248.449701842971,0.6863276223411064,3.381849207567581e-55
VAT(내장지방)_SUM,clinic4_aec_fpca,external,425,0.47574976998117424,0.4111047580965022,0.5334955428983301,4314.893279428315,3446.7709659972634,0.7108300182241181,1.2385321164081718e-66
VAT(내장지방)_SUM,clinic4_aec_shape_all,internal,387,0.46401209177606906,0.3915914290822553,0.5280755204990741,4288.393040306491,3271.612788921233,0.6814586100146336,3.78637277285436e-54
VAT(내장지방)_SUM,clinic4_aec_shape_all,external,425,0.46190515517295916,0.40034305604434073,0.5160302611603325,4371.496747261673,3503.407468675617,0.7062838659028997,1.9234915269036723e-65
