feature,model,cohort,scanner,n,r2,r2_ci_lower,r2_ci_upper,rmse,mae,pearson_r,p_value
VAT(내장지방)_SUM,clinic4,internal,Revolution CT,317,0.5692452937727175,0.4933582372971715,0.6335661402856194,3300.376244434327,2456.541824206009,0.7705201955652823,1.4383582181614312e-63
VAT(내장지방)_SUM,clinic4,internal,Sensation 64,380,0.5010134261575183,0.40624017072210816,0.5738364872716069,3501.395463867136,2597.634163666443,0.7172667315968204,2.823104077421414e-61
VAT(내장지방)_SUM,clinic4,internal,SOMATOM Definition AS+,180,0.42230522692139216,0.3394807331921921,0.5014561066328722,4784.592449787285,3310.7455868773523,0.6505282344085027,4.9174987384855725e-23
VAT(내장지방)_SUM,clinic4,internal,Ingenuity Core 128,202,0.5927695032630762,0.49867529400484106,0.6685025893970147,2937.703625641108,2276.621257249778,0.7737990134054578,1.5875058108093598e-41
VAT(내장지방)_SUM,clinic4,external,Revolution EVO,149,0.07688823039711346,-0.16301664035571536,0.24553165798020324,5460.749542176844,4254.168387950678,0.593266369331972,1.5544203285569903e-15
VAT(내장지방)_SUM,clinic4,external,LightSpeed VCT,50,0.3755524079943119,-0.011362464593478935,0.5988279284799505,3480.0415524616983,2818.6044398539957,0.7653366287228437,9.633969059506354e-11
VAT(내장지방)_SUM,clinic4,external,SOMATOM Definition Flash,228,0.5175470422263572,0.4277720093605426,0.5910645914305328,3590.724934572783,2783.7024739242142,0.7197565123406613,1.1085285536818654e-37
VAT(내장지방)_SUM,clinic4,external,Sensation 64,48,0.3687709352899319,-0.009570503287134246,0.5508535950602848,4157.230540725126,3444.790200187051,0.6444534967702358,7.694413408623234e-07
VAT(내장지방)_SUM,clinic4,external,SOMATOM Force,123,0.5492564977357896,0.4022112217406098,0.6493999058624291,3731.8302767315226,2871.1672773399932,0.7417896917773046,9.798760043363604e-23
VAT(내장지방)_SUM,clinic4,external,SOMATOM Definition AS+,165,0.5292000404564565,0.4118726797333833,0.6179675168749915,3636.4535966846856,2856.4161751859647,0.7299415009540021,9.839861070108931e-29
VAT(내장지방)_SUM,clinic4,external,iCT 256,135,0.37342235443328786,0.15295428248194096,0.5384133548037989,3771.8191333484774,2781.681826042241,0.6490657318765192,1.6843586989720064e-17
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,Revolution CT,317,0.6029856054864979,0.5295299176168093,0.6656971298885935,3168.4843295209917,2324.7237175226796,0.7984881107168251,2.1120056634712754e-71
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,Sensation 64,380,0.6250284476081209,0.5444334955584724,0.6883999665187288,3035.2599748352723,2282.497592922835,0.8035858275772111,3.3633419603398732e-87
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,SOMATOM Definition AS+,180,0.5574611818761572,0.4645315810603874,0.6377869141927306,4187.66003585918,2910.561190281931,0.7535923063023131,2.9110140554217393e-34
