cohort,scanner,n,r2_clinic4,r2_aec,auc_clinic4,auc_aec,r2_delta,auc_delta
internal,Ingenuity Core 128,202,0.548,0.6016,0.8332,0.876,0.0535,0.0428
internal,Revolution CT,317,0.5458,0.5971,0.8459,0.8768,0.0512,0.0309
internal,SOMATOM Definition AS+,180,0.3559,0.4369,0.7751,0.8257,0.081,0.0507
internal,Sensation 64,380,0.5023,0.5894,0.7877,0.8523,0.0871,0.0645
external,LightSpeed VCT,50,0.4878,0.5753,0.7974,0.8633,0.0875,0.0659
external,Revolution EVO,149,0.2257,0.3433,0.7477,0.7952,0.1176,0.0475
external,SOMATOM Definition AS+,165,0.5715,0.536,0.8244,0.8543,-0.0355,0.0299
external,SOMATOM Definition Flash,228,0.5696,0.5374,0.8315,0.8511,-0.0322,0.0196
external,SOMATOM Force,123,0.5527,0.5801,0.8345,0.8703,0.0274,0.0358
external,Sensation 64,48,0.3565,0.4738,0.79,0.8289,0.1172,0.039
external,iCT 256,135,0.5022,0.5421,0.7702,0.8183,0.0399,0.0481
