feature,cohort,baseline_model,extended_model,auc_baseline,auc_extended,auc_diff,z,p_value
HTN,internal,clinic6,clinic6_fpca3,0.8117814011410698,0.8173709056155696,0.005589504474499796,1.2765349648799869,0.20176647497794298
HTN,external,clinic6,clinic6_fpca3,0.7434344382884152,0.747820609133878,0.004386170845462889,0.8033088604180884,0.421796237959568
HTN,internal,clinic6,clinic6_uplow_ratio,0.8117814011410698,0.8140041704074836,0.0022227692664138488,0.7569318244748792,0.4490907079133448
HTN,external,clinic6,clinic6_uplow_ratio,0.7434344382884152,0.7454964472407425,0.002062008952327332,0.463279824732814,0.6431638052275495
HTN,internal,clinic6_fpca3,clinic6_uplow_ratio,0.8173709056155696,0.8140041704074836,-0.003366735208085947,-1.2304189294705843,0.21854026839782303
HTN,external,clinic6_fpca3,clinic6_uplow_ratio,0.747820609133878,0.7454964472407425,-0.0023241618931355568,-0.6175561351108584,0.5368679671448056
DM,internal,clinic6,clinic6_fpca3,0.729918580629481,0.743088467614534,0.013169886985052948,1.831491654117664,0.06702719227255555
DM,external,clinic6,clinic6_fpca3,0.6937460317460318,0.7055147392290249,0.01176870748299308,1.5604709878386755,0.11864862077445376
DM,internal,clinic6,clinic6_uplow_ratio,0.729918580629481,0.7410124762020496,0.011093895572568568,1.8534029455458931,0.0638246254633622
DM,external,clinic6,clinic6_uplow_ratio,0.6937460317460318,0.7015147392290249,0.007768707482993076,0.9944127928167766,0.3200219425359617
DM,internal,clinic6_fpca3,clinic6_uplow_ratio,0.743088467614534,0.7410124762020496,-0.0020759914124843792,-0.5568014854464616,0.5776630688546446
DM,external,clinic6_fpca3,clinic6_uplow_ratio,0.7055147392290249,0.7015147392290249,-0.0040000000000000036,-1.0222350586119866,0.3066696613671286
CKD,internal,clinic6,clinic6_fpca3,0.7835278040576054,0.790612845579733,0.007085041522127633,0.7506273125957023,0.45287697903406265
CKD,external,clinic6,clinic6_fpca3,0.6250173221363045,0.6323757656384247,0.007358443502120227,0.8684291624612787,0.3851594359277378
CKD,internal,clinic6,clinic6_uplow_ratio,0.7835278040576054,0.7923683380637023,0.008840534006096967,1.0289421207768297,0.3035068737609783
CKD,external,clinic6,clinic6_uplow_ratio,0.6250173221363045,0.6447922729414374,0.019774950805132918,2.0523753659928885,0.040133196680063175
CKD,internal,clinic6_fpca3,clinic6_uplow_ratio,0.790612845579733,0.7923683380637023,0.0017554924839693342,0.42874279445229657,0.6681104137022947
CKD,external,clinic6_fpca3,clinic6_uplow_ratio,0.6323757656384247,0.6447922729414374,0.012416507303012692,2.269623788314022,0.023230419030011867
