feature,cohort,baseline_model,extended_model,auc_baseline,auc_extended,auc_diff,z,p_value
HTN,internal,clinic7,clinic7_fpca3,0.8178523849517796,0.8217766225491616,0.00392423759738203,1.132903489553058,0.25725478443412064
HTN,external,clinic7,clinic7_fpca3,0.735385951732557,0.7396664788556045,0.004280527123047495,0.9948303381548796,0.3198187882437158
HTN,internal,clinic7,clinic7_uplow_ratio,0.8178523849517796,0.8196117756089085,0.0017593906571289342,0.704298424852525,0.4812469470537075
HTN,external,clinic7,clinic7_uplow_ratio,0.735385951732557,0.739255642157323,0.003869690424765926,1.0638608792559623,0.2873917274052442
HTN,internal,clinic7_fpca3,clinic7_uplow_ratio,0.8217766225491616,0.8196117756089085,-0.0021648469402530957,-1.0313538695971736,0.30237490503504216
HTN,external,clinic7_fpca3,clinic7_uplow_ratio,0.7396664788556045,0.739255642157323,-0.0004108366982815692,-0.14046656818202208,0.8882913652958525
DM,internal,clinic7,clinic7_fpca3,0.7263438246850569,0.7411441244379633,0.01480029975290642,2.1095941179842974,0.03489333142971004
DM,external,clinic7,clinic7_fpca3,0.680875283446712,0.6961133786848073,0.015238095238095273,2.069008501067187,0.038545288972800046
DM,internal,clinic7,clinic7_uplow_ratio,0.7263438246850569,0.7385921740187142,0.012248349333657371,1.9737799083838452,0.0484067743632622
DM,external,clinic7,clinic7_uplow_ratio,0.680875283446712,0.69118820861678,0.010312925170067988,1.326488264349034,0.18467801984019172
DM,internal,clinic7_fpca3,clinic7_uplow_ratio,0.7411441244379633,0.7385921740187142,-0.0025519504192490494,-0.7426991995706214,0.45766381447155025
DM,external,clinic7_fpca3,clinic7_uplow_ratio,0.6961133786848073,0.69118820861678,-0.004925170068027285,-1.2413069136623944,0.2144923916444743
CKD,internal,clinic7,clinic7_fpca3,0.7838221381267739,0.7861557868180384,0.0023336486912645116,0.2648172147465842,0.7911502747553418
CKD,external,clinic7,clinic7_fpca3,0.6246500928466506,0.6330340068179928,0.008383913971342194,1.1703273081244698,0.24186927640725853
CKD,internal,clinic7,clinic7_uplow_ratio,0.7838221381267739,0.7886050667507621,0.004782928623988214,0.6017848802054728,0.547317340860203
CKD,external,clinic7,clinic7_uplow_ratio,0.6246500928466506,0.6460948975915302,0.02144480474487953,2.5990413499392813,0.009348451154481855
CKD,internal,clinic7_fpca3,clinic7_uplow_ratio,0.7861557868180384,0.7886050667507621,0.0024492799327237025,0.5568879880699086,0.5776039620911699
CKD,external,clinic7_fpca3,clinic7_uplow_ratio,0.6330340068179928,0.6460948975915302,0.013060890773537337,2.5685732900290206,0.010211811571818916
