feature,model,cohort,n,n_pos,prevalence,auc,auc_ci_lower,auc_ci_upper,threshold,tuned_C,tuned_penalty,sensitivity,specificity,accuracy
HTN,clinic7,internal,1147,344,0.2999128160418483,0.8178523849517796,,,0.20668251594100756,10.0,l1,0.8691860465116279,0.6226650062266501,0.6965998256320837
HTN,clinic7,external,1015,463,0.45615763546798027,0.735385951732557,0.7050962026520748,0.7652376644074399,0.20668251594100756,10.0,l1,0.8336933045356372,0.45471014492753625,0.6275862068965518
HTN,clinic7_fpca3,internal,1147,344,0.2999128160418483,0.8217766225491615,,,0.2559096266686805,1.0,l2,0.8081395348837209,0.6861768368617683,0.7227550130775937
HTN,clinic7_fpca3,external,1015,463,0.45615763546798027,0.7396625661251448,0.7100372987694358,0.7692937516253499,0.2559096266686805,1.0,l2,0.7321814254859611,0.6213768115942029,0.6719211822660098
HTN,clinic7_uplow_ratio,internal,1147,344,0.2999128160418483,0.8196117756089084,,,0.24247275818594047,1.0,elasticnet,0.8284883720930233,0.6674968866749689,0.7157802964254577
HTN,clinic7_uplow_ratio,external,1015,463,0.45615763546798027,0.7392517294268633,0.7092700122905217,0.7691560070354369,0.24247275818594047,1.0,elasticnet,0.8056155507559395,0.5289855072463768,0.6551724137931034
HTN,clinic7_fpca3_total,internal,1147,344,0.2999128160418483,0.8214870109183585,,,0.2590889844732401,1.0,l2,0.7994186046511628,0.6924034869240349,0.7244986922406277
HTN,clinic7_fpca3_total,external,1015,463,0.45615763546798027,0.7406485742010205,0.710590634320465,0.7700981810486194,0.2590889844732401,1.0,l2,0.7321814254859611,0.6322463768115942,0.677832512315271
HTN,clinic7_uplow_ratio_total,internal,1147,344,0.2999128160418483,0.8196298763358337,,,0.21110287513740172,1.0,l2,0.8662790697674418,0.6288916562889165,0.7000871839581517
HTN,clinic7_uplow_ratio_total,external,1015,463,0.45615763546798027,0.7406994396969983,0.7106398009095553,0.7709270896757471,0.21110287513740172,1.0,l2,0.8552915766738661,0.4583333333333333,0.6394088669950739
DM,clinic7,internal,1147,211,0.1839581517000872,0.726343824685057,,,0.15092174928738125,1.0,elasticnet,0.7962085308056872,0.5747863247863247,0.6155187445510026
DM,clinic7,external,1015,315,0.3103448275862069,0.6808707482993198,0.6456061748429681,0.7135991290070173,0.15092174928738125,1.0,elasticnet,0.7682539682539683,0.4828571428571429,0.5714285714285714
DM,clinic7_fpca3,internal,1147,211,0.1839581517000872,0.7411441244379633,,,0.1273423349736924,0.1,l2,0.8625592417061612,0.5202991452991453,0.5832606800348736
DM,clinic7_fpca3,external,1015,315,0.3103448275862069,0.6961133786848073,0.6613229746947967,0.7296469999465344,0.1273423349736924,0.1,l2,0.8793650793650793,0.30428571428571427,0.4827586206896552
DM,clinic7_uplow_ratio,internal,1147,211,0.1839581517000872,0.7385921740187142,,,0.13430733713340592,1.0,l2,0.8341232227488151,0.5448717948717948,0.5980819529206626
DM,clinic7_uplow_ratio,external,1015,315,0.3103448275862069,0.69118820861678,0.6569059777483385,0.7247817186812219,0.13430733713340592,1.0,l2,0.8317460317460318,0.41714285714285715,0.5458128078817734
DM,clinic7_fpca3_total,internal,1147,211,0.1839581517000872,0.7409618422651599,,,0.12758538903340746,1.0,l2,0.8483412322274881,0.5341880341880342,0.5919790758500436
DM,clinic7_fpca3_total,external,1015,315,0.3103448275862069,0.6984580498866213,0.6634523418043526,0.7323248433017656,0.12758538903340746,1.0,l2,0.8857142857142857,0.31142857142857144,0.4896551724137931
DM,clinic7_uplow_ratio_total,internal,1147,211,0.1839581517000872,0.7396808036618464,,,0.17540525864058706,1.0,l2,0.7440758293838863,0.6410256410256411,0.6599825632083697
DM,clinic7_uplow_ratio_total,external,1015,315,0.3103448275862069,0.6889841269841269,0.6546365862354327,0.722360305780809,0.17540525864058706,1.0,l2,0.7301587301587301,0.5542857142857143,0.6088669950738916
CKD,clinic7,internal,1147,90,0.07846556233653008,0.7838116261957321,,,0.06233781809335031,100.0,l2,0.8666666666666667,0.6357615894039735,0.6538796861377506
CKD,clinic7,external,1015,171,0.1684729064039409,0.6246570217011724,0.5798898368568127,0.6712417596905429,0.06233781809335031,100.0,l2,0.6666666666666666,0.5011848341232228,0.529064039408867
CKD,clinic7_fpca3,internal,1147,90,0.07846556233653008,0.7861557868180387,,,0.04103965670057927,100.0,l2,0.9444444444444444,0.5354777672658467,0.5675675675675675
CKD,clinic7_fpca3,external,1015,171,0.1684729064039409,0.6330340068179929,0.5891086039212621,0.6795591026251092,0.04103965670057927,100.0,l2,0.7602339181286549,0.4028436018957346,0.4630541871921182
CKD,clinic7_uplow_ratio,internal,1147,90,0.07846556233653008,0.7886050667507621,,,0.054026089561975896,100.0,l1,0.8888888888888888,0.5922421948912016,0.6155187445510026
CKD,clinic7_uplow_ratio,external,1015,171,0.1684729064039409,0.64609489759153,0.6014775639765272,0.6929366486750077,0.054026089561975896,100.0,l1,0.7134502923976608,0.46208530805687204,0.5044334975369458
CKD,clinic7_fpca3_total,internal,1147,90,0.07846556233653008,0.7825922421948912,,,0.05026921248533177,1.0,l2,0.9222222222222223,0.5676442762535477,0.5954664341761116
CKD,clinic7_fpca3_total,external,1015,171,0.1684729064039409,0.6368795210775754,0.5918343920940254,0.6830239875251941,0.05026921248533177,1.0,l2,0.7017543859649122,0.4656398104265403,0.5054187192118227
CKD,clinic7_uplow_ratio_total,internal,1147,90,0.07846556233653008,0.7845054136444866,,,0.05980763530815982,1.0,l2,0.8777777777777778,0.6102175969725638,0.6312118570183086
CKD,clinic7_uplow_ratio_total,external,1015,171,0.1684729064039409,0.64452897646961,0.5995166940561089,0.6906802493198284,0.05980763530815982,1.0,l2,0.7134502923976608,0.4656398104265403,0.5073891625615764
