feature,model,cohort,n,n_pos,prevalence,auc,auc_ci_lower,auc_ci_upper,threshold,tuned_C,tuned_penalty,sensitivity,specificity,accuracy
HTN,clinic8,internal,1147,344,0.2999128160418483,0.8109596281386658,,,0.31463997060580856,1.0,l2,0.7238372093023255,0.7584059775840598,0.7480383609415867
HTN,clinic8,external,1015,463,0.45615763546798027,0.7365323817572854,0.7057025064688136,0.7667978787105013,0.31463997060580856,1.0,l2,0.6976241900647948,0.6557971014492754,0.6748768472906403
HTN,clinic8_fpca3,internal,1147,344,0.2999128160418483,0.817515711430971,,,0.2138351871201733,0.1,l2,0.8691860465116279,0.6176836861768369,0.6931124673060157
HTN,clinic8_fpca3,external,1015,463,0.45615763546798027,0.7453908035183272,0.7156425530514406,0.774677963517997,0.2138351871201733,0.1,l2,0.7688984881209503,0.5960144927536232,0.6748768472906403
HTN,clinic8_uplow_ratio,internal,1147,344,0.2999128160418483,0.814413246835993,,,0.3329009944115977,1.0,l2,0.7180232558139535,0.7708592777085927,0.7550130775937227
HTN,clinic8_uplow_ratio,external,1015,463,0.45615763546798027,0.7373110151187905,0.7069417633360614,0.7674193475266641,0.3329009944115977,1.0,l2,0.6673866090712743,0.6721014492753623,0.6699507389162561
HTN,clinic8_fpca3_total,internal,1147,344,0.2999128160418483,0.8175012308494309,,,0.2571902006084546,1.0,l2,0.8023255813953488,0.6874221668742216,0.7218831734960767
HTN,clinic8_fpca3_total,external,1015,463,0.45615763546798027,0.7458133784079882,0.7156978039181229,0.775208330022507,0.2571902006084546,1.0,l2,0.693304535637149,0.6702898550724637,0.6807881773399015
HTN,clinic8_uplow_ratio_total,internal,1147,344,0.2999128160418483,0.8140801934605695,,,0.24903586081543017,1.0,l2,0.8168604651162791,0.6650062266500623,0.7105492589363557
HTN,clinic8_uplow_ratio_total,external,1015,463,0.45615763546798027,0.7404294612952702,0.710314013641737,0.770662157451613,0.24903586081543017,1.0,l2,0.7861771058315334,0.5507246376811594,0.6581280788177339
DM,clinic8,internal,1147,211,0.1839581517000872,0.7279590472718436,,,0.14948870455240917,0.1,elasticnet,0.8246445497630331,0.5470085470085471,0.5980819529206626
DM,clinic8,external,1015,315,0.3103448275862069,0.6854285714285715,0.6512110506109581,0.7179972453746546,0.14948870455240917,0.1,elasticnet,0.7936507936507936,0.46285714285714286,0.5655172413793104
DM,clinic8_fpca3,internal,1147,211,0.1839581517000872,0.7422023737189615,,,0.16437528325690187,10.0,l1,0.7630331753554502,0.6292735042735043,0.6538796861377506
DM,clinic8_fpca3,external,1015,315,0.3103448275862069,0.7019183673469387,0.6683195337929678,0.7353505717299224,0.16437528325690187,10.0,l1,0.7523809523809524,0.5214285714285715,0.593103448275862
DM,clinic8_uplow_ratio,internal,1147,211,0.1839581517000872,0.7407947502734232,,,0.15890891414705927,0.1,l2,0.8009478672985783,0.5961538461538461,0.6338273757628596
DM,clinic8_uplow_ratio,external,1015,315,0.3103448275862069,0.6946757369614512,0.6604823759375026,0.7278913143586808,0.15890891414705927,0.1,l2,0.7523809523809524,0.5385714285714286,0.6049261083743842
DM,clinic8_fpca3_total,internal,1147,211,0.1839581517000872,0.7423340219548751,,,0.15038653291835385,1.0,l2,0.7962085308056872,0.5950854700854701,0.6320836965998257
DM,clinic8_fpca3_total,external,1015,315,0.3103448275862069,0.7013741496598638,0.6680738594770772,0.7348210272933259,0.15038653291835385,1.0,l2,0.7968253968253968,0.4685714285714286,0.5704433497536946
DM,clinic8_uplow_ratio_total,internal,1147,211,0.1839581517000872,0.7410783003200065,,,0.1533278966281383,1.0,l2,0.8104265402843602,0.5908119658119658,0.6312118570183086
DM,clinic8_uplow_ratio_total,external,1015,315,0.3103448275862069,0.6935328798185941,0.6594927248843073,0.7264276250432643,0.1533278966281383,1.0,l2,0.7587301587301587,0.5,0.5802955665024631
CKD,clinic8,internal,1147,90,0.07846556233653008,0.7877746241984652,,,0.06838996725070236,1.0,l1,0.8222222222222222,0.6584673604541155,0.6713164777680907
CKD,clinic8,external,1015,171,0.1684729064039409,0.6286272553421468,0.5840829658482071,0.6736765841105301,0.06838996725070236,1.0,l1,0.631578947368421,0.54739336492891,0.5615763546798029
CKD,clinic8_fpca3,internal,1147,90,0.07846556233653008,0.7912540733732787,,,0.0462581146952736,100.0,l2,0.9222222222222223,0.5695364238410596,0.5972101133391456
CKD,clinic8_fpca3,external,1015,171,0.1684729064039409,0.6382652919819294,0.5933758504460426,0.6834903758005525,0.0462581146952736,100.0,l2,0.7134502923976608,0.48696682464454977,0.5251231527093596
CKD,clinic8_uplow_ratio,internal,1147,90,0.07846556233653008,0.7926311363397456,,,0.04657255168043108,10.0,l2,0.9222222222222223,0.5742667928098392,0.6015693112467306
CKD,clinic8_uplow_ratio,external,1015,171,0.1684729064039409,0.6497602616335468,0.6053785651015499,0.6960133489810273,0.04657255168043108,10.0,l2,0.7426900584795322,0.4466824644549763,0.496551724137931
CKD,clinic8_fpca3_total,internal,1147,90,0.07846556233653008,0.7886996741301376,,,0.045803437044039275,1.0,l2,0.9333333333333333,0.5572374645222328,0.5867480383609416
CKD,clinic8_fpca3_total,external,1015,171,0.1684729064039409,0.6419791580055985,0.5970923940391011,0.6873922454029946,0.045803437044039275,1.0,l2,0.7251461988304093,0.4514218009478673,0.4975369458128079
CKD,clinic8_uplow_ratio_total,internal,1147,90,0.07846556233653008,0.7890570797855566,,,0.06616231075167653,1.0,l2,0.8333333333333334,0.6480605487228004,0.6625980819529207
CKD,clinic8_uplow_ratio_total,external,1015,171,0.1684729064039409,0.6492128821263268,0.6047268276573033,0.6947403260895945,0.06616231075167653,1.0,l2,0.6432748538011696,0.533175355450237,0.5517241379310345
