feature,model,cohort,n,n_pos,prevalence,auc,auc_ci_lower,auc_ci_upper,threshold,tuned_C,tuned_penalty,sensitivity,specificity,accuracy
HTN,clinic9,internal,1147,344,0.2999128160418483,0.8167953024993484,,,0.2529865249047472,1.0,l1,0.8023255813953488,0.688667496886675,0.7227550130775937
HTN,clinic9,external,1015,463,0.45615763546798027,0.7307063261026074,0.7001179325594031,0.7608911119558905,0.2529865249047472,1.0,l1,0.7732181425485961,0.5579710144927537,0.6561576354679803
HTN,clinic9_fpca3,internal,1147,344,0.2999128160418483,0.8205131918097831,,,0.2433697617841766,10.0,l2,0.8255813953488372,0.6787048567870486,0.7227550130775937
HTN,clinic9_fpca3,external,1015,463,0.45615763546798027,0.7365910727141829,0.706927852297523,0.7660743401595593,0.2433697617841766,10.0,l2,0.7192224622030238,0.6268115942028986,0.6689655172413793
HTN,clinic9_uplow_ratio,internal,1147,344,0.2999128160418483,0.8186053751918677,,,0.23093236244238613,10.0,elasticnet,0.8372093023255814,0.6562889165628891,0.7105492589363557
HTN,clinic9_uplow_ratio,external,1015,463,0.45615763546798027,0.7336995649043728,0.7033567810462161,0.7633052597863745,0.23093236244238613,10.0,elasticnet,0.7926565874730022,0.5416666666666666,0.6561576354679803
DM,clinic9,internal,1147,211,0.1839581517000872,0.7233817393770001,,,0.1529624456240734,0.1,l1,0.7914691943127962,0.5512820512820513,0.5954664341761116
DM,clinic9,external,1015,315,0.3103448275862069,0.6672517006802722,0.6312402712026337,0.7006700951248513,0.1529624456240734,0.1,l1,0.780952380952381,0.44857142857142857,0.5517241379310345
DM,clinic9_fpca3,internal,1147,211,0.1839581517000872,0.7392200348361485,,,0.15884101459168393,1.0,l1,0.7677725118483413,0.6057692307692307,0.6355710549258936
DM,clinic9_fpca3,external,1015,315,0.3103448275862069,0.6945986394557824,0.6603207252832158,0.7279565473605857,0.15884101459168393,1.0,l1,0.7841269841269841,0.48428571428571426,0.5773399014778325
DM,clinic9_uplow_ratio,internal,1147,211,0.1839581517000872,0.7390934499939239,,,0.14746992621241986,1.0,l1,0.8056872037914692,0.5790598290598291,0.6207497820401047
DM,clinic9_uplow_ratio,external,1015,315,0.3103448275862069,0.6878503401360544,0.6532195072812926,0.7213664683448389,0.14746992621241986,1.0,l1,0.7619047619047619,0.5071428571428571,0.5862068965517241
CKD,clinic9,internal,1147,90,0.07846556233653008,0.7854935351624094,,,0.0677053450748306,10.0,l1,0.8111111111111111,0.6717123935666982,0.6826503923278117
CKD,clinic9,external,1015,171,0.1684729064039409,0.6281630220891882,0.5832856773039954,0.6725330400968502,0.0677053450748306,10.0,l1,0.631578947368421,0.5545023696682464,0.5674876847290641
CKD,clinic9_fpca3,internal,1147,90,0.07846556233653008,0.7891411752338905,,,0.071428824629398,1.0,l1,0.8222222222222222,0.67360454115421,0.6852659110723627
CKD,clinic9_fpca3,external,1015,171,0.1684729064039409,0.6396233474681966,0.5957369395543953,0.6852055158080834,0.071428824629398,1.0,l1,0.5614035087719298,0.6279620853080569,0.6167487684729064
CKD,clinic9_uplow_ratio,internal,1147,90,0.07846556233653008,0.7914538000630715,,,0.07260602587953982,1.0,l1,0.8111111111111111,0.674550614947966,0.6852659110723627
CKD,clinic9_uplow_ratio,external,1015,171,0.1684729064039409,0.6513746847371192,0.6074691175637419,0.6961578842623809,0.07260602587953982,1.0,l1,0.6198830409356725,0.5924170616113744,0.5970443349753695
