feature,cohort,fixed_bodycomp_model,aec_arm,auc_bodycomp_only,auc_bodycomp_plus_aec,auc_diff,z,p_value,q_value_bh
HTN,internal,clinic4_lama_tama_ratio,clinic4_aec_fpca_elbow,0.8069755295597932,0.8104030530182978,0.003427523458504611,0.986889714711873,0.32369670695462915,0.7283175906479156
HTN,external,clinic4_lama_tama_ratio,clinic4_aec_fpca_elbow,0.7361868900330438,0.7448416967647736,0.008654806731729803,2.0313863123786167,0.04221582182031918,0.09498559909571816
HTN,internal,clinic4_lama_tama_ratio,clinic4_aec_uplow_ratio,0.8069755295597932,0.80806758898207,0.0010920594222767477,0.41699119210729424,0.6766848501988798,0.8253967379003209
HTN,external,clinic4_lama_tama_ratio,clinic4_aec_uplow_ratio,0.7361868900330438,0.7427124157893389,0.006525525756295059,1.6365002493130119,0.10173493356783446,0.15260240035175168
HTN,internal,clinic4_lama_tama_ratio,clinic4_aec_slope,0.8069755295597932,0.8075393645875991,0.0005638350278058812,0.22060919882525518,0.8253967379003209,0.8253967379003209
HTN,external,clinic4_lama_tama_ratio,clinic4_aec_slope,0.7361868900330438,0.7401732882502113,0.003986398217167508,1.3654218975240169,0.17212048534467528,0.1913312076158109
DM,internal,clinic4_lama,clinic4_aec_fpca_elbow,0.7256732675752328,0.7389378309866225,0.013264563411389707,1.9904565657034654,0.04654066406746463,0.2338565050384742
DM,external,clinic4_lama,clinic4_aec_fpca_elbow,0.6821274338965073,0.6942192590347754,0.01209182513826812,1.6569258261790043,0.09753447219371522,0.15260240035175168
DM,internal,clinic4_lama,clinic4_aec_uplow_ratio,0.7256732675752328,0.7358214324557221,0.010148164880489308,1.9433978054181993,0.051968112230772044,0.2338565050384742
DM,external,clinic4_lama,clinic4_aec_uplow_ratio,0.6821274338965073,0.6919009015834533,0.00977346768694598,1.3066511757473653,0.1913312076158109,0.1913312076158109
DM,internal,clinic4_lama,clinic4_aec_slope,0.7256732675752328,0.7343280710120557,0.0086548034368229,1.56080776134947,0.11856911563593815,0.35570734690781447
DM,external,clinic4_lama,clinic4_aec_slope,0.6821274338965073,0.6954163194181378,0.013288885521630434,2.109341887348114,0.034915081672522545,0.09498559909571816
CKD,internal,clinic4_lama_tama_ratio,clinic4_aec_fpca_elbow,0.7924898902368573,0.7938103490963109,0.0013204588594535327,0.2479291876488632,0.8041891963185448,0.8253967379003209
CKD,external,clinic4_lama_tama_ratio,clinic4_aec_fpca_elbow,0.6612071908066902,0.668625554670611,0.007418363863920807,1.5580160739673181,0.11922943779537977,0.15329499145120257
CKD,internal,clinic4_lama_tama_ratio,clinic4_aec_uplow_ratio,0.7924898902368573,0.7942477510935051,0.0017578608566477527,0.4826799055959869,0.629323033190966,0.8253967379003209
CKD,external,clinic4_lama_tama_ratio,clinic4_aec_uplow_ratio,0.6612071908066902,0.6706451245875527,0.00943793378086244,2.2174319919770755,0.026593585570116846,0.09498559909571816
CKD,internal,clinic4_lama_tama_ratio,clinic4_aec_slope,0.7924898902368573,0.7944128084509368,0.0019229182140794165,0.4476323679793504,0.654418539113585,0.8253967379003209
CKD,external,clinic4_lama_tama_ratio,clinic4_aec_slope,0.6612071908066902,0.670889748549323,0.009682557742632825,2.531908068084939,0.011344372986700957,0.09498559909571816
