feature,model,cohort,n,n_pos,prevalence,auc,auc_std,auc_ci_lower,auc_ci_upper,threshold,sensitivity,specificity,accuracy,sensitivity_std,specificity_std,accuracy_std
HTN,bodycomp_only,internal,1259,386,0.30659253375694995,0.8087554580066895,0.014338227792583794,,,0.288065971152684,0.7774558774558775,0.7068308702791462,0.7283753873395307,0.051909785508023144,0.03475599929050685,0.01684401662664175
HTN,bodycomp_only,external,1123,507,0.4514692787177204,0.7361868900330439,,0.7078297392394409,0.7652439458037864,0.288065971152684,0.8264299802761341,0.5097402597402597,0.6527159394479074,,,
HTN,clinic4_aec_fpca_elbow,internal,1259,386,0.30659253375694995,0.8118305493083818,0.021327625243497975,,,0.32573822316253737,0.7309690309690309,0.7446108374384236,0.7402769872889395,0.08388848792241867,0.028628473713184534,0.017392148521531425
HTN,clinic4_aec_fpca_elbow,external,1123,507,0.4514692787177204,0.7448416967647737,,0.7170658204306872,0.7737651126540451,0.32573822316253737,0.7297830374753451,0.6298701298701299,0.6749777382012466,,,
HTN,clinic4_aec_uplow_ratio,internal,1259,386,0.30659253375694995,0.8096484238257637,0.01810023607500762,,,0.2769379418125666,0.7826506826506826,0.6907717569786536,0.7188294441282489,0.05797091078713213,0.02771205946829913,0.015252846566642102
HTN,clinic4_aec_uplow_ratio,external,1123,507,0.4514692787177204,0.7427124157893389,,0.7147303087669683,0.7722598898670613,0.2769379418125666,0.8323471400394478,0.4967532467532468,0.6482635796972396,,,
HTN,clinic4_aec_slope,internal,1259,386,0.30659253375694995,0.8095571172122897,0.01771902670323917,,,0.2947043165114539,0.7774225774225775,0.7125254515599343,0.7323278315310187,0.054697106516743005,0.027717239820913963,0.009563978854282916
HTN,clinic4_aec_slope,external,1123,507,0.4514692787177204,0.7401732882502114,,0.7124060387327821,0.7690448546621823,0.2947043165114539,0.8382642998027613,0.4837662337662338,0.6438112199465716,,,
DM,bodycomp_only,internal,1259,233,0.18506751389992057,0.7278448753062116,0.04333002012545875,,,0.17757254412161086,0.7209990749306199,0.6432725550556476,0.6577025232403718,0.02765539741802376,0.029514590464759814,0.026541414435342785
DM,bodycomp_only,external,1123,335,0.2983081032947462,0.6821274338965073,,0.6490715574002714,0.7151227654680479,0.17757254412161086,0.7522388059701492,0.5190355329949239,0.5886019590382903,,,
DM,clinic4_aec_fpca_elbow,internal,1259,233,0.18506751389992057,0.7388250589312786,0.04771968128140813,,,0.1766193805898114,0.7253469010175763,0.6510916410134976,0.6648264086511098,0.041597686478874546,0.012352600149721355,0.016503021978581514
DM,clinic4_aec_fpca_elbow,external,1123,335,0.2983081032947462,0.6942192590347752,,0.66179376654084,0.7276699052576919,0.1766193805898114,0.8029850746268656,0.4543147208121827,0.5583259127337489,,,
DM,clinic4_aec_uplow_ratio,internal,1259,233,0.18506751389992057,0.7372290941001252,0.041406407177249645,,,0.14120596617516848,0.8281221091581867,0.5516410134975136,0.6028742174160501,0.03454437476437789,0.016432807546136022,0.011546151763782429
DM,clinic4_aec_uplow_ratio,external,1123,335,0.2983081032947462,0.6919009015834533,,0.659124327523419,0.7252425408108286,0.14120596617516848,0.8328358208955224,0.3934010152284264,0.5244879786286732,,,
DM,clinic4_aec_slope,internal,1259,233,0.18506751389992057,0.7355937278412149,0.04333420275449411,,,0.14641517865122286,0.8197039777983349,0.5711437366800853,0.6171883892999431,0.04839129797273225,0.028526147798314784,0.02981039556292976
DM,clinic4_aec_slope,external,1123,335,0.2983081032947462,0.6954163194181376,,0.6637902632948013,0.7279298060997449,0.14641517865122286,0.8686567164179104,0.3413705583756345,0.4986642920747996,,,
CKD,bodycomp_only,internal,1259,105,0.08339952343129468,0.7930081650578545,0.022089235073163148,,,0.07508117753985888,0.7904761904761906,0.6681347637869377,0.6783311199645862,0.05714285714285713,0.05507394324391299,0.048957558980426
CKD,bodycomp_only,external,1123,188,0.1674087266251113,0.6612071908066903,,0.6185353413891839,0.7056116083582076,0.07508117753985888,0.7712765957446809,0.4748663101604278,0.5244879786286732,,,
CKD,clinic4_aec_fpca_elbow,internal,1259,105,0.08339952343129468,0.7928896776101745,0.022772004213717757,,,0.07858821829396007,0.7904761904761906,0.6819951063429325,0.6910358565737053,0.04856209060564556,0.039108757230383366,0.03275331045921996
CKD,clinic4_aec_fpca_elbow,external,1123,188,0.1674087266251113,0.668625554670611,,0.6258847531590487,0.7117912384394555,0.07858821829396007,0.7659574468085106,0.46203208556149733,0.5129118432769367,,,
CKD,clinic4_aec_uplow_ratio,internal,1259,105,0.08339952343129468,0.792267125559051,0.02419040822371511,,,0.0883916627438622,0.7428571428571429,0.7235949557688688,0.7251976222095744,0.06459361888690729,0.04660384576601487,0.04107624190039326
CKD,clinic4_aec_uplow_ratio,external,1123,188,0.1674087266251113,0.6706451245875527,,0.6281934753629053,0.714139194013247,0.0883916627438622,0.7180851063829787,0.5401069518716578,0.5699020480854853,,,
CKD,clinic4_aec_slope,internal,1259,105,0.08339952343129468,0.7923105052297599,0.023770287060565633,,,0.06815509293522723,0.8285714285714285,0.6404065499717674,0.6560899260102447,0.0645936188869073,0.043868911664388936,0.03672639114291173
CKD,clinic4_aec_slope,external,1123,188,0.1674087266251113,0.670889748549323,,0.6283912440654789,0.7139181620465911,0.06815509293522723,0.7978723404255319,0.39786096256684494,0.46482635796972394,,,
