feature,model,cohort,n,n_pos,prevalence,auc,auc_std,auc_ci_lower,auc_ci_upper,threshold,sensitivity,specificity,accuracy,sensitivity_std,specificity_std,accuracy_std
HTN,clinic4,internal,1259,386,0.30659253375694995,0.7975183973115008,0.016158210114258477,,,0.26414582978367035,0.8137196137196137,0.6483940886699509,0.6989660405995067,0.049615306363205984,0.03808815743041093,0.018184344482129185
HTN,clinic4,external,1123,507,0.4514692787177204,0.7179839391377852,,0.6880582557567687,0.7484747480464067,0.26414582978367035,0.7810650887573964,0.5551948051948052,0.6571682991985752,,,
HTN,clinic4_bmi,internal,1259,386,0.30659253375694995,0.7976661838435237,0.015944580628877856,,,0.26414582978367035,0.8085581085581085,0.6518226600985223,0.6997596913931575,0.05260418813515183,0.035642288942691475,0.016790505146104084
HTN,clinic4_bmi,external,1123,507,0.4514692787177204,0.7180575834421988,,0.6881758084405311,0.7483169480318702,0.26414582978367035,0.7830374753451677,0.5568181818181818,0.6589492430988424,,,
HTN,clinic4_smi,internal,1259,386,0.30659253375694995,0.7973158128133498,0.01627142323800996,,,0.26414582978367035,0.8033633033633034,0.6506929392446634,0.6973787390122052,0.051383149133284796,0.03634428379769882,0.014058177958165262
HTN,clinic4_smi,external,1123,507,0.4514692787177204,0.7179391121698814,,0.688027999016091,0.7483493949893166,0.26414582978367035,0.7810650887573964,0.5551948051948052,0.6571682991985752,,,
HTN,clinic4_vat,internal,1259,386,0.30659253375694995,0.8126687160677306,0.024949848818078005,,,0.26414582978367035,0.806027306027306,0.6758752052545155,0.715626383355467,0.0795653410316367,0.03975884878913327,0.023627275056699606
HTN,clinic4_vat,external,1123,507,0.4514692787177204,0.7307147980224903,,0.7032672632822456,0.7600156103334994,0.26414582978367035,0.7652859960552268,0.5892857142857143,0.6687444345503116,,,
HTN,clinic4_sat,internal,1259,386,0.30659253375694995,0.8015625917596362,0.019794968812197108,,,0.26414582978367035,0.8008325008325008,0.6552512315270936,0.699766015303864,0.06899718685264511,0.029219582119322646,0.02329646349459097
HTN,clinic4_sat,external,1123,507,0.4514692787177204,0.7186371320986706,,0.689702070562125,0.749046790986199,0.26414582978367035,0.7534516765285996,0.560064935064935,0.647373107747106,,,
HTN,clinic4_imata,internal,1259,386,0.30659253375694995,0.8051752746432548,0.016443343167548585,,,0.26414582978367035,0.787812187812188,0.6735566502463055,0.7084961740340227,0.053420311557464004,0.03076236176589533,0.011170944378802698
HTN,clinic4_imata,external,1123,507,0.4514692787177204,0.7311406542175772,,0.7024844977346039,0.7597529447850246,0.26414582978367035,0.7672583826429981,0.560064935064935,0.653606411398041,,,
HTN,clinic4_nama,internal,1259,386,0.30659253375694995,0.7997450256366513,0.013006272585422038,,,0.26414582978367035,0.805960705960706,0.6518292282430214,0.6989628786441535,0.05302507252379594,0.03880991144205201,0.014154105261303705
HTN,clinic4_nama,external,1123,507,0.4514692787177204,0.7181056123363816,,0.6886162744271624,0.747875720613793,0.26414582978367035,0.7988165680473372,0.5227272727272727,0.647373107747106,,,
