feature,model,section,n,n_pos,prevalence,auc,threshold,tn,fp,fn,tp,sensitivity,specificity,accuracy
DM,clinic4,baseline,3130,336,0.1073482428115016,0.6486119277703923,0.11452326566160016,1795,999,137,199,0.5922619047619048,0.6424481030780244,0.6370607028753994
DM,clinic4_bmi,scalar,3130,336,0.1073482428115016,0.6484308424515117,0.11452326566160016,1792,1002,138,198,0.5892857142857143,0.6413743736578382,0.6357827476038339
DM,clinic4_smi,scalar,3130,336,0.1073482428115016,0.6597481422776699,0.11452326566160016,1797,997,137,199,0.5922619047619048,0.6431639226914817,0.6376996805111821
DM,clinic4_vat,scalar,3130,336,0.1073482428115016,0.6505063997682109,0.11452326566160016,1807,987,154,182,0.5416666666666666,0.6467430207587688,0.6354632587859425
DM,clinic4_sat,scalar,3130,336,0.1073482428115016,0.6491589119541875,0.11452326566160016,1796,998,137,199,0.5922619047619048,0.642806012884753,0.6373801916932907
DM,clinic4_imata,scalar,3130,336,0.1073482428115016,0.6481629427003442,0.11452326566160016,1806,988,144,192,0.5714285714285714,0.6463851109520401,0.6383386581469649
DM,clinic4_nama,scalar,3130,336,0.1073482428115016,0.6701584176977878,0.11452326566160016,1816,978,131,205,0.6101190476190477,0.6499642090193272,0.6456869009584665
DM,clinic4_lama,scalar,3130,336,0.1073482428115016,0.6434973327197737,0.11452326566160016,1789,1005,144,192,0.5714285714285714,0.6403006442376521,0.6329073482428115
DM,clinic4_tama,scalar,3130,336,0.1073482428115016,0.66040004942564,0.11452326566160016,1804,990,140,196,0.5833333333333334,0.6456692913385826,0.6389776357827476
DM,clinic4_vat_sat_ratio,inter_var_ratio,3130,336,0.1073482428115016,0.6631706548045131,0.11452326566160016,1820,974,147,189,0.5625,0.651395848246242,0.64185303514377
DM,clinic4_lama_tama_ratio,inter_var_ratio,3130,336,0.1073482428115016,0.6574153372873845,0.11452326566160016,1809,985,143,193,0.5744047619047619,0.6474588403722262,0.6396166134185304
DM,clinic4_imata_tama_ratio,inter_var_ratio,3130,336,0.1073482428115016,0.6542197140130211,0.11452326566160016,1802,992,143,193,0.5744047619047619,0.6449534717251253,0.6373801916932907
DM,clinic4_aec_fpca_elbow,curve_fpca_elbow,3130,336,0.1073482428115016,0.646543826908,0.11452326566160016,1789,1005,144,192,0.5714285714285714,0.6403006442376521,0.6329073482428115
DM,clinic4_aec_uplow_ratio,curve_uplow_ratio,3130,336,0.1073482428115016,0.6496595596005045,0.11452326566160016,1787,1007,138,198,0.5892857142857143,0.6395848246241947,0.634185303514377
DM,clinic4_vat_fpca_elbow,curve_fpca_elbow,3130,336,0.1073482428115016,0.6656994580222926,0.11452326566160016,1876,918,150,186,0.5535714285714286,0.6714387974230493,0.6587859424920128
DM,clinic4_vat_uplow_ratio,curve_uplow_ratio,3130,336,0.1073482428115016,0.6544881463680676,0.11452326566160016,1786,1008,143,193,0.5744047619047619,0.639226914817466,0.6322683706070288
