figure,comparison,group_col,groups,test,curve_rmsd,peak_slice,peak_deviation,direction,n_perm,p_value,n_matched_pairs,significant_p<0.05
01_aec_curve_by_low_smi_overall.png,Low-SMI cutoff (전체),LowSMI,Low SMI (n=129); Non-low SMI (n=961),whole-curve RMSD permutation,0.02100886955868061,120,0.04013687699936319,Low SMI > Non-low SMI,2000,0.047476261869065464,,True
01b_aec_curve_by_low_smi_matched.png,"Low-SMI cutoff (propensity-matched, 전체)",LowSMI,Low SMI (n=113); Non-low SMI (n=113),whole-curve RMSD permutation,0.013495966861035994,112,-0.026411897834674458,Low SMI < Non-low SMI,2000,0.5377311344327836,113.0,False
01c_aec_curve_by_low_smi_peak_window.png,"Low-SMI cutoff (전체), peak 구간 (slice 110-128)",LowSMI,Low SMI (n=129); Non-low SMI (n=961),whole-curve RMSD permutation,0.031791672302453125,120,0.04013687699936319,Low SMI > Non-low SMI,2000,0.00399800099950025,,True
01d_aec_curve_by_low_smi_matched_peak_window.png,"Low-SMI cutoff (propensity-matched, 전체), peak 구간 (slice 102-122)",LowSMI,Low SMI (n=113); Non-low SMI (n=113),whole-curve RMSD permutation,0.0220144704052424,112,-0.026411897834674458,Low SMI < Non-low SMI,2000,0.25037481259370314,113.0,False
02_aec_curve_lowsmi_by_sex.png,성별 그룹 내 Low-SMI vs Non-low SMI AEC 곡선 | Male,LowSMI,Low SMI (n=76); Non-low SMI (n=314),whole-curve RMSD permutation,0.032390184027653555,79,-0.05776179365592804,Low SMI < Non-low SMI,2000,0.0034982508745627187,,True
02_aec_curve_lowsmi_by_sex.png,성별 그룹 내 Low-SMI vs Non-low SMI AEC 곡선 | Female,LowSMI,Low SMI (n=53); Non-low SMI (n=647),whole-curve RMSD permutation,0.05299688010795701,3,0.08297442217335038,Low SMI > Non-low SMI,2000,0.0004997501249375312,,True
03_aec_curve_lowsmi_by_age.png,나이 그룹(median 분할) 내 Low-SMI vs Non-low SMI AEC 곡선 | Age ≤ median,LowSMI,Low SMI (n=57); Non-low SMI (n=492),whole-curve RMSD permutation,0.03281137289896295,75,-0.054118223014097744,Low SMI < Non-low SMI,2000,0.022988505747126436,,True
03_aec_curve_lowsmi_by_age.png,나이 그룹(median 분할) 내 Low-SMI vs Non-low SMI AEC 곡선 | Age > median,LowSMI,Low SMI (n=72); Non-low SMI (n=469),whole-curve RMSD permutation,0.020149171910199774,120,0.04113663341595253,Low SMI > Non-low SMI,2000,0.11394302848575712,,False
04_aec_curve_lowsmi_by_tama.png,TAMA 그룹(성별 median 분할) 내 Low-SMI vs Non-low SMI AEC 곡선 | TAMA ≤ 성별 median,LowSMI,Low SMI (n=128); Non-low SMI (n=419),whole-curve RMSD permutation,0.022152390976121893,120,0.04625875430183213,Low SMI > Non-low SMI,2000,0.041979010494752625,,True
05_aec_curve_lowsmi_by_height.png,신장 그룹(median 분할) 내 Low-SMI vs Non-low SMI AEC 곡선 | Height ≤ median,LowSMI,Low SMI (n=34); Non-low SMI (n=540),whole-curve RMSD permutation,0.02897218208737513,4,0.04635370053538623,Low SMI > Non-low SMI,2000,0.11644177911044477,,False
05_aec_curve_lowsmi_by_height.png,신장 그룹(median 분할) 내 Low-SMI vs Non-low SMI AEC 곡선 | Height > median,LowSMI,Low SMI (n=95); Non-low SMI (n=421),whole-curve RMSD permutation,0.023555889060050992,80,-0.04187252162258692,Low SMI < Non-low SMI,2000,0.06946526736631684,,False
