feature,feature_type,test,TP_stat,FP_stat,stat_label,effect,effect_name,n_TP,n_FP,p_value,q_value_fdr_bh,significant_q<0.05
slope_late,aec_shape,Mann-Whitney U,2.345825547906386e-05,-0.0006638197950103692,median,-0.16063404654008684,rank_biserial_r,117,447,0.007439317230451491,0.08470177038168442,False
sex_m,clinic,Fisher exact,0.6153846153846154,0.4854586129753915,proportion=1,1.695852534562212,odds_ratio,117,447,0.012831110385658803,0.08470177038168442,False
height_std,clinic,Mann-Whitney U,0.5983042328025556,0.3423434087889075,median,-0.14581540756037392,rank_biserial_r,117,447,0.015091163950476206,0.08470177038168442,False
trough_pos,aec_shape,Mann-Whitney U,1.0,1.0,median,0.12231591426222299,rank_biserial_r,117,447,0.018822615640374313,0.08470177038168442,False
age_std,clinic,Mann-Whitney U,0.3288179623716264,0.002023725777076498,median,-0.13109237270311103,rank_biserial_r,117,447,0.028893563492914713,0.09510494189138861,False
weight_std,clinic,Mann-Whitney U,-0.464425796729964,-0.21900988607940378,median,0.12891259871125638,rank_biserial_r,117,447,0.031701647297129536,0.09510494189138861,False
early_late_diff,aec_shape,Mann-Whitney U,0.23564889969558234,0.2889179124172643,median,0.07940878410677066,rank_biserial_r,117,447,0.18584833336527518,0.47789571436785044,False
frac_above_center,aec_shape,Mann-Whitney U,0.5,0.484375,median,-0.0631178416413316,rank_biserial_r,117,447,0.292729344358423,0.6586410248064518,False
kurtosis,aec_shape,Mann-Whitney U,-1.1607648593857833,-1.2314246118592023,median,-0.05527830360045116,rank_biserial_r,117,447,0.3571302283251424,0.7142604566502848,False
trough_val,aec_shape,Mann-Whitney U,0.7246533181681357,0.7060568646210492,median,-0.03634868735539887,rank_biserial_r,117,447,0.5449124219530691,0.8423981110649188,False
peak_pos,aec_shape,Mann-Whitney U,0.1328125,0.109375,median,-0.031186064743111697,rank_biserial_r,117,447,0.6027447270301828,0.8423981110649188,False
skew,aec_shape,Mann-Whitney U,-0.05481427893796457,0.018836135624920234,median,0.03107133979617205,rank_biserial_r,117,447,0.6048359564811443,0.8423981110649188,False
slope_early,aec_shape,Mann-Whitney U,-0.004211223885702044,-0.004332881493810152,median,-0.0307654066043328,rank_biserial_r,117,447,0.608398635769108,0.8423981110649188,False
centroid,aec_shape,Mann-Whitney U,0.4621094149380386,0.4798460719596881,median,-0.023040593510392116,rank_biserial_r,117,447,0.7012503205418272,0.855744031641804,False
total_abs_dev,aec_shape,Mann-Whitney U,0.14119613509964984,0.13943331685178767,median,0.020134228187919434,rank_biserial_r,117,447,0.7374733831756761,0.855744031641804,False
peak_val,aec_shape,Mann-Whitney U,1.2346893232289042,1.2228668511916427,median,-0.018298629036884062,rank_biserial_r,117,447,0.7606613614593813,0.855744031641804,False
std,aec_shape,Mann-Whitney U,0.16272617236856998,0.15624199373287298,median,0.010535574293963568,rank_biserial_r,117,447,0.8608849817027246,0.8920289337935201,False
range,aec_shape,Mann-Whitney U,0.5323838171871046,0.5248115505732353,median,0.008164592057209541,rank_biserial_r,117,447,0.8920289337935201,0.8920289337935201,False
