feature,feature_type,test,TP_stat,FP_stat,stat_label,effect,effect_name,n_TP,n_FP,p_value,q_value_fdr_bh,significant_q<0.05
peak_val,aec_shape,Mann-Whitney U,1.233557879843316,1.2003788616323883,median,-0.06026145180146658,rank_biserial_r,97,97,0.4692198018308359,1.0,False
height_std,clinic,Mann-Whitney U,0.5861156221352397,0.3545320194562234,median,-0.053246891274311814,rank_biserial_r,97,97,0.5224704284515107,1.0,False
range,aec_shape,Mann-Whitney U,0.5288634434116288,0.4948316498780022,median,-0.05112126687214369,rank_biserial_r,97,97,0.5393606292929252,1.0,False
trough_val,aec_shape,Mann-Whitney U,0.7189306929595629,0.7182558402978185,median,0.04368158146455525,rank_biserial_r,97,97,0.6000903927731638,1.0,False
std,aec_shape,Mann-Whitney U,0.15725552064761034,0.14976506465244493,median,-0.040918269741736735,rank_biserial_r,97,97,0.6234093994716415,1.0,False
trough_pos,aec_shape,Mann-Whitney U,1.0,1.0,median,0.031459241152088424,rank_biserial_r,97,97,0.6736582072186148,1.0,False
weight_std,clinic,Mann-Whitney U,-0.3605959883778038,-0.3700350618643639,median,-0.031459241152088424,rank_biserial_r,97,97,0.7059767351023505,1.0,False
total_abs_dev,aec_shape,Mann-Whitney U,0.1325440667287901,0.1331472156237247,median,-0.028164523328727764,rank_biserial_r,97,97,0.7356804158025478,1.0,False
centroid,aec_shape,Mann-Whitney U,0.4621094149380386,0.4796032925249341,median,-0.0271017111276437,rank_biserial_r,97,97,0.7453385106994872,1.0,False
early_late_diff,aec_shape,Mann-Whitney U,0.2672323679517924,0.2673833057013233,median,-0.019662025720055265,rank_biserial_r,97,97,0.8139895675898277,1.0,False
frac_above_center,aec_shape,Mann-Whitney U,0.4921875,0.484375,median,-0.01806780741842906,rank_biserial_r,97,97,0.8287773316981728,1.0,False
peak_pos,aec_shape,Mann-Whitney U,0.125,0.125,median,0.01615474545647788,rank_biserial_r,97,97,0.8463736392790286,1.0,False
slope_early,aec_shape,Mann-Whitney U,-0.004309381268170884,-0.00416429055937163,median,0.010096715910298704,rank_biserial_r,97,97,0.904325819821627,1.0,False
age_std,clinic,Mann-Whitney U,0.24711940322298892,0.08372228492571397,median,-0.009140184929322892,rank_biserial_r,97,97,0.9134175325015738,1.0,False
kurtosis,aec_shape,Mann-Whitney U,-1.1718718095241194,-1.1070974867404997,median,0.008608778828780972,rank_biserial_r,97,97,0.9185211838566648,1.0,False
slope_late,aec_shape,Mann-Whitney U,-0.0003875718733255074,-0.00016662539263725655,median,0.0075459666276969095,rank_biserial_r,97,97,0.9286769227003012,1.0,False
skew,aec_shape,Mann-Whitney U,0.014625010047428463,0.007831360608508333,median,0.00010628122010836183,rank_biserial_r,97,97,1.0,1.0,False
sex_m,clinic,Fisher exact,0.5773195876288659,0.5773195876288659,proportion=1,1.0,odds_ratio,97,97,1.0,1.0,False
