figure,comparison,group_col,groups,test,curve_rmsd,peak_slice,peak_deviation,direction,n_perm,p_value,n_matched_pairs,significant_p<0.05
01_aec_curve_by_low_smi_overall.png,Low-SMI cutoff (전체),LowSMI,Low SMI (n=141); Non-low SMI (n=785),whole-curve RMSD permutation,0.026562753574291147,109,0.04521463246406343,Low SMI > Non-low SMI,2000,0.011494252873563218,,True
01b_aec_curve_by_low_smi_matched.png,"Low-SMI cutoff (propensity-matched, 전체)",LowSMI,Low SMI (n=118); Non-low SMI (n=118),whole-curve RMSD permutation,0.03471684757909286,3,-0.06082648611768904,Low SMI < Non-low SMI,2000,0.026486756621689155,118.0,True
01c_aec_curve_by_low_smi_peak_window.png,"Low-SMI cutoff (전체), peak 구간 (slice 99-119)",LowSMI,Low SMI (n=141); Non-low SMI (n=785),whole-curve RMSD permutation,0.04183820354543495,109,0.04521463246406343,Low SMI > Non-low SMI,2000,0.0004997501249375312,,True
01d_aec_curve_by_low_smi_matched_peak_window.png,"Low-SMI cutoff (propensity-matched, 전체), peak 구간 (slice 1-13)",LowSMI,Low SMI (n=118); Non-low SMI (n=118),whole-curve RMSD permutation,0.05399504695541275,3,-0.06082648611768904,Low SMI < Non-low SMI,2000,0.017491254372813594,118.0,True
02_aec_curve_lowsmi_by_sex.png,성별 그룹 내 Low-SMI vs Non-low SMI AEC 곡선 | Male,LowSMI,Low SMI (n=98); Non-low SMI (n=330),whole-curve RMSD permutation,0.014373804529231772,2,-0.028426740417518914,Low SMI < Non-low SMI,2000,0.3363318340829585,,False
02_aec_curve_lowsmi_by_sex.png,성별 그룹 내 Low-SMI vs Non-low SMI AEC 곡선 | Female,LowSMI,Low SMI (n=43); Non-low SMI (n=455),whole-curve RMSD permutation,0.019497141629207168,128,-0.04222418131077765,Low SMI < Non-low SMI,2000,0.3713143428285857,,False
03_aec_curve_lowsmi_by_age.png,나이 그룹(median 분할) 내 Low-SMI vs Non-low SMI AEC 곡선 | Age ≤ median,LowSMI,Low SMI (n=56); Non-low SMI (n=416),whole-curve RMSD permutation,0.030624411407631825,121,0.06227567327487182,Low SMI > Non-low SMI,2000,0.062468765617191405,,False
03_aec_curve_lowsmi_by_age.png,나이 그룹(median 분할) 내 Low-SMI vs Non-low SMI AEC 곡선 | Age > median,LowSMI,Low SMI (n=85); Non-low SMI (n=369),whole-curve RMSD permutation,0.01753479291369804,109,0.036950518691902134,Low SMI > Non-low SMI,2000,0.21989005497251374,,False
04_aec_curve_lowsmi_by_tama.png,TAMA 그룹(성별 median 분할) 내 Low-SMI vs Non-low SMI AEC 곡선 | TAMA ≤ 성별 median,LowSMI,Low SMI (n=140); Non-low SMI (n=340),whole-curve RMSD permutation,0.02744825375633663,109,0.045445165889591466,Low SMI > Non-low SMI,2000,0.014492753623188406,,True
05_aec_curve_lowsmi_by_height.png,신장 그룹(median 분할) 내 Low-SMI vs Non-low SMI AEC 곡선 | Height ≤ median,LowSMI,Low SMI (n=47); Non-low SMI (n=436),whole-curve RMSD permutation,0.01656661203687446,5,-0.04101478158275662,Low SMI < Non-low SMI,2000,0.4832583708145927,,False
05_aec_curve_lowsmi_by_height.png,신장 그룹(median 분할) 내 Low-SMI vs Non-low SMI AEC 곡선 | Height > median,LowSMI,Low SMI (n=94); Non-low SMI (n=349),whole-curve RMSD permutation,0.0255114426067005,114,0.04099083145713356,Low SMI > Non-low SMI,2000,0.06646676661669165,,False
06_aec_curve_lowsmi_by_weight.png,체중 그룹(median 분할) 내 Low-SMI vs Non-low SMI AEC 곡선 | Weight ≤ median,LowSMI,Low SMI (n=80); Non-low SMI (n=383),whole-curve RMSD permutation,0.027860924303982477,1,-0.05195132814637904,Low SMI < Non-low SMI,2000,0.04997501249375312,,True
06_aec_curve_lowsmi_by_weight.png,체중 그룹(median 분할) 내 Low-SMI vs Non-low SMI AEC 곡선 | Weight > median,LowSMI,Low SMI (n=61); Non-low SMI (n=402),whole-curve RMSD permutation,0.03543415531311048,114,0.054712759316663084,Low SMI > Non-low SMI,2000,0.0239880059970015,,True
07_aec_curve_lowsmi_by_bmi.png,BMI 그룹(성별 median 분할) 내 Low-SMI vs Non-low SMI AEC 곡선 | BMI ≤ 성별 median,LowSMI,Low SMI (n=114); Non-low SMI (n=351),whole-curve RMSD permutation,0.03858349712825375,3,-0.06743267303576728,Low SMI < Non-low SMI,2000,0.0009995002498750624,,True
07_aec_curve_lowsmi_by_bmi.png,BMI 그룹(성별 median 분할) 내 Low-SMI vs Non-low SMI AEC 곡선 | BMI > 성별 median,LowSMI,Low SMI (n=27); Non-low SMI (n=434),whole-curve RMSD permutation,0.06908380875665714,96,0.10596534305812255,Low SMI > Non-low SMI,2000,0.0024987506246876563,,True
