figure,comparison,curve_type,group_col,groups,test,curve_rmsd,peak_slice,peak_deviation,direction,n_perm,p_value,n_matched_pairs,significant_p<0.05
16_aec_curve_tp_vs_tn.png,Stage-1 TP vs TN,p,group,TP (true low-SMI) (n=131); TN (true negative) (n=387),whole-curve RMSD permutation,0.02889132337217678,114,0.054663506172461185,TP (true low-SMI) > TN (true negative),2000,0.013493253373313344,,True
16_aec_curve_tp_vs_tn_dp.png,Stage-1 TP vs TN (dp),dp,group,TP (true low-SMI) (n=131); TN (true negative) (n=387),whole-curve RMSD permutation,0.0023188222616721704,126,-0.007428703472635635,TP (true low-SMI) < TN (true negative),2000,0.0004997501249375312,,True
16_aec_curve_tp_vs_tn_d2p.png,Stage-1 TP vs TN (d2p),d2p,group,TP (true low-SMI) (n=131); TN (true negative) (n=387),whole-curve RMSD permutation,0.0005598301585539339,42,0.0019230904755043843,TP (true low-SMI) > TN (true negative),2000,0.08395802098950525,,False
17_aec_curve_fp_vs_tn.png,Stage-1 FP vs TN,p,group,FP (false positive) (n=398); TN (true negative) (n=387),whole-curve RMSD permutation,0.022612805294047796,73,-0.0398816638862074,FP (false positive) < TN (true negative),2000,0.004497751124437781,,True
17_aec_curve_fp_vs_tn_dp.png,Stage-1 FP vs TN (dp),dp,group,FP (false positive) (n=398); TN (true negative) (n=387),whole-curve RMSD permutation,0.0017363476541505413,128,-0.004815730982838379,FP (false positive) < TN (true negative),2000,0.0004997501249375312,,True
17_aec_curve_fp_vs_tn_d2p.png,Stage-1 FP vs TN (d2p),d2p,group,FP (false positive) (n=398); TN (true negative) (n=387),whole-curve RMSD permutation,0.00041587774384267695,62,0.0014879278270553855,FP (false positive) > TN (true negative),2000,0.09345327336331834,,False
18_aec_curve_tp_vs_fp.png,Stage-1 TP vs FP,p,group,TP (true low-SMI) (n=131); FP (false positive) (n=398),whole-curve RMSD permutation,0.027438801825249957,3,-0.05378814518803687,TP (true low-SMI) < FP (false positive),2000,0.017491254372813594,,True
18_aec_curve_tp_vs_fp_dp.png,Stage-1 TP vs FP (dp),dp,group,TP (true low-SMI) (n=131); FP (false positive) (n=398),whole-curve RMSD permutation,0.001637672822936046,40,-0.003895456469380159,TP (true low-SMI) < FP (false positive),2000,0.004997501249375313,,True
18_aec_curve_tp_vs_fp_d2p.png,Stage-1 TP vs FP (d2p),d2p,group,TP (true low-SMI) (n=131); FP (false positive) (n=398),whole-curve RMSD permutation,0.0005360316541256562,62,-0.0015710308520521373,TP (true low-SMI) < FP (false positive),2000,0.42528735632183906,,False
19_aec_curve_tp_vs_fp_matched.png,Stage-1 TP vs FP (propensity-matched),p,group,TP (true low-SMI) (n=94); FP (false positive) (n=94),whole-curve RMSD permutation,0.04222631544824158,3,-0.0743847853794799,TP (true low-SMI) < FP (false positive),2000,0.01649175412293853,94.0,True
19_aec_curve_tp_vs_fp_matched_dp.png,Stage-1 TP vs FP (propensity-matched) (dp),dp,group,TP (true low-SMI) (n=94); FP (false positive) (n=94),whole-curve RMSD permutation,0.0023201971032350234,61,0.006763844446298936,TP (true low-SMI) > FP (false positive),2000,0.009495252373813094,94.0,True
19_aec_curve_tp_vs_fp_matched_d2p.png,Stage-1 TP vs FP (propensity-matched) (d2p),d2p,group,TP (true low-SMI) (n=94); FP (false positive) (n=94),whole-curve RMSD permutation,0.0007518083200970719,42,0.002235637827369597,TP (true low-SMI) > FP (false positive),2000,0.41679160419790107,94.0,False
