feature,feature_type,test,TP_stat,FP_stat,stat_label,effect,effect_name,n_TP,n_FP,p_value,q_value_fdr_bh,significant_q<0.05
early_late_diff,aec_shape,Mann-Whitney U,0.165366243170675,0.2404635394407721,median,0.1917157084653689,rank_biserial_r,94,94,0.023260595520913016,0.3476906433922696,False
slope_early,aec_shape,Mann-Whitney U,-0.0026253110606971044,-0.0040835142031989315,median,-0.17473970122227245,rank_biserial_r,94,94,0.03863229371025218,0.3476906433922696,False
peak_val,aec_shape,Mann-Whitney U,1.187022894876561,1.22856516050462,median,0.1555002263467632,rank_biserial_r,94,94,0.06573428923659529,0.38990297011282093,False
peak_pos,aec_shape,Mann-Whitney U,0.1796875,0.15234375,median,-0.14248528746038924,rank_biserial_r,94,94,0.09168053464205456,0.38990297011282093,False
total_abs_dev,aec_shape,Mann-Whitney U,0.11230342298938539,0.13018703139712934,median,0.12856496152105024,rank_biserial_r,94,94,0.1281996237196597,0.38990297011282093,False
std,aec_shape,Mann-Whitney U,0.12710022209260252,0.1464176961279461,median,0.12086917157084653,rank_biserial_r,94,94,0.15268842940493388,0.38990297011282093,False
centroid,aec_shape,Mann-Whitney U,0.4688653677914427,0.4496678200571731,median,-0.11656858306926221,rank_biserial_r,94,94,0.16784288893019628,0.38990297011282093,False
trough_pos,aec_shape,Mann-Whitney U,0.62890625,0.671875,median,0.1101177003168855,rank_biserial_r,94,94,0.18882427367313326,0.38990297011282093,False
range,aec_shape,Mann-Whitney U,0.4175079540503322,0.44437504671459516,median,0.10955183340878227,rank_biserial_r,94,94,0.19495148505641047,0.38990297011282093,False
skew,aec_shape,Mann-Whitney U,0.059458032397160174,0.15424690058282423,median,0.07288365776369399,rank_biserial_r,94,94,0.3887906444004995,0.699823159920899,False
kurtosis,aec_shape,Mann-Whitney U,-1.1469093790113507,-1.2156359250784905,median,-0.06292440018107737,rank_biserial_r,94,94,0.4569573952052972,0.7477484648813953,False
age_std,clinic,Mann-Whitney U,0.49221508066890135,0.3288179623716264,median,-0.052738795835219454,rank_biserial_r,94,94,0.5329643146910992,0.7958838396285228,False
weight_std,clinic,Mann-Whitney U,-0.18125359213316392,-0.3700350618643639,median,-0.038592123132639156,rank_biserial_r,94,94,0.6485588086988741,0.7958838396285228,False
slope_late,aec_shape,Mann-Whitney U,0.0007448062825802024,0.0009790928593285556,median,0.03349932095971031,rank_biserial_r,94,94,0.6925561610959989,0.7958838396285228,False
frac_above_center,aec_shape,Mann-Whitney U,0.4765625,0.4609375,median,-0.03259393390674514,rank_biserial_r,94,94,0.7002404820618514,0.7958838396285228,False
height_std,clinic,Mann-Whitney U,0.4032864621254906,0.37890924079085697,median,-0.026369397917609838,rank_biserial_r,94,94,0.7557375578390217,0.7958838396285228,False
sex_m,clinic,Fisher exact,0.6595744680851063,0.6276595744680851,proportion=1,1.1493644067796611,odds_ratio,94,94,0.7608306212006196,0.7958838396285228,False
trough_val,aec_shape,Mann-Whitney U,0.7805334048898646,0.7807297596185043,median,-0.021955636034404646,rank_biserial_r,94,94,0.7958838396285228,0.7958838396285228,False
