feature,feature_type,test,TP_stat,FP_stat,stat_label,effect,effect_name,n_TP,n_FP,p_value,q_value_fdr_bh,significant_q<0.05
height_std,clinic,Mann-Whitney U,0.7080017288084058,0.26921174478500853,median,-0.1815182784149756,rank_biserial_r,131,398,0.0018120798391528215,0.021406627275204326,True
age_std,clinic,Mann-Whitney U,0.6556121989661763,0.3288179623716264,median,-0.17681921055659977,rank_biserial_r,131,398,0.0023785141416893694,0.021406627275204326,True
sex_m,clinic,Fisher exact,0.7251908396946565,0.5804020100502513,proportion=1,1.9077681577681578,odds_ratio,131,398,0.0036348502122011306,0.021809101273206784,True
trough_val,aec_shape,Mann-Whitney U,-0.15972496298722905,-0.1430324985587527,median,0.13180405846024013,rank_biserial_r,131,398,0.023577630736873488,0.1060993383159307,False
range,aec_shape,Mann-Whitney U,0.3611276122470855,0.33144378162888544,median,-0.12025777743680233,rank_biserial_r,131,398,0.03886736402754367,0.12901410234018457,False
early_late_diff,aec_shape,Mann-Whitney U,-0.0628979868065342,-0.02323840200565252,median,0.11550116997199744,rank_biserial_r,131,398,0.04726986248643928,0.12901410234018457,False
peak_pos,aec_shape,Mann-Whitney U,0.9765625,0.80859375,median,-0.1094211515593233,rank_biserial_r,131,398,0.05017215091007178,0.12901410234018457,False
std,aec_shape,Mann-Whitney U,0.09850240310652233,0.09203855785803713,median,-0.11043768460623737,rank_biserial_r,131,398,0.057842693292262035,0.1301460599075896,False
total_abs_dev,aec_shape,Mann-Whitney U,0.08579769636587076,0.07747270799913875,median,-0.10115462810234388,rank_biserial_r,131,398,0.08231414775122183,0.1571663030423024,False
slope_early,aec_shape,Mann-Whitney U,0.0007828701523739697,0.00020426106877669632,median,-0.09954351912232928,rank_biserial_r,131,398,0.08731461280127911,0.1571663030423024,False
peak_val,aec_shape,Mann-Whitney U,0.20077259651457738,0.1909203354652939,median,-0.09413479611799458,rank_biserial_r,131,398,0.10591722621572405,0.17331909744391208,False
centroid,aec_shape,Mann-Whitney U,0.5477254219829664,0.5403353453261597,median,-0.08139936322835561,rank_biserial_r,131,398,0.16210207742458527,0.2431531161368779,False
trough_pos,aec_shape,Mann-Whitney U,0.4765625,0.4921875,median,0.0683186927001419,rank_biserial_r,131,398,0.2399424642069059,0.3143056693322548,False
weight_std,clinic,Mann-Whitney U,-0.2756443269987639,-0.3700350618643639,median,0.06776247650466072,rank_biserial_r,131,398,0.24445996503619816,0.3143056693322548,False
frac_above_center,aec_shape,Mann-Whitney U,0.484375,0.484375,median,-0.035444397560320695,rank_biserial_r,131,398,0.5426163539470195,0.6511396247364233,False
skew,aec_shape,Mann-Whitney U,0.2115330683750239,0.1860497702006333,median,0.026660017645479317,rank_biserial_r,131,398,0.6471930965739112,0.7280922336456501,False
kurtosis,aec_shape,Mann-Whitney U,-0.7461329100656853,-0.8212174600683417,median,-0.010242049944378273,rank_biserial_r,131,398,0.8605928875896465,0.9112159986243316,False
slope_late,aec_shape,Mann-Whitney U,0.0009232384226471453,0.0011205234162754152,median,0.0019947063562085754,rank_biserial_r,131,398,0.9729268098571942,0.9729268098571942,False
