figure,comparison,curve_type,group_col,groups,test,curve_rmsd,peak_slice,peak_deviation,direction,n_perm,p_value,n_matched_pairs,significant_p<0.05
16_aec_curve_tp_vs_tn.png,Stage-1 TP vs TN,p,group,TP (true low-SMI) (n=131); TN (true negative) (n=387),whole-curve RMSD permutation,34.463046808276445,5,-43.865639781446504,TP (true low-SMI) < TN (true negative),2000,0.0004997501249375312,,True
16_aec_curve_tp_vs_tn_dp.png,Stage-1 TP vs TN (dp),dp,group,TP (true low-SMI) (n=131); TN (true negative) (n=387),whole-curve RMSD permutation,0.43855994840458434,126,-1.230854192555772,TP (true low-SMI) < TN (true negative),2000,0.0009995002498750624,,True
16_aec_curve_tp_vs_tn_d2p.png,Stage-1 TP vs TN (d2p),d2p,group,TP (true low-SMI) (n=131); TN (true negative) (n=387),whole-curve RMSD permutation,0.11261472832395258,42,0.42451604631437756,TP (true low-SMI) > TN (true negative),2000,0.18590704647676162,,False
17_aec_curve_fp_vs_tn.png,Stage-1 FP vs TN,p,group,FP (false positive) (n=398); TN (true negative) (n=387),whole-curve RMSD permutation,26.105245993961443,63,-32.082808551803055,FP (false positive) < TN (true negative),2000,0.0004997501249375312,,True
17_aec_curve_fp_vs_tn_dp.png,Stage-1 FP vs TN (dp),dp,group,FP (false positive) (n=398); TN (true negative) (n=387),whole-curve RMSD permutation,0.3080258145228433,128,-0.8672297534182551,FP (false positive) < TN (true negative),2000,0.0004997501249375312,,True
17_aec_curve_fp_vs_tn_d2p.png,Stage-1 FP vs TN (d2p),d2p,group,FP (false positive) (n=398); TN (true negative) (n=387),whole-curve RMSD permutation,0.0818753935660559,62,0.2984572247542623,FP (false positive) > TN (true negative),2000,0.16891554222888555,,False
18_aec_curve_tp_vs_fp.png,Stage-1 TP vs FP,p,group,TP (true low-SMI) (n=131); FP (false positive) (n=398),whole-curve RMSD permutation,10.25234968199066,3,-20.828305074993324,TP (true low-SMI) < FP (false positive),2000,0.16741629185407297,,False
18_aec_curve_tp_vs_fp_dp.png,Stage-1 TP vs FP (dp),dp,group,TP (true low-SMI) (n=131); FP (false positive) (n=398),whole-curve RMSD permutation,0.34502646421379835,61,0.8542164064597793,TP (true low-SMI) > FP (false positive),2000,0.004997501249375313,,True
18_aec_curve_tp_vs_fp_d2p.png,Stage-1 TP vs FP (d2p),d2p,group,TP (true low-SMI) (n=131); FP (false positive) (n=398),whole-curve RMSD permutation,0.10790411435986723,43,0.3470451494111782,TP (true low-SMI) > FP (false positive),2000,0.2983508245877061,,False
19_aec_curve_tp_vs_fp_matched.png,Stage-1 TP vs FP (propensity-matched),p,group,TP (true low-SMI) (n=94); FP (false positive) (n=94),whole-curve RMSD permutation,10.606105930352925,3,-21.67170212765953,TP (true low-SMI) < FP (false positive),2000,0.3538230884557721,94.0,False
19_aec_curve_tp_vs_fp_matched_dp.png,Stage-1 TP vs FP (propensity-matched) (dp),dp,group,TP (true low-SMI) (n=94); FP (false positive) (n=94),whole-curve RMSD permutation,0.49442390592375657,59,1.4153191489361714,TP (true low-SMI) > FP (false positive),2000,0.009995002498750625,94.0,True
19_aec_curve_tp_vs_fp_matched_d2p.png,Stage-1 TP vs FP (propensity-matched) (d2p),d2p,group,TP (true low-SMI) (n=94); FP (false positive) (n=94),whole-curve RMSD permutation,0.15294604718644625,42,0.46093085106382964,TP (true low-SMI) > FP (false positive),2000,0.23788105947026486,94.0,False
