disease,term,coefficient,std_err,p_value,odds_ratio
HTN,intercept,-0.708036,0.151464,3e-06,0.492611
HTN,sex_M,1.125536,0.285888,8.3e-05,3.081869
HTN,age,0.976432,0.120099,0.0,2.654966
HTN,height,-0.381905,0.160247,0.017161,0.68256
HTN,weight,0.585036,0.129056,6e-06,1.795055
DM,intercept,-0.594187,0.19229,0.002001,0.552011
DM,sex_M,0.978674,0.357663,0.006213,2.660925
DM,age,0.594367,0.134399,1e-05,1.811883
DM,height,-0.725857,0.198316,0.000252,0.48391
DM,weight,0.765094,0.158569,1e-06,2.149196
CKD,intercept,-1.036162,0.323608,0.001365,0.354814
CKD,sex_M,1.105141,0.528713,0.036596,3.019651
CKD,age,0.777812,0.207168,0.000174,2.176704
CKD,height,-0.033594,0.297425,0.910071,0.966964
CKD,weight,0.436657,0.241222,0.070267,1.547525
