rnn_type,hidden_size,num_layers,head_hidden,feature,internal_oof_auc,delta_vs_clinic4
gru,16,1,16,HTN,0.7947665606704509,-0.0005379060298967842
gru,16,1,32,HTN,0.7934886623673808,-0.0018158043329669082
gru,16,2,16,HTN,0.7953965942524295,9.21275520817666e-05
gru,16,2,32,HTN,0.7970043686290826,0.001699901928734926
gru,32,1,16,HTN,0.7955541026479243,0.00024963594757654306
gru,32,1,32,HTN,0.7679782460102826,-0.027326220690065073
gru,32,2,16,HTN,0.7778596689351838,-0.017444797765163944
gru,32,2,32,HTN,0.7728312877054296,-0.022473178994918075
lstm,16,1,16,HTN,0.7907456388005587,-0.004558827899789009
lstm,16,1,32,HTN,0.7710333145115754,-0.024271152188772294
lstm,16,2,16,HTN,0.7894499093583761,-0.0058545573419716
lstm,16,2,32,HTN,0.7837558322684179,-0.011548634431929772
lstm,32,1,16,HTN,0.7968141698118817,0.0015097031115339776
lstm,32,1,32,HTN,0.7878896846860233,-0.007414782014324439
lstm,32,2,16,HTN,0.7958156260215756,0.0005111593212279164
lstm,32,2,32,HTN,0.7972213141549525,0.001916847454604742
gru,16,1,16,DM,0.7315456804217171,0.012983497297115898
gru,16,1,32,DM,0.731369405365477,0.012807222240875826
gru,16,2,16,DM,0.7204319578282915,0.001869774703690319
gru,16,2,32,DM,0.7263707484135246,0.007808565288923375
gru,32,1,16,DM,0.7012263707484135,-0.017335812376187643
gru,32,1,32,DM,0.7176661182553806,-0.0008960648692205586
gru,32,2,16,DM,0.7016880435147569,-0.016874139609844296
gru,32,2,32,DM,0.7183838095557868,-0.0001783735688143384
lstm,16,1,16,DM,0.7102667629184434,-0.00829542020615781
lstm,16,1,32,DM,0.6966977806131015,-0.02186440251149968
lstm,16,2,16,DM,0.7252291575731121,0.006666974448510943
lstm,16,2,32,DM,0.7002631534768157,-0.018299029647785514
lstm,32,1,16,DM,0.7294471678474296,0.010884984722828395
lstm,32,1,32,DM,0.7209397978712687,0.0023776147466675335
lstm,32,2,16,DM,0.7295395024006984,0.010977319276097242
lstm,32,2,32,DM,0.7365737165497094,0.018011533425108195
gru,16,1,16,CKD,0.7409342246430635,-0.025146488404720557
gru,16,1,32,CKD,0.7291656350581827,-0.036915077989601364
gru,16,2,16,CKD,0.7448543368820666,-0.02122637616571743
gru,16,2,32,CKD,0.7418090286374516,-0.02427168441033245
gru,32,1,16,CKD,0.7405215812494842,-0.025559131798299828
gru,32,1,32,CKD,0.7314599323264834,-0.03462078072130059
gru,32,2,16,CKD,0.7257489477593464,-0.04033176528843763
gru,32,2,32,CKD,0.736502434596022,-0.029578278451761975
lstm,16,1,16,CKD,0.763934967401172,-0.002145745646612074
lstm,16,1,32,CKD,0.7415119253940745,-0.024568787653709512
lstm,16,2,16,CKD,0.7242304200709746,-0.04185029297680942
lstm,16,2,32,CKD,0.7357679293554511,-0.030312783692332923
lstm,32,1,16,CKD,0.7513245852933895,-0.014756127754394499
lstm,32,1,32,CKD,0.7358174465626806,-0.03026326648510347
lstm,32,2,16,CKD,0.723050259965338,-0.04303045308244602
lstm,32,2,32,CKD,0.7625980028059751,-0.003482710241808906
