d_model,nhead,num_layers,head_hidden,feature,internal_oof_auc,delta_vs_clinic4
16,2,1,16,HTN,0.7919492406906595,-0.0033552260096881836
16,2,1,32,HTN,0.7875687241819966,-0.007735742518351074
16,2,2,16,HTN,0.7911408957175549,-0.004163570982792852
16,2,2,32,HTN,0.790843710065678,-0.004460756634669716
16,4,1,16,HTN,0.793155814437279,-0.0021486522630687066
16,4,1,32,HTN,0.7910279651698415,-0.004276501530506183
16,4,2,16,HTN,0.7919210080537311,-0.0033834586466165995
16,4,2,32,HTN,0.7887544949329848,-0.006549971767362939
32,2,1,16,HTN,0.7839519747986566,-0.011352491901691075
32,2,1,32,HTN,0.7875538648994027,-0.007750601800945001
32,2,2,16,HTN,0.7900739992273172,-0.0052304674730304646
32,2,2,32,HTN,0.7883473505899135,-0.006957116110434258
32,4,1,16,HTN,0.7858569348271865,-0.009447531873161163
32,4,1,32,HTN,0.7861214300573568,-0.009183036642990916
32,4,2,16,HTN,0.786145204909507,-0.0091592617908407
32,4,2,32,HTN,0.7883592380159886,-0.006945228684359095
16,2,1,16,DM,0.6965844609340899,-0.021977722190511306
16,2,1,32,DM,0.7186020548635128,3.987173891162321e-05
16,2,2,16,DM,0.6910569788134171,-0.027505204311184084
16,2,2,32,DM,0.7100695027364603,-0.008492680388140883
16,4,1,16,DM,0.6928658966524528,-0.02569628647214839
16,4,1,32,DM,0.7114629150857872,-0.0070992680388139995
16,4,2,16,DM,0.6788226505053218,-0.03973953261927943
16,4,2,32,DM,0.7122687439143135,-0.006293439210287688
32,2,1,16,DM,0.6801279253265285,-0.038434257798072635
32,2,1,32,DM,0.7172506127656717,-0.0013115703589294814
32,2,2,16,DM,0.7145393345196924,-0.0040228486049087575
32,2,2,32,DM,0.7149002786824699,-0.003661904442131325
32,4,1,16,DM,0.7184383708827183,-0.000123812241882848
32,4,1,32,DM,0.714178390356915,-0.00438379276768619
32,4,2,16,DM,0.6854497532149213,-0.033112429909679886
32,4,2,32,DM,0.7172569083033945,-0.0013052748212066811
16,2,1,16,CKD,0.71337789881984,-0.052702814227943984
16,2,1,32,CKD,0.7623586696376992,-0.003722043410084863
16,2,2,16,CKD,0.7184534125608649,-0.0476273004869191
16,2,2,32,CKD,0.7782784517619873,0.012197738714203266
16,4,1,16,CKD,0.7146240818684493,-0.051456631179334744
16,4,1,32,CKD,0.7621853594123957,-0.003895353635388288
16,4,2,16,CKD,0.748964265082116,-0.017116447965668025
16,4,2,32,CKD,0.7791367500206322,0.013056036972848184
32,2,1,16,CKD,0.7239003053561113,-0.04218040769167275
32,2,1,32,CKD,0.7481059668234712,-0.017974746224312832
32,2,2,16,CKD,0.6891227201452506,-0.07695799290253347
32,2,2,32,CKD,0.7558058925476605,-0.010274820500123516
32,4,1,16,CKD,0.7474374845258728,-0.018643228521911248
32,4,1,32,CKD,0.7626062556738467,-0.0034744573739373674
32,4,2,16,CKD,0.7423042007097466,-0.02377651233803746
32,4,2,32,CKD,0.7647932656598169,-0.0012874473879671555
