n_levels,width,kernel_size,feature,internal_oof_auc,delta_vs_clinic4
3,16,3,HTN,0.7627849267437369,-0.03251953995661083
3,16,5,HTN,0.7926669440399418,-0.0026375226604059554
3,32,3,HTN,0.7874706529168773,-0.007833813783470367
3,32,5,HTN,0.7736336889654968,-0.021670777734850932
4,16,3,HTN,0.7839638622247318,-0.011340604475615912
4,16,5,HTN,0.7944010223186424,-0.0009034443817053095
4,32,3,HTN,0.7698861778953312,-0.02541828880501651
4,32,5,HTN,0.7887604386460221,-0.006544028054325635
3,16,3,DM,0.6872565725413827,-0.03130561058321846
3,16,5,DM,0.7117462142833159,-0.006815968841285325
3,32,3,DM,0.7139097807474062,-0.004652402377194997
3,32,5,DM,0.6858316825034416,-0.032730500621159564
4,16,3,DM,0.7100527146358661,-0.008509468488735128
4,16,5,DM,0.7222303831044556,0.0036681999798544584
4,32,3,DM,0.7176829063559748,-0.0008792767686264247
4,32,5,DM,0.6733056609475204,-0.04525652217708076
3,16,3,CKD,0.7387554675249649,-0.02732524552281912
3,16,5,CKD,0.7631096806140134,-0.002971032433770615
3,32,3,CKD,0.7425187752744078,-0.02356193777337623
3,32,5,CKD,0.7546092267062804,-0.011471486341503634
4,16,3,CKD,0.7241809028637453,-0.041899810184038766
4,16,5,CKD,0.7322687133778989,-0.03381199966988513
4,32,3,CKD,0.7472064042254682,-0.018874308822315777
4,32,5,CKD,0.720120491870925,-0.04596022117685905
