se_reduction,head_hidden,feature,internal_oof_auc,delta_vs_clinic4
2,16,HTN,0.7747243603078844,-0.020580106392463327
2,32,HTN,0.7964233706796635,0.0011189039793157995
4,16,HTN,0.7654016464085114,-0.02990282029183633
4,32,HTN,0.7684537430532854,-0.026850723647062313
8,16,HTN,0.7542393533240215,-0.041065113376326234
8,32,HTN,0.7366459627329193,-0.058658503967428444
2,16,DM,0.679905482993654,-0.03865670013094713
2,32,DM,0.7067874290702751,-0.011774754054326042
4,16,DM,0.7141196320048351,-0.004442551119766103
4,32,DM,0.7206460061108688,0.002083822986267636
8,16,DM,0.6754734244367592,-0.04308875868784201
8,32,DM,0.7093560084612027,-0.009206174663398459
2,16,CKD,0.717636378641578,-0.04844433440620599
2,32,CKD,0.7306181398035816,-0.03546257324420243
4,16,CKD,0.7100024758603615,-0.05607823718742255
4,32,CKD,0.7492778740612362,-0.016802838986547775
8,16,CKD,0.7004456548650656,-0.06563505818271842
8,32,CKD,0.6878270198894115,-0.0782536931583725
