disease,cohort,model,n,n_pos,auc,p_value_vs_baseline,significant_p<0.05
CKD,gangnam,baseline,42,21,0.7936507936507936,,False
CKD,gangnam,baseline_unbalanced,252,21,0.7645846217274789,,False
CKD,gangnam,bodycomp,42,21,0.7845804988662132,0.8646545717834087,False
CKD,gangnam,imata,42,21,0.7573696145124715,0.4512534004916221,False
CKD,gangnam,lama,42,21,0.8140589569160999,0.5861622984507211,False
CKD,gangnam,nama,42,21,0.7596371882086168,0.3531603533159867,False
CKD,gangnam,sat,42,21,0.81859410430839,0.03695427078290313,True
CKD,gangnam,vat,42,21,0.7777777777777777,0.41198090410601873,False
CKD,gangnam,vat_sat,42,21,0.7959183673469388,0.9277728735072633,False
CKD,gangnam,vat_sat_vsr,42,21,0.7891156462585034,0.8628293221861855,False
CKD,gangnam,vsr,42,21,0.7959183673469388,0.7935435180922368,False
CKD,sinchon,baseline,376,188,0.6001584427342689,,False
CKD,sinchon,baseline_unbalanced,1123,188,0.6129138696097395,0.5588563581307908,False
CKD,sinchon,bodycomp,376,188,0.6636204164780445,0.0010774841633726755,True
CKD,sinchon,imata,376,188,0.6111362607514712,0.5257239519058621,False
CKD,sinchon,lama,376,188,0.6545382526029877,0.0017490138123507889,True
CKD,sinchon,nama,376,188,0.5929436396559529,0.4344992768183801,False
CKD,sinchon,sat,376,188,0.6035819375282934,0.4256703651477316,False
CKD,sinchon,vat,376,188,0.6048834314169307,0.5772657451886822,False
CKD,sinchon,vat_sat,376,188,0.6017994567677682,0.8636932152444574,False
CKD,sinchon,vat_sat_vsr,376,188,0.5986023087369851,0.8967455718996636,False
CKD,sinchon,vsr,376,188,0.5959993209597103,0.30106827979594364,False
DM,gangnam,baseline,94,47,0.761430511543685,,False
DM,gangnam,baseline_unbalanced,252,47,0.6614426569797612,0.24639976414194698,False
DM,gangnam,bodycomp,94,47,0.7546401086464464,0.810990767907867,False
DM,gangnam,imata,94,47,0.7623358985966501,0.9676881698758426,False
DM,gangnam,lama,94,47,0.7863286555002262,0.2363392406491942,False
DM,gangnam,nama,94,47,0.7641466727025803,0.9021397139104657,False
DM,gangnam,sat,94,47,0.7451335445903123,0.39223968013055344,False
DM,gangnam,vat,94,47,0.752829334540516,0.6335571926781219,False
DM,gangnam,vat_sat,94,47,0.7320054323223179,0.24782258200388618,False
DM,gangnam,vat_sat_vsr,94,47,0.7392485287460389,0.3914647257604642,False
DM,gangnam,vsr,94,47,0.7487550928021729,0.5234226762373262,False
DM,new10000,baseline,1478,739,0.6576527912312473,,False
DM,new10000,baseline_unbalanced,6909,739,0.6371099190065861,0.09497524336987016,False
DM,new10000,bodycomp,1478,739,0.676716332094902,0.03658558380743505,True
DM,new10000,imata,1478,739,0.6658945545034892,0.2687126832992375,False
DM,new10000,lama,1478,739,0.6624044854528576,0.3961326274232939,False
DM,new10000,nama,1478,739,0.6700273382638646,0.04757374353772327,True
DM,new10000,sat,1478,739,0.6580629567440182,0.9329981590746896,False
DM,new10000,vat,1478,739,0.684994717287927,2.130332701639817e-09,True
DM,new10000,vat_sat,1478,739,0.6909183129745973,3.3695608693461147e-06,True
DM,new10000,vat_sat_vsr,1478,739,0.6910355031211031,4.147323553020804e-06,True
DM,new10000,vsr,1478,739,0.6803657065009403,2.498251912401965e-06,True
DM,sinchon,baseline,670,335,0.6821742036088215,,False
DM,sinchon,baseline_unbalanced,1123,335,0.6487082354723843,0.007745941160950069,True
DM,sinchon,bodycomp,670,335,0.6871998217865894,0.7083476543555418,False
DM,sinchon,imata,670,335,0.676471374470929,0.6111574540020301,False
DM,sinchon,lama,670,335,0.6848117620850969,0.7458937295320089,False
DM,sinchon,nama,670,335,0.6836801069280464,0.8526940819424212,False
DM,sinchon,sat,670,335,0.6813366005791935,0.9091291008058937,False
DM,sinchon,vat,670,335,0.6799821786589441,0.7749294210838138,False
DM,sinchon,vat_sat,670,335,0.6847404767208733,0.8145335074852346,False
