cohort,normalization,sex,bmi_group,n_tp,n_fp,curve_rmsd,peak_slice,peak_deviation,direction,n_perm,p_value
gangnam,raw,M,Underweight (<18.5),10,3,84.69824316014942,1,-109.66666666666669,TP < FP,2000,0.03398300849575212
gangnam,raw,M,Normal (18.5-22.9),38,73,19.594029405307708,73,-29.545857966834916,TP < FP,2000,0.23438280859570215
gangnam,raw,M,Overweight/at-risk (23.0-24.9),15,99,12.581062003730603,76,28.358929292929247,TP > FP,2000,0.7256371814092953
gangnam,raw,M,Obese I (25.0-29.9),9,42,12.82890194186371,117,-33.76992063492065,TP < FP,2000,0.8490754622688655
gangnam,raw,F,Underweight (<18.5),19,25,16.034092610908935,79,25.683663157894784,TP > FP,2000,0.4782608695652174
gangnam,raw,F,Normal (18.5-22.9),26,193,18.032932735775933,1,29.442208051016337,TP > FP,2000,0.23738130934532733
sinchon,raw,M,Underweight (<18.5),9,8,11.004663108833407,1,-29.166666666666657,TP < FP,2000,0.8760619690154923
sinchon,raw,M,Normal (18.5-22.9),62,97,5.211318202255492,3,-9.181699368140926,TP < FP,2000,0.7256371814092953
sinchon,raw,M,Overweight/at-risk (23.0-24.9),18,91,12.570436755526629,1,-25.992063492063494,TP < FP,2000,0.5867066466766616
sinchon,raw,M,Obese I (25.0-29.9),6,35,50.93775005415527,111,77.31928571428574,TP > FP,2000,0.12093953023488256
sinchon,raw,F,Underweight (<18.5),15,31,20.579097900525344,5,-35.21064516129033,TP < FP,2000,0.3828085957021489
sinchon,raw,F,Normal (18.5-22.9),20,132,10.776476576955705,128,-19.381818181818176,TP < FP,2000,0.5902048975512244
