cohort,normalization,fft_scale,n_tp,n_fp,image_rmsd,peak_freq_x_cycle,peak_freq_y_cycle,peak_deviation,direction,n_perm,p_value
gangnam,raw,linear,117,447,8.695287210939587e-05,0.0,-2.0,0.0015748081818954738,TP > FP,2000,0.31634182908545727
gangnam,raw,log,117,447,8.689798625840413e-05,0.0,-2.0,0.0015717623197979448,TP > FP,2000,0.3168415792103948
gangnam,patient_norm,linear,117,447,8.518265960422803e-05,-4.0,-4.0,-0.0005786177833982241,TP < FP,2000,0.5527236381809095
gangnam,patient_norm,log,117,447,8.51575856249135e-05,-4.0,-4.0,-0.0005780671042703629,TP < FP,2000,0.5517241379310345
gangnam,global_zscore,linear,117,447,8.692032884972821e-05,0.0,-2.0,0.0015747589527193866,TP > FP,2000,0.3188405797101449
gangnam,global_zscore,log,117,447,8.686543552811549e-05,0.0,-2.0,0.0015717131591055638,TP > FP,2000,0.32033983008495753
sinchon,raw,linear,131,398,8.143199616796812e-05,0.0,-3.0,0.001330545189763228,TP > FP,2000,0.3028485757121439
sinchon,raw,log,131,398,8.137701564375412e-05,0.0,-3.0,0.0013266007237169113,TP > FP,2000,0.30334832583708143
sinchon,patient_norm,linear,131,398,8.519776640327991e-05,1.0,-10.0,0.0010610973178028988,TP > FP,2000,0.13793103448275862
sinchon,patient_norm,log,131,398,8.513914916158524e-05,-1.0,10.0,0.001060518425424298,TP > FP,2000,0.13693153423288357
sinchon,global_zscore,linear,131,398,8.143199616796812e-05,0.0,-3.0,0.001330545189763228,TP > FP,2000,0.3028485757121439
sinchon,global_zscore,log,131,398,8.137701564375412e-05,0.0,-3.0,0.0013266007237169113,TP > FP,2000,0.30334832583708143
