cohort,normalization,sex,fft_scale,n_tp,n_fp,image_rmsd,peak_freq_x_cycle,peak_freq_y_cycle,peak_deviation,direction,n_perm,p_value
gangnam,raw,M,linear,72,217,0.00010694460015081275,0.0,5.0,0.0014474112298557343,TP > FP,2000,0.4147926036981509
gangnam,raw,M,log,72,217,0.00010689651565595549,0.0,5.0,0.001445411081628155,TP > FP,2000,0.41379310344827586
gangnam,raw,F,linear,45,230,0.00013333646879529692,1.0,2.0,0.0012721583012618022,TP > FP,2000,0.9150424787606197
gangnam,raw,F,log,45,230,0.00013327927949196233,1.0,2.0,0.0012680306925729988,TP > FP,2000,0.9150424787606197
gangnam,patient_norm,M,linear,72,217,0.00010863920901699211,-3.0,-3.0,0.00084255082226927,TP > FP,2000,0.32033983008495753
gangnam,patient_norm,M,log,72,217,0.00010858646384053152,-3.0,-3.0,0.0008415984777013514,TP > FP,2000,0.32083958020989506
gangnam,patient_norm,F,linear,45,230,0.00014783982111997012,-2.0,-4.0,0.0013341289497576744,TP > FP,2000,0.21739130434782608
gangnam,patient_norm,F,log,45,230,0.00014777446783688017,-2.0,-4.0,0.0013318977816684568,TP > FP,2000,0.21689155422288856
gangnam,global_zscore,M,linear,72,217,0.00010694460015081275,0.0,5.0,0.0014474112298557343,TP > FP,2000,0.4147926036981509
gangnam,global_zscore,M,log,72,217,0.00010689651565595549,0.0,5.0,0.001445411081628155,TP > FP,2000,0.41379310344827586
gangnam,global_zscore,F,linear,45,230,0.00013332607139474918,1.0,2.0,0.001273542759349457,TP > FP,2000,0.9165417291354323
gangnam,global_zscore,F,log,45,230,0.0001332688692465085,1.0,2.0,0.0012694100572544155,TP > FP,2000,0.9160419790104948
sinchon,raw,M,linear,95,231,9.42611322618483e-05,0.0,-3.0,0.0010742263087098122,TP > FP,2000,0.28535732133933034
sinchon,raw,M,log,95,231,9.421179519322318e-05,0.0,-3.0,0.0010710247267281155,TP > FP,2000,0.28335832083958024
sinchon,raw,F,linear,36,167,0.0001625723666458843,0.0,3.0,0.0019215656246127305,TP > FP,2000,0.25237381309345325
sinchon,raw,F,log,36,167,0.00016245321417567715,0.0,3.0,0.0019176212591764262,TP > FP,2000,0.2518740629685157
sinchon,patient_norm,M,linear,95,231,0.00010393012119496547,-2.0,-4.0,-0.0010635867864380727,TP < FP,2000,0.031984007996002
sinchon,patient_norm,M,log,95,231,0.00010386881343919763,-2.0,-4.0,-0.0010611203445263708,TP < FP,2000,0.031484257871064465
sinchon,patient_norm,F,linear,36,167,0.00014606360100114416,3.0,-9.0,0.001053984167386134,TP > FP,2000,0.8895552223888056
sinchon,patient_norm,F,log,36,167,0.00014600872704848304,-3.0,9.0,0.001053292658369579,TP > FP,2000,0.8885557221389305
sinchon,global_zscore,M,linear,95,231,9.42611322618483e-05,0.0,-3.0,0.0010742263087098122,TP > FP,2000,0.28535732133933034
sinchon,global_zscore,M,log,95,231,9.421179519322318e-05,0.0,-3.0,0.0010710247267281155,TP > FP,2000,0.28335832083958024
sinchon,global_zscore,F,linear,36,167,0.0001625723666458843,0.0,3.0,0.0019215656246127305,TP > FP,2000,0.25237381309345325
sinchon,global_zscore,F,log,36,167,0.00016245321417567715,0.0,3.0,0.0019176212591764262,TP > FP,2000,0.2518740629685157
