feature,n_blocks,n_conv_layers,model,internal_oof_auc,delta_vs_clinic4
HTN,0,0,clinic4,0.7953044667003477,0.0
HTN,1,3,depth_resnet,0.792516865285744,-0.0027876014146036576
HTN,2,5,depth_resnet,0.7947992510921573,-0.0005052156081903902
HTN,3,7,depth_resnet,0.7959731344170703,0.0006686677167225819
HTN,4,9,depth_resnet,0.7942791762013731,-0.001025290498974596
DM,0,0,clinic4,0.7185621831246012,0.0
DM,1,3,depth_resnet,0.7144721821173153,-0.004090001007285848
DM,2,5,depth_resnet,0.7064642581338347,-0.012097924990766451
DM,3,7,depth_resnet,0.6995601517644294,-0.019002031360171756
DM,4,9,depth_resnet,0.7107284356847867,-0.007833747439814465
CKD,0,0,clinic4,0.766080713047784,0.0
CKD,1,3,depth_resnet,0.7648427828670463,-0.0012379301807377008
CKD,2,5,depth_resnet,0.7680614013369647,0.001980688289180632
CKD,3,7,depth_resnet,0.7585871090203845,-0.007493604027399514
CKD,4,9,depth_resnet,0.7639597260047867,-0.0021209870429973465
