region_key,region,feature,descriptor,sign,width,lambda,internal_score,label
R1_045_056,R1,R1_045_056__linear_slope,linear_slope,1,0.7,0.7,0.09346943979262055,R1_045_056__linear_slope__sign+1__w0.70__lam0.70
R1_045_056,R1,R1_045_056__endpoint_delta,endpoint_delta,1,0.7,0.7,0.09316362939506705,R1_045_056__endpoint_delta__sign+1__w0.70__lam0.70
R1_045_056,R1,R1_045_056__slope_mean,slope_mean,1,0.7,0.7,0.09222547942401398,R1_045_056__slope_mean__sign+1__w0.70__lam0.70
R1_045_056,R1,R1_045_056__level_sd,level_sd,-1,0.7,0.7,0.08943530422410279,R1_045_056__level_sd__sign-1__w0.70__lam0.70
R1_045_056,R1,R1_045_056__abs_slope_mean,abs_slope_mean,-1,0.7,0.7,0.08709381547813706,R1_045_056__abs_slope_mean__sign-1__w0.70__lam0.70
R1_045_056,R1,R1_045_056__endpoint_delta,endpoint_delta,1,0.5,0.7,0.08432014262814,R1_045_056__endpoint_delta__sign+1__w0.50__lam0.70
R2_057_080,R2,R2_057_080__curv_mean,curv_mean,-1,0.7,0.7,0.09988228523541066,R2_057_080__curv_mean__sign-1__w0.70__lam0.70
R2_057_080,R2,R2_057_080__curv_mean,curv_mean,-1,0.7,0.55,0.08862832458632561,R2_057_080__curv_mean__sign-1__w0.70__lam0.55
R2_057_080,R2,R2_057_080__curv_mean,curv_mean,-1,0.5,0.7,0.0884500997252864,R2_057_080__curv_mean__sign-1__w0.50__lam0.70
R2_057_080,R2,R2_057_080__level_mean,level_mean,1,0.7,0.7,0.08471631743390118,R2_057_080__level_mean__sign+1__w0.70__lam0.70
R2_057_080,R2,R2_057_080__linear_slope,linear_slope,1,0.7,0.7,0.0821886427510991,R2_057_080__linear_slope__sign+1__w0.70__lam0.70
R2_057_080,R2,R2_057_080__level_mean,level_mean,1,0.7,0.55,0.0819548509500858,R2_057_080__level_mean__sign+1__w0.70__lam0.55
R3_097_128,R3,R3_097_128__curv_sd,curv_sd,1,0.7,0.7,0.10040420211593296,R3_097_128__curv_sd__sign+1__w0.70__lam0.70
R3_097_128,R3,R3_097_128__abs_curv_mean,abs_curv_mean,1,0.7,0.7,0.09789911853518277,R3_097_128__abs_curv_mean__sign+1__w0.70__lam0.70
R3_097_128,R3,R3_097_128__abs_curv_max,abs_curv_max,1,0.7,0.7,0.0966099759624724,R3_097_128__abs_curv_max__sign+1__w0.70__lam0.70
R3_097_128,R3,R3_097_128__abs_slope_max,abs_slope_max,1,0.7,0.7,0.09203012058134384,R3_097_128__abs_slope_max__sign+1__w0.70__lam0.70
R3_097_128,R3,R3_097_128__curv_sd,curv_sd,1,0.5,0.7,0.09035155244863301,R3_097_128__curv_sd__sign+1__w0.50__lam0.70
R3_097_128,R3,R3_097_128__abs_curv_mean,abs_curv_mean,1,0.5,0.7,0.08786175938776053,R3_097_128__abs_curv_mean__sign+1__w0.50__lam0.70
R4_117_128,R4,R4_117_128__abs_slope_max,abs_slope_max,1,0.7,0.7,0.09302265452424069,R4_117_128__abs_slope_max__sign+1__w0.70__lam0.70
R4_117_128,R4,R4_117_128__slope_sd,slope_sd,1,0.7,0.7,0.09212117434508081,R4_117_128__slope_sd__sign+1__w0.70__lam0.70
R4_117_128,R4,R4_117_128__abs_curv_mean,abs_curv_mean,1,0.7,0.7,0.09151076538001027,R4_117_128__abs_curv_mean__sign+1__w0.70__lam0.70
R4_117_128,R4,R4_117_128__level_mean,level_mean,1,0.7,0.7,0.09102295661219241,R4_117_128__level_mean__sign+1__w0.70__lam0.70
R4_117_128,R4,R4_117_128__curv_sd,curv_sd,1,0.7,0.7,0.09066044699988254,R4_117_128__curv_sd__sign+1__w0.70__lam0.70
R4_117_128,R4,R4_117_128__abs_curv_max,abs_curv_max,1,0.7,0.7,0.08837877048427534,R4_117_128__abs_curv_max__sign+1__w0.70__lam0.70
R1_045_056,R1,R1_045_056__endpoint_delta,endpoint_delta,-1,0.5,0.25,,R1_045_056__endpoint_delta__sign-1__w0.50__lam0.25
R2_057_080,R2,R2_057_080__level_mean,level_mean,-1,0.7,0.25,,R2_057_080__level_mean__sign-1__w0.70__lam0.25
R3_097_128,R3,R3_097_128__linear_slope,linear_slope,1,0.35,0.25,,R3_097_128__linear_slope__sign+1__w0.35__lam0.25
R4_117_128,R4,R4_117_128__endpoint_delta,endpoint_delta,-1,0.5,0.25,,R4_117_128__endpoint_delta__sign-1__w0.50__lam0.25
