feature,model,cohort,n,n_pos,auc,auc_ci_lower,auc_ci_upper
HTN,clinic4,internal,1259,385,0.7953044667003477,,
HTN,concat,internal,1259,385,0.7943623881838985,,
HTN,clinic4,external,1123,507,0.71769256384641,0.6874165092356662,0.7489159146997117
HTN,concat,external,1123,507,0.7279051077128,0.6986474376466851,0.7592429048494237
DM,clinic4,internal,1259,232,0.7185621831246012,,
DM,concat,internal,1259,232,0.7253886445287582,,
DM,clinic4,external,1123,335,0.665451928176377,0.6323651962137189,0.6991494212926231
DM,concat,external,1123,335,0.6743010834154102,0.6410851338154964,0.7088034511505096
CKD,clinic4,internal,1259,105,0.766080713047784,,
CKD,concat,internal,1259,105,0.7602871998019312,,
CKD,clinic4,external,1123,188,0.6156217999772443,0.5712956423342955,0.6618362883663793
CKD,concat,external,1123,188,0.6205996131528047,0.5745832108308205,0.6649663841878782
