gate_hidden,head_hidden,feature,internal_oof_auc,delta_vs_clinic4
8,16,HTN,0.7841094831941513,-0.01119498350619641
8,32,HTN,0.7762637819846059,-0.01904068471574183
8,64,HTN,0.7679574430146512,-0.027347023685696525
16,16,HTN,0.7749323902641979,-0.0203720764361498
16,32,HTN,0.7725132990579214,-0.02279116764242628
16,64,HTN,0.7784094623911557,-0.016895004309191997
32,16,HTN,0.7848999970281435,-0.010404469672204208
32,32,HTN,0.7822907070046656,-0.013013759695682081
32,64,HTN,0.7593821510297484,-0.035922315670599336
8,16,DM,0.7211412550784004,0.00257907195379925
8,32,DM,0.6742730752442668,-0.044289107880334355
8,64,DM,0.697344122485982,-0.021218060638619196
16,16,DM,0.6854161770137326,-0.0331460061108686
16,32,DM,0.7183544303797468,-0.00020775274485440587
16,64,DM,0.6937094987073161,-0.024852684417285054
32,16,DM,0.7208558573682974,0.0022936742436961977
32,32,DM,0.7130745727428398,-0.005487610381761376
32,64,DM,0.7144847731927609,-0.004077409931840248
8,16,CKD,0.7042502269538664,-0.061830486093917614
8,32,CKD,0.749063299496575,-0.017017413551209004
8,64,CKD,0.7519518032516299,-0.01412890979615411
16,16,CKD,0.7253445572336388,-0.04073615581414525
16,32,CKD,0.7377238590410167,-0.02835685400676735
16,64,CKD,0.7321119088883388,-0.033968804159445254
32,16,CKD,0.7413881323760007,-0.02469258067178337
32,32,CKD,0.731905587191549,-0.034175125856235056
32,64,CKD,0.7255343731946852,-0.040546339853098856
