cohort,component,outcome,r_raw,p_raw,r_residualized_on_demog_vat_sat,p_residualized,bh_q,bh_sig
internal,PC1,HTN,0.2177765923201639,5.5611663219685506e-15,0.0424973226377748,0.1317876851405735,0.3600553220466138,False
internal,PC1,DM,0.1269586967506884,6.224420787782594e-06,-0.0150038232656485,0.59481420922376,0.6691659853767301,False
internal,PC1,CKD,0.1086283306431345,0.0001124637518869,0.0042130432576768,0.8812845499798984,0.9199228059086232,False
internal,PC2,HTN,-0.3357005267718904,1.5397244566882938e-34,-0.0496917756311159,0.0779813998665308,0.3509162993993886,False
internal,PC2,DM,-0.2707765147501104,1.3511878365730856e-22,-0.0949457235632176,0.0007430604224816,0.0066875438023344,True
internal,PC2,CKD,-0.2067529802107547,1.2725880412814549e-13,-0.0446593336164223,0.1132310181311107,0.3600553220466138,False
internal,PC3,HTN,0.0735446051871019,0.0090414726242653,-0.0150748378951737,0.593071507052145,0.6691659853767301,False
internal,PC3,DM,0.089039613309057,0.0015642978659011,0.0416132719790187,0.1400215141292387,0.3600553220466138,False
internal,PC3,CKD,-0.0075919727260741,0.7878391582799503,-0.0263477165205565,0.350245353299333,0.5253680299489996,False
external,PC1,HTN,0.07752899164299,0.0093466265856582,0.0362063838235991,0.2253725527647007,0.40567059497646124,False
external,PC1,DM,0.0223611644160215,0.4540932931684052,-0.0030032597271524,0.9199228059086232,0.9199228059086232,False
external,PC1,CKD,-0.0088162947779721,0.7679012503909382,-0.0344932400925376,0.2481043536321249,0.40598894230711347,False
external,PC2,HTN,-0.1806040547138543,1.089532667131435e-09,-0.0405110274552153,0.1749026639721903,0.388355922338942,False
external,PC2,DM,-0.1684198319668851,1.3606255442237392e-08,-0.0527528269323522,0.0772161962006026,0.3509162993993886,False
external,PC2,CKD,-0.1751166502413786,3.4725926016467932e-09,-0.1031095177174305,0.0005387681453891,0.0066875438023344,True
external,PC3,HTN,0.0940487464224885,0.001604038879716,0.0168673691764267,0.5723075451847421,0.6691659853767301,False
external,PC3,DM,0.0374016374688463,0.2104183792200537,-0.023377367044268,0.433839751169056,0.6007011939263852,False
external,PC3,CKD,0.0485799502080247,0.1037116614562862,0.0387714390239547,0.194177961169471,0.388355922338942,False
