rank,original_feature_index,feature
1,12309,smooth_visual__visual_norm_abs_slope_091_114_mean
2,12165,smooth_visual__visual_norm_abs_slope_094_111_mean
3,12169,smooth_visual__visual_norm_abs_slope_097_114_mean
4,11132,smooth_visual__visual_norm_slope_100_113_max
5,12305,smooth_visual__visual_norm_abs_slope_088_111_mean
6,12161,smooth_visual__visual_norm_abs_slope_091_108_mean
7,12017,smooth_visual__visual_norm_abs_slope_097_110_mean
8,12313,smooth_visual__visual_norm_abs_slope_094_117_mean
9,11432,smooth_visual__visual_norm_slope_100_123_max
10,12021,smooth_visual__visual_norm_abs_slope_100_113_mean
11,12013,smooth_visual__visual_norm_abs_slope_094_107_mean
12,11280,smooth_visual__visual_norm_slope_097_114_max
13,12164,smooth_visual__visual_norm_abs_slope_091_108_max
14,11860,smooth_visual__visual_norm_abs_slope_097_106_max
15,11128,smooth_visual__visual_norm_slope_097_110_max
16,12016,smooth_visual__visual_norm_abs_slope_094_107_max
17,11857,smooth_visual__visual_norm_abs_slope_097_106_mean
18,12020,smooth_visual__visual_norm_abs_slope_097_110_max
19,12441,smooth_visual__visual_norm_abs_slope_085_116_mean
20,11861,smooth_visual__visual_norm_abs_slope_100_109_mean
21,11864,smooth_visual__visual_norm_abs_slope_100_109_max
22,11276,smooth_visual__visual_norm_slope_094_111_max
23,11865,smooth_visual__visual_norm_abs_slope_103_112_mean
24,10980,smooth_visual__visual_norm_slope_106_115_max
25,12437,smooth_visual__visual_norm_abs_slope_082_113_mean
26,11692,smooth_visual__visual_norm_abs_slope_094_099_max
27,1457,smooth_norm__norm_curv_097_100_sd
28,11292,smooth_visual__visual_norm_slope_106_123_max
29,10528,smooth_visual__visual_mid_flatness__early_049_064__mid_061_092__tail_113_124
30,12168,smooth_visual__visual_norm_abs_slope_094_111_max
31,10976,smooth_visual__visual_norm_slope_103_112_max
32,11701,smooth_visual__visual_norm_abs_slope_103_108_mean
33,12024,smooth_visual__visual_norm_abs_slope_100_113_max
34,2984,smooth_norm__rough_abs_d1_recover_081_113
35,10816,smooth_visual__visual_norm_slope_106_111_max
36,11284,smooth_visual__visual_norm_slope_100_117_max
37,11548,smooth_visual__visual_norm_slope_082_113_max
38,12308,smooth_visual__visual_norm_abs_slope_088_111_max
39,11428,smooth_visual__visual_norm_slope_097_120_max
40,11420,smooth_visual__visual_norm_slope_091_114_max
41,11136,smooth_visual__visual_norm_slope_103_116_max
42,11124,smooth_visual__visual_norm_slope_094_107_max
43,11560,smooth_visual__visual_norm_slope_091_122_max
44,11564,smooth_visual__visual_norm_slope_094_125_max
45,11416,smooth_visual__visual_norm_slope_088_111_max
46,11288,smooth_visual__visual_norm_slope_103_120_max
47,11696,smooth_visual__visual_norm_abs_slope_097_102_max
48,11852,smooth_visual__visual_norm_abs_slope_091_100_max
49,11140,smooth_visual__visual_norm_slope_106_119_max
50,12445,smooth_visual__visual_norm_abs_slope_088_119_mean
51,10552,smooth_visual__visual_mid_flatness__early_049_064__mid_065_088__tail_113_124
52,11704,smooth_visual__visual_norm_abs_slope_103_108_max
53,1458,smooth_norm__norm_curv_097_100_min
54,10968,smooth_visual__visual_norm_slope_097_106_max
55,12173,smooth_visual__visual_norm_abs_slope_100_117_mean
56,11272,smooth_visual__visual_norm_slope_091_108_max
57,12157,smooth_visual__visual_norm_abs_slope_088_105_mean
58,11436,smooth_visual__visual_norm_slope_103_126_max
59,11708,smooth_visual__visual_norm_abs_slope_106_111_max
60,12009,smooth_visual__visual_norm_abs_slope_091_104_mean
61,12440,smooth_visual__visual_norm_abs_slope_082_113_max
62,10972,smooth_visual__visual_norm_slope_100_109_max
63,12301,smooth_visual__visual_norm_abs_slope_085_108_mean
64,10048,smooth_visual__visual_mid_flatness__early_045_060__mid_053_084__tail_113_124
65,11868,smooth_visual__visual_norm_abs_slope_103_112_max
66,12025,smooth_visual__visual_norm_abs_slope_103_116_mean
67,12304,smooth_visual__visual_norm_abs_slope_085_108_max
68,11700,smooth_visual__visual_norm_abs_slope_100_105_max
69,11705,smooth_visual__visual_norm_abs_slope_106_111_mean
70,10456,smooth_visual__visual_mid_flatness__early_049_064__mid_053_084__tail_113_124
71,12163,smooth_visual__visual_norm_abs_slope_091_108_min
72,11693,smooth_visual__visual_norm_abs_slope_097_102_mean
73,10576,smooth_visual__visual_mid_flatness__early_049_064__mid_069_084__tail_113_124
74,11853,smooth_visual__visual_norm_abs_slope_094_103_mean
75,10480,smooth_visual__visual_mid_flatness__early_049_064__mid_057_080__tail_113_124
76,1467,smooth_norm__norm_curv_103_106_max
77,11424,smooth_visual__visual_norm_slope_094_117_max
78,12433,smooth_visual__visual_norm_abs_slope_079_110_mean
79,11144,smooth_visual__visual_norm_slope_109_122_max
80,11849,smooth_visual__visual_norm_abs_slope_091_100_mean
81,11690,smooth_visual__visual_norm_abs_slope_094_099_sd
82,10504,smooth_visual__visual_mid_flatness__early_049_064__mid_061_076__tail_113_124
83,12312,smooth_visual__visual_norm_abs_slope_091_114_max
84,12166,smooth_visual__visual_norm_abs_slope_094_111_sd
85,12022,smooth_visual__visual_norm_abs_slope_100_113_sd
86,8824,smooth_visual__visual_mid_flatness__early_033_064__mid_053_084__tail_113_124
87,12172,smooth_visual__visual_norm_abs_slope_097_114_max
88,10812,smooth_visual__visual_norm_slope_103_108_max
89,11556,smooth_visual__visual_norm_slope_088_119_max
90,10454,smooth_visual__visual_mid_flatness__early_049_064__mid_053_084__tail_109_120
91,1183,smooth_norm__log_slope_097_112_sd
92,12160,smooth_visual__visual_norm_abs_slope_088_105_max
93,12019,smooth_visual__visual_norm_abs_slope_097_110_min
94,12438,smooth_visual__visual_norm_abs_slope_082_113_sd
95,12014,smooth_visual__visual_norm_abs_slope_094_107_sd
96,12307,smooth_visual__visual_norm_abs_slope_088_111_min
97,10120,smooth_visual__visual_mid_flatness__early_045_060__mid_061_092__tail_113_124
98,10072,smooth_visual__visual_mid_flatness__early_045_060__mid_057_080__tail_113_124
99,733,smooth_norm__norm_slope_100_115_sd
100,1185,smooth_norm__log_slope_100_115_sd
101,11278,smooth_visual__visual_norm_slope_097_114_sd
102,9232,smooth_visual__visual_mid_flatness__early_037_060__mid_053_084__tail_113_124
103,1105,smooth_norm__log_slope_097_108_sd
104,11689,smooth_visual__visual_norm_abs_slope_094_099_mean
105,10988,smooth_visual__visual_norm_slope_112_121_max
106,1779,smooth_norm__norm_curv_094_105_max
107,11552,smooth_visual__visual_norm_slope_085_116_max
108,12306,smooth_visual__visual_norm_abs_slope_088_111_sd
109,12171,smooth_visual__visual_norm_abs_slope_097_114_min
110,11697,smooth_visual__visual_norm_abs_slope_100_105_mean
111,731,smooth_norm__norm_slope_097_112_sd
112,1623,smooth_norm__norm_curv_097_104_max
113,2954,smooth_norm__tail_114_128_argmax
114,12008,smooth_visual__visual_norm_abs_slope_088_101_max
115,12012,smooth_visual__visual_norm_abs_slope_091_104_max
116,13059,smooth_visual__visual_norm_curv_097_114_min
117,12900,smooth_visual__visual_norm_curv_091_104_max
118,12018,smooth_visual__visual_norm_abs_slope_097_110_sd
119,11412,smooth_visual__visual_norm_slope_085_108_max
120,11134,smooth_visual__visual_norm_slope_103_116_sd
121,11130,smooth_visual__visual_norm_slope_100_113_sd
122,11858,smooth_visual__visual_norm_abs_slope_097_106_sd
123,1255,smooth_norm__log_slope_091_114_sd
124,12310,smooth_visual__visual_norm_abs_slope_091_114_sd
125,653,smooth_norm__norm_slope_097_108_sd
126,12162,smooth_visual__visual_norm_abs_slope_091_108_sd
127,10820,smooth_visual__visual_norm_slope_109_114_max
128,12592,smooth_visual__visual_norm_curv_100_105_max
129,11856,smooth_visual__visual_norm_abs_slope_094_103_max
130,11274,smooth_visual__visual_norm_slope_094_111_sd
131,11296,smooth_visual__visual_norm_slope_109_126_max
132,11126,smooth_visual__visual_norm_slope_097_110_sd
133,11540,smooth_visual__visual_norm_slope_076_107_max
134,11862,smooth_visual__visual_norm_abs_slope_100_109_sd
135,1107,smooth_norm__log_slope_100_111_sd
136,12436,smooth_visual__visual_norm_abs_slope_079_110_max
137,11544,smooth_visual__visual_norm_slope_079_110_max
138,1181,smooth_norm__log_slope_094_109_sd
139,9640,smooth_visual__visual_mid_flatness__early_041_056__mid_053_084__tail_113_124
140,10144,smooth_visual__visual_mid_flatness__early_045_060__mid_065_088__tail_113_124
141,1937,smooth_norm__norm_curv_097_112_sd
142,8848,smooth_visual__visual_mid_flatness__early_033_064__mid_057_080__tail_113_124
143,13048,smooth_visual__visual_norm_curv_088_105_max
144,655,smooth_norm__norm_slope_100_111_sd
145,13058,smooth_visual__visual_norm_curv_097_114_sd
146,2078,smooth_norm__norm_curv_091_114_min
147,13199,smooth_visual__visual_norm_curv_091_114_min
148,13188,smooth_visual__visual_norm_curv_082_105_max
149,2067,smooth_norm__norm_curv_082_105_max
150,11869,smooth_visual__visual_norm_abs_slope_106_115_mean
151,11282,smooth_visual__visual_norm_slope_100_117_sd
152,11422,smooth_visual__visual_norm_slope_094_117_sd
