dataset,rule,features,operating_point,clinical_sensitivity,post_sensitivity,sensitivity_loss,clinical_specificity,post_specificity,specificity_gain,clinical_accuracy,post_accuracy,accuracy_delta,clinical_balanced_accuracy,post_balanced_accuracy,balanced_accuracy_delta,clinical_positive_n,clinical_positive_events,clinical_positive_event_rate,deesc_n,deesc_events,deesc_event_rate,fp_removed,tp_lost,sensitivity_loss_p_exact,specificity_gain_p_exact,accuracy_delta_p_mcnemar,deesc_event_fisher_p
gangnam_internal,2-of-4,smooth_norm__norm_slope_082_085_sd + smooth_visual__visual_norm_curv_103_120_sd + smooth_visual__visual_norm_abs_slope_094_103_max + smooth_norm__norm_haar_b02_111_114,S80,0.8062015503875969,0.7751937984496124,0.03100775193798444,0.696149843912591,0.768990634755463,0.07284079084287198,0.7091743119266055,0.7697247706422018,0.06055045871559628,0.751175697150094,0.7720922166025377,0.02091651945244366,396,104,0.26262626262626265,74,4,0.05405405405405406,70,4,0.125,1.6940658945086007e-21,1.2898469490022716e-16,7.837799169164788e-07
gangnam_internal,2-of-4,smooth_norm__norm_slope_082_085_sd + smooth_visual__visual_norm_curv_103_120_sd + smooth_visual__visual_norm_abs_slope_094_103_max + smooth_norm__norm_haar_b02_111_114,S82.5,0.8294573643410853,0.7906976744186046,0.03875968992248069,0.6753381893860562,0.7523413111342352,0.07700312174817903,0.6935779816513762,0.7568807339449541,0.06330275229357796,0.7523977768635708,0.77151949277642,0.01912171591284917,419,107,0.2553699284009546,79,5,0.06329113924050633,74,5,0.0625,1.0587911840678754e-22,7.981384997696379e-17,2.865131865579336e-06
gangnam_internal,2-of-4,smooth_norm__norm_slope_082_085_sd + smooth_visual__visual_norm_curv_103_120_sd + smooth_visual__visual_norm_abs_slope_094_103_max + smooth_norm__norm_haar_b02_111_114,S85,0.8527131782945736,0.813953488372093,0.03875968992248058,0.6399583766909469,0.7138397502601457,0.07388137356919877,0.6651376146788991,0.7256880733944954,0.06055045871559628,0.7463357774927603,0.7638966193161194,0.017560841823359152,456,110,0.2412280701754386,76,5,0.06578947368421052,71,5,0.0625,8.470329472543003e-22,5.249233110119942e-16,2.8081555374488637e-05
gangnam_internal,2-of-4,smooth_norm__norm_slope_082_085_sd + smooth_visual__visual_norm_curv_103_120_sd + smooth_visual__visual_norm_abs_slope_094_103_max + smooth_norm__norm_haar_b02_111_114,S87.5,0.875968992248062,0.8527131782945736,0.023255813953488413,0.5775234131113424,0.6555671175858481,0.0780437044745057,0.6128440366972477,0.6788990825688074,0.06605504587155964,0.7267462026797022,0.7541401479402108,0.027393945260508534,519,113,0.21772639691714837,78,3,0.038461538461538464,75,3,0.25,5.293955920339377e-23,5.238237034277805e-19,4.5226312665925015e-06
gangnam_internal,2-of-4,smooth_norm__norm_slope_082_085_sd + smooth_visual__visual_norm_curv_103_120_sd + smooth_visual__visual_norm_abs_slope_094_103_max + smooth_norm__norm_haar_b02_111_114,S90,0.9069767441860465,0.8914728682170543,0.015503875968992165,0.5275754422476587,0.6170655567117586,0.08949011446409982,0.5724770642201835,0.6495412844036698,0.07706422018348624,0.7172760932168526,0.7542692124644064,0.036993119247553774,571,117,0.20490367775831875,88,2,0.022727272727272728,86,2,0.5,2.5849394142282115e-26,2.531301921382976e-23,1.9224197192172525e-07
sinchon_external,2-of-4,smooth_norm__norm_slope_082_085_sd + smooth_visual__visual_norm_curv_103_120_sd + smooth_visual__visual_norm_abs_slope_094_103_max + smooth_norm__norm_haar_b02_111_114,S80,0.8652482269503546,0.8226950354609929,0.042553191489361764,0.6254777070063694,0.6764331210191082,0.05095541401273884,0.661987041036717,0.6987041036717062,0.036717062634989195,0.745362966978362,0.7495640782400506,0.004201111261688539,416,122,0.2932692307692308,46,6,0.13043478260869565,40,6,0.03125,1.8189894035458565e-12,3.1028037028590916e-07,0.009563259840718204
sinchon_external,2-of-4,smooth_norm__norm_slope_082_085_sd + smooth_visual__visual_norm_curv_103_120_sd + smooth_visual__visual_norm_abs_slope_094_103_max + smooth_norm__norm_haar_b02_111_114,S82.5,0.8723404255319149,0.8226950354609929,0.04964539007092206,0.6101910828025477,0.6624203821656051,0.05222929936305731,0.6501079913606912,0.6868250539956804,0.036717062634989195,0.7412657541672314,0.742557708813299,0.0012919546460675724,429,123,0.2867132867132867,48,7,0.14583333333333334,41,7,0.015625,9.094947017729282e-13,6.240408438884516e-07,0.026608263609722037
sinchon_external,2-of-4,smooth_norm__norm_slope_082_085_sd + smooth_visual__visual_norm_curv_103_120_sd + smooth_visual__visual_norm_abs_slope_094_103_max + smooth_norm__norm_haar_b02_111_114,S85,0.8794326241134752,0.8439716312056738,0.03546099290780147,0.575796178343949,0.6229299363057325,0.04713375796178343,0.6220302375809935,0.6565874730021598,0.03455723542116629,0.7276144012287121,0.7334507837557032,0.005836382526991035,457,124,0.2713347921225383,42,5,0.11904761904761904,37,5,0.0625,1.4551915228366852e-11,4.4337048166198656e-07,0.018060608380246763
sinchon_external,2-of-4,smooth_norm__norm_slope_082_085_sd + smooth_visual__visual_norm_curv_103_120_sd + smooth_visual__visual_norm_abs_slope_094_103_max + smooth_norm__norm_haar_b02_111_114,S87.5,0.9078014184397163,0.900709219858156,0.007092198581560294,0.5235668789808917,0.5707006369426751,0.04713375796178343,0.58207343412527,0.6209503239740821,0.0388768898488121,0.7156841487103041,0.7357049284004156,0.020020779690111512,502,128,0.2549800796812749,38,1,0.02631578947368421,37,1,1.0,1.4551915228366852e-11,2.837623469531536e-10,0.00017262780534601314
sinchon_external,2-of-4,smooth_norm__norm_slope_082_085_sd + smooth_visual__visual_norm_curv_103_120_sd + smooth_visual__visual_norm_abs_slope_094_103_max + smooth_norm__norm_haar_b02_111_114,S90,0.9290780141843972,0.9148936170212766,0.014184397163120588,0.4840764331210191,0.5273885350318471,0.043312101910828016,0.5518358531317494,0.5863930885529157,0.03455723542116629,0.7065772236527081,0.7211410760265619,0.014563852373853714,536,131,0.24440298507462688,36,2,0.05555555555555555,34,2,0.5,1.1641532182693481e-10,1.941225491464138e-08,0.004285741727152222
