feature,model,cohort,n,r2,r2_ci_lower,r2_ci_upper,rmse,mae,pearson_r,p_value
VAT(내장지방)_SUM,clinic4,internal,700,0.5004222548003718,0.44853525614650275,0.5482301588578367,2805.499256311774,2118.385437066602,0.7074471563987805,2.6549268157752286e-107
VAT(내장지방)_SUM,clinic4,external,498,0.3352937917855583,0.23408227016348174,0.42201097435407514,3471.0982082303594,2596.086024805304,0.643091192033588,1.8313665850109764e-59
VAT(내장지방)_SUM,clinic4_aec_sd,internal,700,0.530937960930751,0.48062453748756645,0.5790082917939694,2718.4650867824694,2067.9041666237918,0.7286977352476975,7.177271780051697e-117
VAT(내장지방)_SUM,clinic4_aec_sd,external,498,0.4129654437154413,0.32494931111123504,0.4892397749705185,3261.9993295729373,2446.651104609315,0.6523657878437349,1.0642379763909634e-61
VAT(내장지방)_SUM,clinic4_aec_skew,internal,700,0.5396259109548416,0.48880688915797027,0.5868784600867971,2693.171763148107,2073.58792226833,0.7346215914735006,1.0587947710267608e-119
VAT(내장지방)_SUM,clinic4_aec_skew,external,498,0.32564315835956226,0.2292950384036607,0.40849821882080845,3496.205227863136,2630.4093073816,0.6528818894133197,7.949046951088084e-62
VAT(내장지방)_SUM,clinic4_aec_shape_no_fpca,internal,700,0.5784742753794905,0.5312242252441103,0.6224606677741285,2577.0370235072014,1991.4866801595945,0.7605993716557344,4.451476835565849e-133
VAT(내장지방)_SUM,clinic4_aec_shape_no_fpca,external,498,0.4378393207845269,0.36173955533859237,0.50642145833628,3192.1424715123235,2426.3161713039076,0.707737524005606,7.16803598861276e-77
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,700,0.6174931905605507,0.5664886606417856,0.6633762469453731,2454.8683213849254,1882.243550275104,0.7858508341328159,7.908981830188501e-148
VAT(내장지방)_SUM,clinic4_aec_fpca,external,498,0.3692247320805111,0.2854630177947747,0.44258341531934986,3381.344050018891,2588.3797814575537,0.7151893338995856,3.452017007289937e-79
VAT(내장지방)_SUM,clinic4_aec_shape_all,internal,700,0.6123451310533606,0.5622855522751274,0.6583209012297251,2471.332825298578,1901.1387057776822,0.782633575009028,7.70447033646219e-146
VAT(내장지방)_SUM,clinic4_aec_shape_all,external,498,0.375577676988916,0.293764434822709,0.44762952382183013,3364.273108779874,2575.8524213286814,0.7170428615679216,8.913724063583418e-80
SAT(피하지방)_SUM,clinic4,internal,700,0.5300497470204175,0.46901384990723166,0.5849873591364463,5367.175045465303,4004.318994666201,0.7280472014538699,1.453103175777591e-116
SAT(피하지방)_SUM,clinic4,external,498,0.4905580125736566,0.3943022610136921,0.5706578345316516,6343.241066862275,4663.830210468499,0.7252813253937292,1.8976730012942603e-82
SAT(피하지방)_SUM,clinic4_aec_sd,internal,700,0.5321658782200762,0.47045200688964944,0.5879302929761154,5355.077529927858,3997.375263023512,0.7295021139502595,2.9918649106300046e-117
SAT(피하지방)_SUM,clinic4_aec_sd,external,498,0.49899658449310746,0.40679195387498607,0.5777845610726019,6290.4858798470095,4671.384830603086,0.7199541431559844,1.0396370996814438e-80
SAT(피하지방)_SUM,clinic4_aec_skew,internal,700,0.5461120746330252,0.4849660335744726,0.5999104428080266,5274.655869297276,3972.401730348213,0.7389979203611902,7.65274208206049e-122
SAT(피하지방)_SUM,clinic4_aec_skew,external,498,0.47693714676124155,0.38027206361774746,0.5536870852731632,6427.480796649763,4750.885622045857,0.7250359484922477,2.2866850093273295e-82
SAT(피하지방)_SUM,clinic4_aec_shape_no_fpca,internal,700,0.5435764345114772,0.4819710148966766,0.5977308404997494,5289.36875434156,3981.065123660486,0.7372962739965785,5.264990266000287e-121
SAT(피하지방)_SUM,clinic4_aec_shape_no_fpca,external,498,0.48309034812221396,0.3889516398949045,0.5574505868181977,6389.563187131851,4730.679630849974,0.7271855219335468,4.433527725385715e-83
SAT(피하지방)_SUM,clinic4_aec_fpca,internal,700,0.5781783867012202,0.520239578426549,0.6264799851841159,5084.921232929005,3882.4317459516333,0.7603987991528904,5.731691398685416e-133
SAT(피하지방)_SUM,clinic4_aec_fpca,external,498,0.45447192689746374,0.3572080461163756,0.5348298746057611,6564.057863141869,4906.127217091891,0.7473619283640981,4.077708455553671e-90
SAT(피하지방)_SUM,clinic4_aec_shape_all,internal,700,0.5730759760613447,0.5152457379400068,0.6232656638297849,5115.582733825929,3911.027557693699,0.757116885192477,3.46199772982925e-131
SAT(피하지방)_SUM,clinic4_aec_shape_all,external,498,0.4428599032973486,0.34553397899489413,0.5234894435108532,6633.550751373627,4976.045810614664,0.7473763927916846,4.028401213785443e-90
Total Fat_SUM,clinic4,internal,700,0.5614496547062258,0.5038031023306125,0.6136020867219459,7210.7316020098515,5425.824088265547,0.74930361324714,4.648856789023701e-127
Total Fat_SUM,clinic4,external,498,0.47263092282159214,0.3724566258661967,0.5574844490307783,8838.295874892989,6547.202104752748,0.7258750227887261,1.2075664662754878e-82
Total Fat_SUM,clinic4_aec_sd,internal,700,0.5712141776284152,0.5121599290196592,0.6226444308461436,7130.004607138016,5366.787948207097,0.7557946665862749,1.7736347432791298e-130
Total Fat_SUM,clinic4_aec_sd,external,498,0.4998416207768527,0.4074164232843643,0.5795913289717116,8607.261154198182,6421.2505196876145,0.7201980698730233,8.672714146858905e-81
Total Fat_SUM,clinic4_aec_skew,internal,700,0.5886951897891536,0.5337605713028882,0.6376152717093666,6983.152014740681,5350.379187164621,0.7672683438528523,8.621931391986972e-137
Total Fat_SUM,clinic4_aec_skew,external,498,0.45716008408268094,0.3587682994179468,0.5369991188127458,8966.998413839261,6722.291443891186,0.7281897258814969,2.049150772680223e-83
Total Fat_SUM,clinic4_aec_shape_no_fpca,internal,700,0.5938880120418822,0.5407508735181816,0.6420841774495855,6938.93000529735,5281.025434966911,0.7706562446704518,1.0031432278511825e-138
Total Fat_SUM,clinic4_aec_shape_no_fpca,external,498,0.490808733593337,0.40046261465335925,0.5667027787157856,8684.63716302682,6488.21583633951,0.7418093269525126,4.096247987486607e-88
Total Fat_SUM,clinic4_aec_fpca,internal,700,0.6361364246689136,0.5878325542716442,0.6801215501575826,6568.086946128957,5058.625335611201,0.7975964310811889,2.164891979339881e-155
Total Fat_SUM,clinic4_aec_fpca,external,498,0.4442274649626383,0.34772646687989484,0.5240299798839414,9073.18458464864,6929.322567552263,0.7611066704063691,2.638430898344628e-95
Total Fat_SUM,clinic4_aec_shape_all,internal,700,0.6315029814759036,0.5821364250152876,0.6761528900468655,6609.773705538807,5094.009388939256,0.7947241791348064,1.699701524162663e-153
Total Fat_SUM,clinic4_aec_shape_all,external,498,0.43476711065404294,0.3399658666267298,0.5141102633126206,9150.08056161729,7012.226461713543,0.7605788590069239,4.2370309692591105e-95
