feature,model,cohort,n,r2,r2_ci_lower,r2_ci_upper,rmse,mae,pearson_r,p_value
VAT(내장지방)_SUM,clinic4,internal,390,0.36880336463466157,0.28767484525314907,0.4391855384987861,4655.043353732164,3465.6025266404763,0.6074134266945707,1.0816936174116193e-40
VAT(내장지방)_SUM,clinic4,external,428,0.4062825126002141,0.3301320556216042,0.4696001105445508,4605.650058997794,3673.1204948864324,0.6397844354606457,1.1936620875163254e-50
VAT(내장지방)_SUM,clinic4_aec_sd,internal,390,0.3863054687095735,0.30753014635173237,0.4619347620119526,4590.051085358423,3417.7099816144014,0.6217331130899999,4.3728678156662194e-43
VAT(내장지방)_SUM,clinic4_aec_sd,external,428,0.3848870678747044,0.3085590130386819,0.4474275827305814,4687.90114763251,3785.977490491867,0.6217631865338054,3.82624466153687e-47
VAT(내장지방)_SUM,clinic4_aec_skew,internal,390,0.36771654314548863,0.28636440883025993,0.4407719847921428,4659.04925692614,3464.892276919991,0.6065549713462839,1.4918807397883224e-40
VAT(내장지방)_SUM,clinic4_aec_skew,external,428,0.4030612012293978,0.3294718084703994,0.46488921673590466,4618.127511259256,3663.3452971792763,0.6411902152275598,6.215741058149856e-51
VAT(내장지방)_SUM,clinic4_aec_shape_no_fpca,internal,390,0.4419289537726975,0.37157902394554093,0.5068567184773917,4377.096667057907,3289.398713041324,0.6650415114786044,3.8700528456460057e-51
VAT(내장지방)_SUM,clinic4_aec_shape_no_fpca,external,428,0.4651966817451594,0.3930529969872915,0.5257704049563314,4371.173683569749,3496.1250746041655,0.6871142691827363,4.443945666912584e-61
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,390,0.4784749103163243,0.40128545538940413,0.5454575243607444,4231.350446129154,3215.0471956672127,0.6918708858202383,7.645495645418011e-57
VAT(내장지방)_SUM,clinic4_aec_fpca,external,428,0.47813569354307994,0.41467572871648717,0.5334282810375394,4317.971915302956,3453.248595542344,0.7127134512232285,1.3461335546171701e-67
VAT(내장지방)_SUM,clinic4_aec_shape_all,internal,390,0.46424210165158764,0.3869352410277996,0.528914554272164,4288.700155564406,3273.9640100085167,0.6817785057326906,1.2618276011458103e-54
VAT(내장지방)_SUM,clinic4_aec_shape_all,external,428,0.46400677981058625,0.40317816938233825,0.5170569035395884,4376.033767585571,3512.6416928342665,0.7076238133685,3.029399885304619e-66
SAT(피하지방)_SUM,clinic4,internal,390,0.3780191005784249,0.29153682985441787,0.46592279348516796,5715.9783922767265,3994.3400194621936,0.6148690200348288,6.35807549934395e-42
SAT(피하지방)_SUM,clinic4,external,428,0.454982978571707,0.36200747332933403,0.5302692972568814,5183.642039993325,3921.0854602268614,0.6746374508058767,3.855888889263785e-58
SAT(피하지방)_SUM,clinic4_aec_sd,internal,390,0.377127154349164,0.28856787584477195,0.4653671680834989,5720.075398212403,3981.3793273325173,0.6141578686771281,8.358757772621842e-42
SAT(피하지방)_SUM,clinic4_aec_sd,external,428,0.4501822633313929,0.3582416325373259,0.5249265847198202,5206.421722885609,3941.5331206481897,0.6713083487666844,2.2175302134307903e-57
SAT(피하지방)_SUM,clinic4_aec_skew,internal,390,0.37731911337916857,0.290643061775294,0.46494064837456794,5719.193914340072,3991.7323783065117,0.6143662352700168,7.71542915727642e-42
SAT(피하지방)_SUM,clinic4_aec_skew,external,428,0.4532912888824565,0.3638259980899385,0.5267420020559648,5191.680614320989,3913.5806921031303,0.6749888432508142,3.201472077383602e-58
SAT(피하지방)_SUM,clinic4_aec_shape_no_fpca,internal,390,0.37276338173359047,0.28570538904651316,0.4600793326433321,5740.077508111436,3988.4248835449275,0.610760747000722,3.05892505611604e-41
SAT(피하지방)_SUM,clinic4_aec_shape_no_fpca,external,428,0.46250092914976215,0.3770857745655481,0.5343190282083307,5147.766381866818,3878.8581103884676,0.6825136593101815,5.601821441893007e-60
SAT(피하지방)_SUM,clinic4_aec_fpca,internal,390,0.4035631849286594,0.32208495059472925,0.47660551574236565,5597.373348403448,4002.139877508275,0.6355037093869318,1.657139792635164e-45
SAT(피하지방)_SUM,clinic4_aec_fpca,external,428,0.42817203830661354,0.34664802839531317,0.5005521285666268,5309.610511675892,3993.1374837760964,0.7172392701865631,7.972483009980281e-69
SAT(피하지방)_SUM,clinic4_aec_shape_all,internal,390,0.4048168265529385,0.31840685971930255,0.48194665615957205,5591.487736379248,3972.616090751499,0.6372960374417189,7.854435154742321e-46
SAT(피하지방)_SUM,clinic4_aec_shape_all,external,428,0.3731205417004003,0.2826031216666038,0.45120422553178974,5559.324054714471,4208.8360024483445,0.6617820372233048,2.9250827723511045e-55
Total Fat_SUM,clinic4,internal,390,0.41934256651336566,0.3381804163444433,0.4986215236785647,9217.977382117619,6548.729659337906,0.6476027244775294,9.729843658502913e-48
Total Fat_SUM,clinic4,external,428,0.47407588720337057,0.3840020202770316,0.5451519034012244,8768.820733217024,6796.307623732897,0.6892365068282494,1.3587965581168158e-61
Total Fat_SUM,clinic4_aec_sd,internal,390,0.42436228846670043,0.34139629993242254,0.508659467835936,9178.04667701091,6443.059606178437,0.6514926987298701,1.77424741992647e-48
Total Fat_SUM,clinic4_aec_sd,external,428,0.4588954103901818,0.3718732153029997,0.5307462371300546,8894.473773982021,6887.930989274118,0.6783160791670573,5.431600811363966e-59
Total Fat_SUM,clinic4_aec_skew,internal,390,0.4200078880813809,0.3371363344024307,0.49996256379452975,9212.694855273732,6500.928018362272,0.6481464873261158,7.681413463038013e-48
Total Fat_SUM,clinic4_aec_skew,external,428,0.47131476115231974,0.38304294604118283,0.5418422464191142,8791.80895872976,6815.4820153189485,0.6901933173137927,7.937554846740448e-62
Total Fat_SUM,clinic4_aec_shape_no_fpca,internal,390,0.44195606960265066,0.3627532457275361,0.5178726342880448,9036.699431646517,6371.671763830273,0.6649343148409431,4.06743698299719e-51
Total Fat_SUM,clinic4_aec_shape_no_fpca,external,428,0.5053078811547489,0.42728229541139734,0.5710565475680901,8504.467892158229,6558.047019219864,0.7147083267252229,3.8993060993382024e-68
Total Fat_SUM,clinic4_aec_fpca,internal,390,0.4800447897134782,0.40211086094666787,0.5453034665584093,8722.85413757366,6281.496773242974,0.6929468328002923,4.38112720177698e-57
Total Fat_SUM,clinic4_aec_fpca,external,428,0.48935862082564296,0.4167807086968064,0.5541763231114577,8640.47568311238,6714.155796769745,0.745583820703844,4.246923966832021e-77
Total Fat_SUM,clinic4_aec_shape_all,internal,390,0.473247836397685,0.3962225437922583,0.5389911528587958,8779.682426468513,6323.8259249704915,0.6884391491390742,4.44263457542681e-56
Total Fat_SUM,clinic4_aec_shape_all,external,428,0.4516243256359581,0.377504397881259,0.5160635246183012,8954.03403516805,6968.639848396764,0.7178246413870899,5.508943107456487e-69
