feature,model,cohort,n,n_pos,prevalence,auc,auc_ci_lower,auc_ci_upper,threshold_youden,sensitivity_youden,specificity_youden,accuracy_youden,threshold_se90,sensitivity_se90,specificity_se90,accuracy_se90
SAT(피하지방)_SUM,clinic4,internal,700,104,0.14857142857142858,0.8757582601961796,0.8413801098023432,0.9090866046003118,0.1476540726553216,0.8076923076923077,0.8053691275167785,0.8057142857142857,0.08729716338711498,0.9038461538461539,0.6711409395973155,0.7057142857142857
SAT(피하지방)_SUM,clinic4,external,498,95,0.19076305220883535,0.8740237691001698,0.8281136091431317,0.9113581144522486,0.1476540726553216,0.7684210526315789,0.8635235732009926,0.8453815261044176,0.08729716338711498,0.8421052631578947,0.7518610421836228,0.7690763052208835
SAT(피하지방)_SUM,clinic4_aec_best,internal,700,104,0.14857142857142858,0.8947792978833247,0.8646283856405257,0.9216213213808455,0.21748669185361807,0.75,0.8741610738255033,0.8557142857142858,0.07812088452846085,0.9038461538461539,0.6879194630872483,0.72
SAT(피하지방)_SUM,clinic4_aec_best,external,498,95,0.19076305220883535,0.8760611205432937,0.8281858956821714,0.9166866145781493,0.21748669185361807,0.49473684210526314,0.9776674937965261,0.8855421686746988,0.07812088452846085,0.7578947368421053,0.8759305210918115,0.8534136546184738
VAT(내장지방)_SUM,clinic4,internal,700,112,0.16,0.8784620991253644,0.8488718390536953,0.9061762976901422,0.15036878818444907,0.8392857142857143,0.7636054421768708,0.7757142857142857,0.10957437606592976,0.9017857142857143,0.6938775510204082,0.7271428571428571
VAT(내장지방)_SUM,clinic4,external,498,128,0.2570281124497992,0.8032622466216216,0.7579715220567127,0.8463405285676505,0.15036878818444907,0.6953125,0.7891891891891892,0.7650602409638554,0.10957437606592976,0.734375,0.6621621621621622,0.6807228915662651
VAT(내장지방)_SUM,clinic4_aec_best,internal,700,112,0.16,0.9100917152575316,0.8845933839805719,0.9334726240416871,0.1598505494294257,0.8482142857142857,0.8248299319727891,0.8285714285714286,0.11555622422581305,0.9017857142857143,0.7619047619047619,0.7842857142857143
VAT(내장지방)_SUM,clinic4_aec_best,external,498,128,0.2570281124497992,0.851858108108108,0.8138322747984646,0.8871106281100811,0.1598505494294257,0.6484375,0.8783783783783784,0.8192771084337349,0.11555622422581305,0.71875,0.8,0.7791164658634538
Total Fat_SUM,clinic4,internal,700,113,0.16142857142857142,0.8812470790429814,0.8486657869598362,0.9105027376367695,0.16068806755195875,0.8495575221238938,0.7938671209540034,0.8028571428571428,0.1105476975248612,0.9026548672566371,0.6984667802385008,0.7314285714285714
Total Fat_SUM,clinic4,external,498,110,0.22088353413654618,0.8567478912839737,0.8125708936005451,0.8964975808974702,0.16068806755195875,0.7272727272727273,0.8530927835051546,0.8253012048192772,0.1105476975248612,0.8,0.788659793814433,0.7911646586345381
