feature,model,cohort,scanner,n,n_pos,auc
SAT(피하지방)_SUM,clinic4,internal,SOMATOM Definition AS+,97,10,0.8482758620689655
SAT(피하지방)_SUM,clinic4,internal,Revolution CT,248,72,0.8746843434343433
SAT(피하지방)_SUM,clinic4,internal,Sensation 64,258,16,0.949896694214876
SAT(피하지방)_SUM,clinic4,internal,Ingenuity Core 128,91,4,0.9051724137931034
SAT(피하지방)_SUM,clinic4,external,iCT 256,83,15,0.8313725490196078
SAT(피하지방)_SUM,clinic4,external,SOMATOM Definition AS+,81,17,0.8979779411764707
SAT(피하지방)_SUM,clinic4,external,SOMATOM Force,65,10,0.9290909090909091
SAT(피하지방)_SUM,clinic4,external,Revolution EVO,88,19,0.8543096872616323
SAT(피하지방)_SUM,clinic4,external,LightSpeed VCT,37,4,0.9015151515151516
SAT(피하지방)_SUM,clinic4,external,SOMATOM Definition Flash,113,25,0.905
SAT(피하지방)_SUM,clinic4_aec_best,internal,SOMATOM Definition AS+,97,10,0.8459770114942529
SAT(피하지방)_SUM,clinic4_aec_best,internal,Revolution CT,248,72,0.897332702020202
SAT(피하지방)_SUM,clinic4_aec_best,internal,Sensation 64,258,16,0.943956611570248
SAT(피하지방)_SUM,clinic4_aec_best,internal,Ingenuity Core 128,91,4,0.9224137931034482
SAT(피하지방)_SUM,clinic4_aec_best,external,iCT 256,83,15,0.8784313725490197
SAT(피하지방)_SUM,clinic4_aec_best,external,SOMATOM Definition AS+,81,17,0.90625
SAT(피하지방)_SUM,clinic4_aec_best,external,SOMATOM Force,65,10,0.8963636363636365
SAT(피하지방)_SUM,clinic4_aec_best,external,Revolution EVO,88,19,0.8482074752097635
SAT(피하지방)_SUM,clinic4_aec_best,external,LightSpeed VCT,37,4,0.9848484848484849
SAT(피하지방)_SUM,clinic4_aec_best,external,SOMATOM Definition Flash,113,25,0.8840909090909091
VAT(내장지방)_SUM,clinic4,internal,SOMATOM Definition AS+,97,19,0.8272604588394061
VAT(내장지방)_SUM,clinic4,internal,Revolution CT,248,59,0.8854811227692584
VAT(내장지방)_SUM,clinic4,internal,Sensation 64,258,25,0.9114163090128755
VAT(내장지방)_SUM,clinic4,internal,Ingenuity Core 128,91,7,0.9183673469387755
VAT(내장지방)_SUM,clinic4,external,iCT 256,83,18,0.8111111111111111
VAT(내장지방)_SUM,clinic4,external,SOMATOM Definition AS+,81,16,0.8942307692307693
VAT(내장지방)_SUM,clinic4,external,SOMATOM Force,65,18,0.817966903073286
VAT(내장지방)_SUM,clinic4,external,Revolution EVO,88,31,0.7334465195246179
VAT(내장지방)_SUM,clinic4,external,LightSpeed VCT,37,11,0.7552447552447552
VAT(내장지방)_SUM,clinic4,external,SOMATOM Definition Flash,113,27,0.9061154177433247
VAT(내장지방)_SUM,clinic4_aec_best,internal,SOMATOM Definition AS+,97,19,0.8657219973009447
VAT(내장지방)_SUM,clinic4_aec_best,internal,Revolution CT,248,59,0.9188413595193256
VAT(내장지방)_SUM,clinic4_aec_best,internal,Sensation 64,258,25,0.9407725321888412
VAT(내장지방)_SUM,clinic4_aec_best,internal,Ingenuity Core 128,91,7,0.9421768707482994
VAT(내장지방)_SUM,clinic4_aec_best,external,iCT 256,83,18,0.8376068376068376
VAT(내장지방)_SUM,clinic4_aec_best,external,SOMATOM Definition AS+,81,16,0.8971153846153845
VAT(내장지방)_SUM,clinic4_aec_best,external,SOMATOM Force,65,18,0.8617021276595744
VAT(내장지방)_SUM,clinic4_aec_best,external,Revolution EVO,88,31,0.801358234295416
VAT(내장지방)_SUM,clinic4_aec_best,external,LightSpeed VCT,37,11,0.7867132867132867
VAT(내장지방)_SUM,clinic4_aec_best,external,SOMATOM Definition Flash,113,27,0.9130060292850991
Total Fat_SUM,clinic4,internal,SOMATOM Definition AS+,97,13,0.86996336996337
Total Fat_SUM,clinic4,internal,Revolution CT,248,74,0.8690587138863001
Total Fat_SUM,clinic4,internal,Sensation 64,258,21,0.9594133011854531
Total Fat_SUM,clinic4,internal,Ingenuity Core 128,91,3,0.9393939393939393
Total Fat_SUM,clinic4,external,iCT 256,83,18,0.7111111111111111
Total Fat_SUM,clinic4,external,SOMATOM Definition AS+,81,18,0.9329805996472663
Total Fat_SUM,clinic4,external,SOMATOM Force,65,11,0.9006734006734007
Total Fat_SUM,clinic4,external,Revolution EVO,88,26,0.8294044665012407
Total Fat_SUM,clinic4,external,LightSpeed VCT,37,3,0.9117647058823529
Total Fat_SUM,clinic4,external,SOMATOM Definition Flash,113,26,0.9328028293545535
Total Fat_SUM,clinic4_aec_best,internal,SOMATOM Definition AS+,97,13,0.8754578754578755
Total Fat_SUM,clinic4_aec_best,internal,Revolution CT,248,74,0.891425908667288
