feature,model,cohort,scanner,n,r2,r2_ci_lower,r2_ci_upper,rmse,mae,pearson_r,p_value
VAT(내장지방)_SUM,clinic4,internal,SOMATOM Definition AS+,97,0.5135829584860545,0.32895372808615614,0.6465063428807278,3041.6666512746756,2316.6793048288732,0.7193014912171343,1.0509181937997454e-16
VAT(내장지방)_SUM,clinic4,internal,Revolution CT,248,0.5232284448763899,0.4462482125064353,0.5930757706337223,3024.492003037838,2204.759147248943,0.7502753728344729,4.1619324310262806e-46
VAT(내장지방)_SUM,clinic4,internal,Sensation 64,258,0.40154220795438444,0.25858181379839135,0.5011764425575527,2656.360011448786,2061.4242352308406,0.6700708312324706,5.45947108599124e-35
VAT(내장지방)_SUM,clinic4,internal,Ingenuity Core 128,91,0.5047273204156707,0.34653893192090796,0.6164770391828024,2222.9167858574465,1775.7555186919958,0.722994508610052,5.86138773690479e-16
VAT(내장지방)_SUM,clinic4,external,iCT 256,83,0.3246649098128943,-0.01235187454929348,0.5650180281309427,3515.293702746541,2558.546883988952,0.62705031510464,2.264074619029434e-10
VAT(내장지방)_SUM,clinic4,external,SOMATOM Definition AS+,81,0.5610110661820128,0.3709954392538299,0.6905510349583551,2677.936367251039,2100.9488520389773,0.7498437471833577,7.952808932098158e-16
VAT(내장지방)_SUM,clinic4,external,SOMATOM Force,65,0.542684052176093,0.3263198305379195,0.6860575439026605,3114.5271255959015,2255.6753089563767,0.7816793080243167,1.534547334790807e-14
VAT(내장지방)_SUM,clinic4,external,Revolution EVO,88,-0.12582758835244046,-0.5021436305331342,0.14015514807949958,5029.997386587522,3867.625589061502,0.5165911377827147,2.573367492167707e-07
VAT(내장지방)_SUM,clinic4,external,LightSpeed VCT,37,0.32087732174568473,-0.18167514137255117,0.6073803835837044,3423.2071131430744,2744.8584033624647,0.770510280512074,2.4400308943755298e-08
VAT(내장지방)_SUM,clinic4,external,SOMATOM Definition Flash,113,0.5364059712477858,0.4079755512034707,0.6373707805808371,2576.229704012777,2069.0772233236053,0.7485389112524632,1.5693793383314566e-21
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,SOMATOM Definition AS+,97,0.667398456447314,0.511741143931098,0.7794578067260883,2515.181647338144,1866.5315457810111,0.8247357689988926,2.992061031524819e-25
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,Revolution CT,248,0.6148733591929388,0.5349393235319476,0.6849368546551237,2718.31043889106,2030.0395392649293,0.8114539732070131,2.5677945830741857e-59
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,Sensation 64,258,0.5741915308012646,0.456357672717929,0.6551872417093106,2240.667001960683,1791.8301826559834,0.7855188984745204,2.7851367913249056e-55
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,Ingenuity Core 128,91,0.5273617420581584,0.31084622619961316,0.6625656304983106,2171.528111162847,1702.0367984376044,0.753906178983397,6.418285802247575e-18
VAT(내장지방)_SUM,clinic4_aec_fpca,external,iCT 256,83,0.40768384853300055,0.13975744284885858,0.5967699759472884,3292.1434128975147,2469.8542840371897,0.7009873123039112,1.6003288816503438e-13
VAT(내장지방)_SUM,clinic4_aec_fpca,external,SOMATOM Definition AS+,81,0.5017457158977232,0.3250203685191146,0.6338552107270881,2852.981711217239,2117.934521962355,0.7715019828823011,3.517155222162161e-17
VAT(내장지방)_SUM,clinic4_aec_fpca,external,SOMATOM Force,65,0.5257316743463929,0.3108844037370518,0.6719528597220701,3171.728501399153,2397.073036701991,0.8392633636403195,2.5280655041963975e-18
VAT(내장지방)_SUM,clinic4_aec_fpca,external,Revolution EVO,88,0.04573592066237042,-0.25107850141332394,0.24975322298892008,4630.907477429063,3587.8848381941116,0.606734369356103,3.7104060467510594e-10
VAT(내장지방)_SUM,clinic4_aec_fpca,external,LightSpeed VCT,37,0.4763365703487069,0.12526643954639588,0.6506681158156948,3005.9737388125805,2310.83977724709,0.8176468655742377,6.546214402163986e-10
VAT(내장지방)_SUM,clinic4_aec_fpca,external,SOMATOM Definition Flash,113,0.410923030890172,0.26473770071312996,0.522679122013768,2904.033944680158,2400.051998926721,0.7730812419599737,1.1034966302606555e-23
SAT(피하지방)_SUM,clinic4,internal,SOMATOM Definition AS+,97,0.49209139019360415,0.3235022918035821,0.6349928624407852,5867.364368623914,4231.261716286039,0.705977436955125,6.692058188921899e-16
SAT(피하지방)_SUM,clinic4,internal,Revolution CT,248,0.49985652903703715,0.3802697906431335,0.5959567200987783,6009.413254522511,4431.881152530942,0.7934429730478667,5.740888294492159e-55
SAT(피하지방)_SUM,clinic4,internal,Sensation 64,258,0.3076860267980992,0.11546164663882375,0.45535307157476096,5070.37654984498,3980.6154489184028,0.6920068396142174,4.2092077956331114e-38
SAT(피하지방)_SUM,clinic4,internal,Ingenuity Core 128,91,0.5635475772102618,0.32522316675094215,0.7014923096951448,3657.30369855719,2820.280514410375,0.7946746096159079,5.3598913145324796e-21
SAT(피하지방)_SUM,clinic4,external,iCT 256,83,0.4969241767099907,0.07819607389126133,0.6953531255105263,7042.407724113754,5157.97722257046,0.716140189261533,2.732847907350209e-14
SAT(피하지방)_SUM,clinic4,external,SOMATOM Definition AS+,81,0.6631582888476857,0.5427934954464094,0.7568868885342654,5862.240317854334,4214.860583070671,0.829895543889549,1.0219888423523291e-21
SAT(피하지방)_SUM,clinic4,external,SOMATOM Force,65,0.6369339587236303,0.42616926989149534,0.751365908381434,5144.295414236884,3846.47325921856,0.8065732599164728,5.088661184593163e-16
SAT(피하지방)_SUM,clinic4,external,Revolution EVO,88,0.03910718792318246,-0.2953546333021464,0.24408912325992813,8819.578057669716,6850.896594238097,0.5238613089807278,1.6262912690377542e-07
SAT(피하지방)_SUM,clinic4,external,LightSpeed VCT,37,0.21122564017989287,-0.559168426733261,0.5847307731130158,5351.067415949161,4340.630927647417,0.7352556022814163,2.1837863272474602e-07
SAT(피하지방)_SUM,clinic4,external,SOMATOM Definition Flash,113,0.5973309543854045,0.4330899291036418,0.7037991739849074,5136.3538049193885,3833.8764140784765,0.7902861774872467,2.3213097235826354e-25
SAT(피하지방)_SUM,clinic4_aec_fpca,internal,SOMATOM Definition AS+,97,0.5553774753303562,0.4038294982831599,0.6639467064756966,5489.6670089059335,4098.529005535494,0.7564183049400692,3.2759327002356532e-19
SAT(피하지방)_SUM,clinic4_aec_fpca,internal,Revolution CT,248,0.5528413481596716,0.44921089874918163,0.6337350420603893,5682.187857330418,4302.3336118735915,0.8155181954318969,2.3071705596890835e-60
SAT(피하지방)_SUM,clinic4_aec_fpca,internal,Sensation 64,258,0.39952132006839514,0.2334947394356279,0.5266616743998775,4722.124800678897,3781.8969863753423,0.7350306834413907,4.2660015934000615e-45
SAT(피하지방)_SUM,clinic4_aec_fpca,internal,Ingenuity Core 128,91,0.5064176979620891,0.14542846710601026,0.6980582242567676,3889.308210631565,2889.0408551772803,0.7816980150363482,6.028131710064287e-20
SAT(피하지방)_SUM,clinic4_aec_fpca,external,iCT 256,83,0.517323685635019,0.14948972426772747,0.7016648748814412,6898.1468545951075,5148.561378192416,0.7512813316210911,2.810012702971967e-16
SAT(피하지방)_SUM,clinic4_aec_fpca,external,SOMATOM Definition AS+,81,0.6116028729863263,0.4571072347007676,0.7268479167635881,6294.897892508965,4523.117355569943,0.8335067976567229,4.713452482986303e-22
SAT(피하지방)_SUM,clinic4_aec_fpca,external,SOMATOM Force,65,0.6627422510891492,0.45978277658015415,0.7695036256018546,4958.085980171677,3766.906485239361,0.8394963640225804,2.424157207970876e-18
