feature,model,cohort,n,r2,r2_ci_lower,r2_ci_upper,rmse,mae,pearson_r,p_value
VAT(내장지방)_SUM,clinic4,internal,700,0.5004222548003718,0.44853525614650275,0.5482301588578367,2805.499256311774,2118.385437066602,0.7074471563987805,2.6549268157752286e-107
VAT(내장지방)_SUM,clinic4,external,498,0.3352937917855583,0.23408227016348174,0.42201097435407514,3471.0982082303594,2596.086024805304,0.643091192033588,1.8313665850109764e-59
VAT(내장지방)_SUM,clinic4_aec_sd,internal,700,0.5309379609307512,0.48062453748756667,0.5790082917939694,2718.465086782469,2067.9041666237918,0.7286977352476975,7.177271780051697e-117
VAT(내장지방)_SUM,clinic4_aec_sd,external,498,0.4129654437154414,0.32494931111123526,0.48923977497051857,3261.999329572937,2446.651104609315,0.652365787843735,1.0642379763908288e-61
VAT(내장지방)_SUM,clinic4_aec_skew,internal,700,0.5396259109548416,0.48880688915797027,0.586878460086797,2693.171763148107,2073.5879222683297,0.7346215914735006,1.0587947710267608e-119
VAT(내장지방)_SUM,clinic4_aec_skew,external,498,0.3256431583595625,0.22929503840366092,0.40849821882080867,3496.205227863135,2630.4093073815993,0.6528818894133197,7.949046951088084e-62
VAT(내장지방)_SUM,clinic4_aec_uplow_ratio,internal,700,0.561317998826421,0.5134270355266927,0.6056076696955557,2628.9572507361986,2016.2486017610186,0.749232533472694,5.060534748027005e-127
VAT(내장지방)_SUM,clinic4_aec_uplow_ratio,external,498,0.47227592491829584,0.396918610395892,0.5396709247811885,3092.82599978641,2329.3051593187256,0.7137053845696496,1.0126561887268154e-78
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,700,0.6174931905605483,0.5664886606417764,0.6633762469453722,2454.8683213849336,1882.2435502751127,0.7858508341328143,7.908981830205926e-148
VAT(내장지방)_SUM,clinic4_aec_fpca,external,498,0.36922473208050555,0.28546301779476574,0.44258341531934475,3381.3440500189054,2588.3797814575655,0.715189333899594,3.45201700726874e-79
VAT(내장지방)_SUM,clinic4_aec_shape_all,internal,700,0.6123451310533556,0.5622855522751191,0.6583209012297211,2471.3328252985943,1901.1387057776983,0.7826335750090246,7.704470336500772e-146
VAT(내장지방)_SUM,clinic4_aec_shape_all,external,498,0.37557767698897027,0.2937644348227767,0.44762952382189225,3364.273108779728,2575.8524213285477,0.7170428615679186,8.913724063603964e-80
SAT(피하지방)_SUM,clinic4,internal,700,0.5300497470204175,0.46901384990723166,0.5849873591364463,5367.175045465303,4004.318994666201,0.7280472014538699,1.453103175777591e-116
SAT(피하지방)_SUM,clinic4,external,498,0.4905580125736566,0.3943022610136921,0.5706578345316516,6343.241066862275,4663.830210468499,0.7252813253937292,1.8976730012942603e-82
SAT(피하지방)_SUM,clinic4_aec_sd,internal,700,0.5321658782200763,0.47045200688964955,0.5879302929761154,5355.0775299278575,3997.375263023512,0.7295021139502598,2.9918649106296256e-117
SAT(피하지방)_SUM,clinic4_aec_sd,external,498,0.49899658449310746,0.40679195387498607,0.5777845610726017,6290.4858798470095,4671.384830603086,0.7199541431559844,1.0396370996814438e-80
SAT(피하지방)_SUM,clinic4_aec_skew,internal,700,0.5461120746330251,0.4849660335744726,0.5999104428080265,5274.655869297277,3972.4017303482137,0.7389979203611902,7.65274208206049e-122
SAT(피하지방)_SUM,clinic4_aec_skew,external,498,0.47693714676124177,0.3802720636177477,0.5536870852731632,6427.480796649762,4750.885622045857,0.7250359484922477,2.2866850093273295e-82
SAT(피하지방)_SUM,clinic4_aec_uplow_ratio,internal,700,0.5326562977922882,0.47222803489502096,0.587299692585856,5352.26999267778,3994.4320046507873,0.7298376498441306,2.0749972620750926e-117
SAT(피하지방)_SUM,clinic4_aec_uplow_ratio,external,498,0.5039788096907173,0.4143050286638241,0.5807836166525069,6259.129882293026,4615.009096062048,0.7305221891782813,3.3669255014678524e-84
SAT(피하지방)_SUM,clinic4_aec_fpca,internal,700,0.5781783867012196,0.5202395784265456,0.6264799851841342,5084.921232929008,3882.4317459516155,0.7603987991528901,5.731691398688647e-133
SAT(피하지방)_SUM,clinic4_aec_fpca,external,498,0.4544719268975188,0.3572080461164305,0.5348298746058049,6564.057863141539,4906.127217091608,0.7473619283641116,4.077708455508154e-90
SAT(피하지방)_SUM,clinic4_aec_shape_all,internal,700,0.5730759760613385,0.5152457379400041,0.623265663829777,5115.582733825966,3911.027557693718,0.7571168851924726,3.4619977298486246e-131
SAT(피하지방)_SUM,clinic4_aec_shape_all,external,498,0.44285990329735325,0.3455339789949069,0.5234894435108549,6633.550751373599,4976.045810614608,0.7473763927916786,4.0284012138058835e-90
Total Fat_SUM,clinic4,internal,700,0.5614496547062258,0.5038031023306125,0.6136020867219459,7210.7316020098515,5425.824088265547,0.74930361324714,4.648856789023701e-127
Total Fat_SUM,clinic4,external,498,0.47263092282159214,0.3724566258661967,0.5574844490307783,8838.295874892989,6547.202104752748,0.7258750227887261,1.2075664662754878e-82
Total Fat_SUM,clinic4_aec_sd,internal,700,0.5712141776284153,0.5121599290196597,0.6226444308461434,7130.004607138015,5366.787948207096,0.7557946665862749,1.7736347432791298e-130
Total Fat_SUM,clinic4_aec_sd,external,498,0.49984162077685257,0.4074164232843645,0.5795913289717115,8607.261154198184,6421.2505196876145,0.7201980698730233,8.672714146858905e-81
Total Fat_SUM,clinic4_aec_skew,internal,700,0.5886951897891537,0.533760571302888,0.6376152717093666,6983.152014740679,5350.379187164621,0.7672683438528523,8.621931391986972e-137
Total Fat_SUM,clinic4_aec_skew,external,498,0.45716008408268116,0.35876829941794713,0.536999118812746,8966.99841383926,6722.291443891185,0.7281897258814969,2.049150772680223e-83
Total Fat_SUM,clinic4_aec_uplow_ratio,internal,700,0.578301157236434,0.5242941968219853,0.6272703360070344,7070.836685661899,5335.573959772868,0.7604664005119051,5.263745265140827e-133
Total Fat_SUM,clinic4_aec_uplow_ratio,external,498,0.5196168144739847,0.43076696219532434,0.5944541963611712,8435.388796895333,6246.165675341348,0.7462518732406598,1.0347054455004578e-89
Total Fat_SUM,clinic4_aec_fpca,internal,700,0.6361364246689101,0.587832554271639,0.6801215501575796,6568.086946128988,5058.62533561119,0.7975964310811866,2.1648919793471008e-155
Total Fat_SUM,clinic4_aec_fpca,external,498,0.4442274649627095,0.34772646687997794,0.524029979884006,9073.18458464806,6929.322567551741,0.7611066704063836,2.6384308983104165e-95
Total Fat_SUM,clinic4_aec_shape_all,internal,700,0.6315029814758952,0.5821364250152766,0.6761528900468688,6609.773705538882,5094.009388939288,0.794724179134801,1.6997015241769119e-153
Total Fat_SUM,clinic4_aec_shape_all,external,498,0.4347671106540941,0.33996586662678635,0.514110263312654,9150.080561616875,7012.226461713039,0.76057885900691,4.237030969312213e-95
