feature,model,cohort,scanner,n,r2,r2_ci_lower,r2_ci_upper,rmse,mae,pearson_r,p_value
VAT(내장지방)_SUM,clinic4,internal,SOMATOM Definition AS+,182,0.42857241321718165,0.35081990006395825,0.5077039324624328,4756.338631856935,3276.6112284784335,0.6553382250474236,1.045461531971806e-23
VAT(내장지방)_SUM,clinic4,internal,Ingenuity Core 128,202,0.5991759990475307,0.5006141210519058,0.6747146312710732,2914.5042409941925,2259.9006489660333,0.7775154222770884,3.716265460535425e-42
VAT(내장지방)_SUM,clinic4,internal,Revolution CT,317,0.5715884930691519,0.49785226360209256,0.6360008060954412,3291.3873873367133,2448.7548421674082,0.7730854380485275,3.0657722643075506e-64
VAT(내장지방)_SUM,clinic4,internal,Sensation 64,380,0.5026299009968778,0.4090385647706364,0.579384422350712,3495.719450468423,2597.867182629264,0.7178222272573425,2.067826139943774e-61
VAT(내장지방)_SUM,clinic4,external,iCT 256,135,0.373636566464436,0.1615280795535184,0.5403316522776626,3771.174330496378,2781.1380867955627,0.6485682360267135,1.8153291066813653e-17
VAT(내장지방)_SUM,clinic4,external,Revolution EVO,149,0.07601006792234966,-0.15204371373501602,0.2494654415484937,5463.3463487347835,4255.967542928245,0.5932957837916724,1.548205020748879e-15
VAT(내장지방)_SUM,clinic4,external,SOMATOM Definition AS+,166,0.5305499112043879,0.41565051602404257,0.6169156768370958,3627.178881221205,2840.718243032843,0.7305928974242308,5.668248887061208e-29
VAT(내장지방)_SUM,clinic4,external,SOMATOM Force,123,0.547712916247042,0.4008121328840218,0.649968346558896,3738.2146848146635,2876.0852892774355,0.7408537130207311,1.1820921395026697e-22
VAT(내장지방)_SUM,clinic4,external,LightSpeed VCT,50,0.3739341499126966,-0.00916007616272123,0.5918997690269537,3484.5479046180067,2825.1087999906513,0.7654093659175436,9.571164821776895e-11
VAT(내장지방)_SUM,clinic4,external,SOMATOM Definition Flash,228,0.517099594180086,0.4268877229703934,0.5908479753668068,3592.389646625041,2784.250541102522,0.7194739082903576,1.2198690654761344e-37
VAT(내장지방)_SUM,clinic4,external,Sensation 64,48,0.3676893645090329,-0.02955490067869476,0.5494112199559701,4160.790591215719,3447.8411420808625,0.6437886164429594,7.965378603955036e-07
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,SOMATOM Definition AS+,182,0.569075632899771,0.4737509596060477,0.6512358499718005,4130.405513681175,2855.712436539439,0.7615725530670736,9.624728335875658e-36
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,Ingenuity Core 128,202,0.6917448293608619,0.6053586553176717,0.7552528081258962,2555.895052450217,2059.3826054934584,0.8385949333667104,1.166137023604546e-54
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,Revolution CT,317,0.5960412613014308,0.5177677225119514,0.6612401496675587,3196.0748430035824,2342.9862255410794,0.7956628141107657,1.4826601766486234e-70
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,Sensation 64,380,0.6305387930828155,0.5496942618945235,0.6944620707802874,3012.8752994289293,2263.757697429387,0.8070027290599775,1.7370310584517148e-88
VAT(내장지방)_SUM,clinic4_aec_fpca,external,iCT 256,135,0.4589030426583045,0.29675061565111194,0.5812353397630278,3505.1043911157826,2670.391179535738,0.6979718231396839,5.076554966581854e-21
VAT(내장지방)_SUM,clinic4_aec_fpca,external,Revolution EVO,149,0.29472689283561626,0.12894426355796376,0.4158175056787965,4773.135638758661,3750.8910001601707,0.7035239557804766,1.4543547890735664e-23
VAT(내장지방)_SUM,clinic4_aec_fpca,external,SOMATOM Definition AS+,166,0.5139239059739715,0.3998913230581944,0.6052597388456286,3690.849976081868,2889.2847998408865,0.7484949938613428,4.5807993671561675e-31
VAT(내장지방)_SUM,clinic4_aec_fpca,external,SOMATOM Force,123,0.619524414859482,0.5201617969377819,0.6929134626670512,3428.629387520806,2637.514643783258,0.8081531005419412,1.3545487917455556e-29
VAT(내장지방)_SUM,clinic4_aec_fpca,external,LightSpeed VCT,50,0.5239796976853326,0.25793276772356416,0.6806219057570921,3038.429541184564,2426.26632716927,0.79402929319606,5.991084457001245e-12
VAT(내장지방)_SUM,clinic4_aec_fpca,external,SOMATOM Definition Flash,228,0.5143617778798173,0.4431402033378385,0.576257376619211,3602.5588262481906,2777.7872410482787,0.754103327696353,3.7916271453336945e-43
VAT(내장지방)_SUM,clinic4_aec_fpca,external,Sensation 64,48,0.5664384787666263,0.316021886708446,0.6923612721251761,3445.3708980370284,2822.109821467325,0.7546704619022101,5.815526198526064e-10
SAT(피하지방)_SUM,clinic4,internal,SOMATOM Definition AS+,182,0.4457400382822674,0.32845836069215,0.5691573724225027,7063.902993952104,4740.662318939064,0.6677576072409563,7.397462222414883e-25
SAT(피하지방)_SUM,clinic4,internal,Ingenuity Core 128,202,0.4272995580896497,0.19091639976225408,0.5859265265657982,3963.1461648704844,3023.804642172015,0.7452163454681131,4.775055219137766e-37
SAT(피하지방)_SUM,clinic4,internal,Revolution CT,317,0.4930959491226887,0.399606387105577,0.5682177096863191,6099.612595845113,4552.6109407043405,0.7967589110536786,6.986933373519012e-71
SAT(피하지방)_SUM,clinic4,internal,Sensation 64,380,0.4269638281268928,0.30364222461270624,0.5289997045191575,5084.370763865948,4001.912039070373,0.726119315986338,1.804550429464096e-63
SAT(피하지방)_SUM,clinic4,external,iCT 256,135,0.529488457235518,0.28371604032916653,0.6654086066954649,6505.626701720485,4886.091413205948,0.7287751475759472,1.2584327154811869e-23
SAT(피하지방)_SUM,clinic4,external,Revolution EVO,149,0.16904957492196282,-0.06491560367592711,0.3404263873573018,8139.525538711416,6277.7421747010585,0.617388771713336,5.045736586462748e-17
SAT(피하지방)_SUM,clinic4,external,SOMATOM Definition AS+,166,0.698567488726226,0.6364027708543369,0.7527934145783494,5467.678759848597,4018.4272148554896,0.852746015189295,4.0221813352099693e-48
SAT(피하지방)_SUM,clinic4,external,SOMATOM Force,123,0.6257167169985136,0.4864332725024952,0.7146805640559329,5102.178139936994,3898.353939881098,0.7960518567102539,3.706190535432236e-28
SAT(피하지방)_SUM,clinic4,external,LightSpeed VCT,50,0.49334620679809527,0.1694676074221862,0.6830869625592911,4978.738871557308,4177.563419881338,0.7971864575989968,4.297419377397846e-12
SAT(피하지방)_SUM,clinic4,external,SOMATOM Definition Flash,228,0.6852294932790093,0.6098535491914264,0.7435605433968293,4817.7212786870705,3595.179556333797,0.8318499814267502,1.0323517288041693e-59
SAT(피하지방)_SUM,clinic4,external,Sensation 64,48,0.6954171854312837,0.4463350160873999,0.8297490487300381,4194.543995659309,3334.722293012194,0.8373887506657968,1.1873666167609767e-13
SAT(피하지방)_SUM,clinic4_aec_shape_all,internal,SOMATOM Definition AS+,182,0.5076315471355346,0.3998837114952587,0.6085109888082308,6657.835834687663,4596.2126728194025,0.7127957757673087,1.5457217181834056e-29
SAT(피하지방)_SUM,clinic4_aec_shape_all,internal,Ingenuity Core 128,202,0.420403683030629,0.16639784972624644,0.5876253140631132,3986.9348529174677,3041.5662495758015,0.7462244217247807,3.398650361603056e-37
SAT(피하지방)_SUM,clinic4_aec_shape_all,internal,Revolution CT,317,0.5269362485712177,0.44219093816861205,0.5946859175500806,5892.494792321166,4543.759448512016,0.8209346384785836,1.2110355814244116e-78
SAT(피하지방)_SUM,clinic4_aec_shape_all,internal,Sensation 64,380,0.49607076228008373,0.3908556466416439,0.5844477437604265,4767.942097649473,3838.7100877102107,0.7771563382194672,4.91871205146998e-78
